Date,IWF,IWM,MTUM,PINC,SPY,VLUE,VXX
2018-09-24,-0.35469518102551223,-0.91965983709498,-0.0,1.0,-0.6616312031289246,-0.6522300764290071,0.0
2018-09-25,-0.35931388380521767,-0.9185416442387053,-0.0,1.0,-0.6609251085513332,-0.6497290702264328,0.0
2018-09-26,-0.3667928610059492,-0.9283216152875428,-0.0,1.0,-0.665188390120786,-0.6452136289886425,0.0
2018-09-27,-0.3703210001080809,-0.9212090643801564,-0.0,1.0,-0.6657780019454552,-0.6453507223403107,0.0
2018-09-28,-0.37220620043258834,-0.9205479452054794,-0.0,1.0,-0.666366258111031,-0.6458183129055516,0.0
2018-10-01,-0.3719965365466484,-0.9225052312576665,-0.0,1.0,-0.666570459629122,-0.6466556028573491,0.0
2018-10-02,-0.37451751379820347,-0.9132065942787055,-0.0,1.0,-0.6697449586955737,-0.6499404783377223,0.0
2018-10-03,-0.3741481882098432,-0.9096087975482243,-0.0,1.0,-0.6703443302686137,-0.6514512349017487,0.0
2018-10-04,-0.375684635341597,-0.9063130585183051,-0.0,1.0,-0.6718074373018161,-0.6495387719803979,0.0
2018-10-05,-0.35841882487983356,-0.898019944041897,-0.0,1.0,-0.6752995193342421,-0.6553196068584547,0.0
2018-10-08,-0.3557313667931553,-0.8947519152287535,-0.0,1.0,-0.675664065296771,-0.6536836829669938,0.0
2018-10-09,-0.34776973755265145,-0.8999531986895632,-0.0,1.0,-0.6853511898333153,-0.6670266767469488,0.0
2018-10-10,-0.347032127935456,-0.9010229073620516,-0.0,1.0,-0.6854559861691399,-0.6682394467655958,0.0
2018-10-11,-0.26879430147700695,-0.8888927686022557,-0.0,1.0,-0.6582981249345299,-0.675791752505325,0.0
2018-10-12,-0.2666137876332034,-0.8813325516432735,-0.0,1.0,-0.6422733386212366,-0.6584129392695797,0.0
2018-10-15,-0.2415797983968074,-0.9033956032614305,-0.0,1.0,-0.6369078336257612,-0.6584786871710187,0.0
2018-10-16,-0.23843269462313804,-0.9083559805978878,-0.0,1.0,-0.6358663868726134,-0.6574357563039664,0.0
2018-10-17,-0.22372881355932206,-0.880406779661017,-0.0,1.0,-0.6281016949152544,-0.6575593220338983,0.0
2018-10-18,-0.22293036816055323,-0.8789070445453928,-0.0,1.0,-0.6302122177774764,-0.658010712590684,0.0
2018-10-19,-0.20752051661509485,-0.8695008744786763,-0.0,1.0,-0.6299946185927621,-0.6563635140589265,0.0
2018-10-22,-0.20973290165924727,-0.8784904896802913,-0.0,1.0,-0.6287940105220559,-0.6554363955213813,0.0
2018-10-23,-0.21403272052622704,-0.8791027154663519,-0.0,1.0,-0.626007758475291,-0.6541069320290099,0.0
2018-10-24,-0.21168424244466155,-0.8764192581112494,-0.0,1.0,-0.6259896903743135,-0.6550655301371247,0.0
2018-10-25,-0.18188057652711048,-0.8361277249403536,-0.0,1.0,-0.623950060463444,-0.6263032323430401,0.0
2018-10-26,-0.16418634746036884,-0.8231963765771596,-0.0,1.0,-0.6301520543513427,-0.6176965383371077,0.0
2018-10-29,-0.15903949324542693,-0.8251244263460669,-0.0,1.0,-0.6297912222868594,-0.6178980027147567,0.0
2018-10-30,-0.14530992336793094,-0.8263976460697772,-0.0,1.0,-0.6314547159439972,-0.6302906845151486,0.0
2018-10-31,-0.14657613592482946,-0.8164178143905265,-0.0,1.0,-0.6284914403398122,-0.6264641524005664,0.0
2018-11-01,-0.14521006240751463,-0.8172167535224859,-0.0,1.0,-0.6281927555812906,-0.6262626262626262,0.0
2018-11-02,-0.15502358566248434,-0.7816962423386709,-0.0,1.0,-0.6474665468664762,-0.6247793858100953,0.0
2018-11-05,-0.15152390118703885,-0.7914982354828362,-0.0,1.0,-0.648251523901187,-0.6169714469040745,0.0
2018-11-06,-0.15423842971230636,-0.7931620642098848,-0.0,1.0,-0.6460758844093781,-0.6138426505019404,0.0
2018-11-07,-0.16586742849369113,-0.8622929633030643,-0.0,1.0,-0.7033976124885215,-0.6694554977383259,0.0
2018-11-08,-0.13854812617956325,-0.8632380695605284,-0.0,1.0,-0.6938190887031546,-0.6745753572391481,0.0
2018-11-09,-0.13958115536370688,-0.86372373790173,-0.0,1.0,-0.693791521937072,-0.6752436515698242,0.0
2018-11-12,-0.13875549884146546,-0.8464689882131704,-0.0,1.0,-0.7005943785889386,-0.6722522583028309,0.0
2018-11-13,-0.11836585203436105,-0.8428447759206232,-0.0,1.0,-0.7003063195045615,-0.6680761803289605,0.0
