Date,IWF,IWM,MTUM,PLCE,SPY,VLUE,VXX
2018-09-24,-0.5091878809609178,-1.3078612405880243,-0.04862854069558981,1.0,-0.7639835066332018,-0.8522319827895303,0.0
2018-09-25,-0.5112445121404892,-1.3054833796254817,-0.05219066391900368,1.0,-0.7619388943643043,-0.8490278648866588,0.0
2018-09-26,-0.5128411994083636,-1.307650934516606,-0.05521939850298059,1.0,-0.7615974183138362,-0.8447850835910538,0.0
2018-09-27,-0.5225771667340612,-1.2950083119917328,-0.060295637327582335,1.0,-0.7666352158871367,-0.8484072426652289,0.0
2018-09-28,-0.5314559075728856,-1.2961007311129162,-0.06029425038360863,1.0,-0.7723169961187833,-0.8529199386226194,0.0
2018-10-01,-0.5368492530556813,-1.2965142598460841,-0.059710276143051154,1.0,-0.7779538252602988,-0.8559076505205975,0.0
2018-10-02,-0.5420183319720483,-1.2703965877121337,-0.0701969325710137,1.0,-0.7884109265813595,-0.8665940647971686,0.0
2018-10-03,-0.5435207490568611,-1.2777601018135538,-0.07167856006545156,1.0,-0.7879641834462069,-0.8643698013726648,0.0
2018-10-04,-0.5468792586535841,-1.2707822294903244,-0.0726355955301172,1.0,-0.7921322794585264,-0.8601344598891614,0.0
2018-10-05,-0.5285720759505143,-1.264965786015317,-0.051162369148502286,1.0,-0.8072234558390357,-0.8796392803734082,0.0
2018-10-08,-0.5283027439578412,-1.2654915500636015,-0.04202253316372887,1.0,-0.8222787570416136,-0.8849264037797564,0.0
2018-10-09,-0.5258467833598545,-1.2675608092748352,-0.034280518299613545,1.0,-0.8272334621504888,-0.891566265060241,0.0
2018-10-10,-0.52860651264326,-1.266145170092778,-0.036929234127706025,1.0,-0.8291795524831728,-0.8870747680553029,0.0
2018-10-11,-0.43890582880374746,-1.2657651685889788,-0.0,1.0,-0.8034822572804808,-0.9109549692871979,0.0
2018-10-12,-0.45653697861899756,-1.267131090080617,-0.0,1.0,-0.7766824395373292,-0.8809586400280407,0.0
2018-10-15,-0.47714727312872596,-1.261249724000883,-0.0,1.0,-0.7890925149039522,-0.8884963568116581,0.0
