Date,IWF,IWM,MTUM,PHAT,SPY,VLUE,VXX
2020-06-24,-1.395757889291257,-0.5449215381962407,-1.2847617405299763,1.0,-1.5205495200321892,-0.0021268034718629645,0.0
2020-06-25,-1.3936682725395733,-0.5355012617572837,-1.2854439091534757,1.0,-1.5206469373709566,-0.0,0.0
2020-06-26,-1.396305432849521,-0.5311227124089266,-1.2858700017210718,1.0,-1.523607366186679,-0.0,0.0
2020-06-29,-1.40687827639841,-0.5264704188029264,-1.2899936632294486,1.0,-1.5373581427501584,-0.0,0.0
2020-06-30,-1.4310594225539546,-0.48897760805415724,-1.3184632297633512,1.0,-1.54747439680611,-0.0,0.0
2020-07-01,-1.4294812413154236,-0.4914312181565539,-1.308707735062529,1.0,-1.5600972672533577,-0.0,0.0
2020-07-02,-1.4187999536661646,-0.5122205490559482,-1.3014015985173173,1.0,-1.559307309162516,-0.0,0.0
2020-07-06,-1.4220226021443059,-0.5135902636916836,-1.3000289771080844,1.0,-1.5597797739785568,-0.0,0.0
2020-07-07,-1.4122751200323942,-0.5230520043963672,-1.2918377971886388,1.0,-1.5575287788511598,-0.0,0.0
2020-07-08,-1.412397363247369,-0.5189082918931421,-1.2940904359893604,1.0,-1.5570139932924714,-0.0,0.0
2020-07-09,-1.4071932462125591,-0.521221232797502,-1.2930496125823985,1.0,-1.5608881693072743,-0.0,0.0
2020-07-10,-1.401852924145918,-0.5317892298784019,-1.2861030689056168,1.0,-1.5660683265778808,-0.004574406485234511,0.0
2020-07-13,-1.4159081685894834,-0.5249579685778886,-1.291263261638356,1.0,-1.5653081338048582,-0.0,0.0
2020-07-14,-1.400949953660797,-0.524212233549583,-1.2779193697868398,1.0,-1.5831209453197406,-0.0061978683966635775,0.0
2020-07-15,-1.4030559092487558,-0.521009376085195,-1.2762472508392178,1.0,-1.5824748234749393,-0.004919550873943744,0.0
2020-07-16,-1.4035768028707027,-0.5200833429795115,-1.2765945132538488,1.0,-1.5830535941659913,-0.0043407801828915385,0.0
2020-07-17,-1.407658440505156,-0.5221874637933032,-1.278588807785888,1.0,-1.5840574672691463,-0.0006372378635152358,0.0
2020-07-20,-1.407832232649751,-0.5220716023635732,-1.2773143320588576,1.0,-1.583420229405631,-0.0023751593094658787,0.0
2020-07-21,-1.4143710491213826,-0.5177173345705504,-1.2819115003189698,1.0,-1.5854549672330802,-0.0,0.0
2020-07-22,-1.413883089770355,-0.5184411969380653,-1.2816051960102064,1.0,-1.5851890512642077,-0.0,0.0
2020-07-23,-1.4133549921680106,-0.5215524743284794,-1.2829958809537623,1.0,-1.5836282415733596,-0.0,0.0
2020-07-24,-1.3920421637901077,-0.5373566546970925,-1.2712846055832272,1.0,-1.5829375651569557,-0.008108421174562725,0.0
2020-07-27,-1.3964449076486596,-0.5365641827340629,-1.2684847432111632,1.0,-1.5885009553586937,-0.0,0.0
2020-07-28,-1.3960866041449578,-0.5358920921616301,-1.267801319902744,1.0,-1.5892671066342479,-0.0,0.0
2020-07-29,-1.3929357266936886,-0.5343370005790389,-1.26670526925304,1.0,-1.5939779965257674,-0.002374059061957151,0.0
2020-07-30,-1.3922907743951847,-0.5225141798819308,-1.2681444611644868,1.0,-1.5943396226415094,-0.010417872438939692,0.0
2020-07-31,-1.390783303421525,-0.5223180686620738,-1.268337868349447,1.0,-1.5961326926416952,-0.01181033983673942,0.0
2020-08-03,-1.3829504022223509,-0.5277504485213265,-1.2695179119161988,1.0,-1.5918745297760288,-0.015278661959604143,0.0
2020-08-04,-1.3805888136965703,-0.5235120596911331,-1.2674532940019667,1.0,-1.5935565966799699,-0.018913760194343224,0.0
2020-08-05,-1.3854305402744802,-0.5226127743355145,-1.2697897967456135,1.0,-1.5966182176153803,-0.01632983959696566,0.0
2020-08-06,-1.3858226675160712,-0.5140441304221927,-1.2735854520183008,1.0,-1.596455666879018,-0.02148607169745758,0.0
2020-08-07,-1.3822456424807457,-0.5147952979327118,-1.2744223753546817,1.0,-1.5930858764259657,-0.026116161908622385,0.0
2020-08-10,-1.3673682379544267,-0.5295993506117006,-1.2668869948396821,1.0,-1.5960456891053516,-0.038267524786919464,0.0
2020-08-11,-1.3595473012188044,-0.5322112594312246,-1.2580383052814859,1.0,-1.598549042367963,-0.05548461984910041,0.0
2020-08-12,-1.3511694039811968,-0.5342115953804191,-1.2398583947536417,1.0,-1.6058847426150544,-0.07231153154198829,0.0
2020-08-13,-1.3418704368988295,-0.5446169892223897,-1.2184494147641671,1.0,-1.6054003940201642,-0.08407694982037316,0.0
2020-08-14,-1.3439202503767242,-0.5453228236930566,-1.2204126579343921,1.0,-1.604903210849658,-0.0812565202271937,0.0
2020-08-17,-1.342169373549884,-0.5435034802784223,-1.2211136890951277,1.0,-1.6060904872389792,-0.08764501160092808,0.0
2020-08-18,-1.3405822315008118,-0.542217582927395,-1.210160055671538,1.0,-1.6106471816283923,-0.09551148225469727,0.0
2020-08-19,-1.3353835441568993,-0.5489729604270628,-1.2082511314842752,1.0,-1.609899036787745,-0.09991876523151909,0.0
2020-08-20,-1.3341851550702752,-0.5521547218027646,-1.2078638633987686,1.0,-1.6102334765942619,-0.10338018352886515,0.0
2020-08-21,-1.3293461851120658,-0.554174892579259,-1.2036348856114272,1.0,-1.6095691557310416,-0.109859482057833,0.0
2020-08-24,-1.3283582089552237,-0.5581044195365584,-1.2029734595504964,1.0,-1.6083396248330333,-0.10970439630640572,0.0
2020-08-25,-1.3327906976744186,-0.5594767441860465,-1.2174418604651165,1.0,-1.6056976744186047,-0.09848837209302326,0.0
