Date,HPP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28560505658069124,-0.5041288612498726,-0.0,-0.43330105005607095,-0.3256448159853196,0.0
2018-09-25,1.0,-0.2828474159776794,-0.5090229605549441,-0.0,-0.43701845547392937,-0.3308162899633962,0.0
2018-09-26,1.0,-0.28362258741616747,-0.5097271284492909,-0.0,-0.4370040444376184,-0.329442481953617,0.0
2018-09-27,1.0,-0.28269620285619057,-0.5135502397251493,-0.0,-0.437556085429326,-0.3301284516575648,0.0
2018-09-28,1.0,-0.28796889884400506,-0.5136839937179785,-0.0,-0.44041090600139027,-0.33253520764140987,0.0
2018-10-01,1.0,-0.2893460575719649,-0.5298289528577388,-0.0,-0.4470953274926992,-0.34118168544013344,0.0
2018-10-02,1.0,-0.2886116259037874,-0.5360079350578163,-0.0,-0.44572055023361434,-0.33987627574325907,0.0
2018-10-03,1.0,-0.28801398455437277,-0.5303433521185557,-0.0,-0.44745355875600085,-0.3432738467960759,0.0
2018-10-04,1.0,-0.29235628883203674,-0.5249047146661098,-0.0,-0.4532449224664543,-0.34007727248994934,0.0
2018-10-05,1.0,-0.28455157708609613,-0.520269391788231,-0.0,-0.45453363496892635,-0.3409522323634188,0.0
2018-10-08,1.0,-0.28182810226564126,-0.5173820411556849,-0.0,-0.4584286011224278,-0.3405736853045105,0.0
2018-10-09,1.0,-0.27560594214229867,-0.5191816523325515,-0.0,-0.4633828511858223,-0.3480323169142559,0.0
2018-10-10,1.0,-0.277798050357087,-0.5183495803576083,-0.0,-0.4649168534640046,-0.3454099984361153,0.0
2018-10-11,1.0,-0.2507152344947379,-0.5090936957188107,-0.0,-0.453433125574742,-0.34116685398998675,0.0
2018-10-12,1.0,-0.24766736348340387,-0.5094835058379646,-0.0,-0.45362769591597407,-0.3385764543924948,0.0
2018-10-15,1.0,-0.22651258686079365,-0.5298699315295136,-0.0,-0.44997072823071244,-0.3390179957746837,0.0
2018-10-16,1.0,-0.2198550798591621,-0.5436291269071797,-0.0,-0.44948206358116033,-0.33841914578762056,0.0
2018-10-17,1.0,-0.21089018974566007,-0.5262414210738797,-0.0,-0.4460789261203068,-0.3400030278562778,0.0
2018-10-18,1.0,-0.21069229992935715,-0.5259864769401554,-0.0,-0.4463114340498537,-0.3399687153093148,0.0
2018-10-19,1.0,-0.20323551542513169,-0.5206420867820416,-0.0,-0.44675194381740657,-0.33752194632555804,0.0
2018-10-22,1.0,-0.20327975727790176,-0.5175396805496352,-0.0,-0.4478824502896116,-0.3387578044682932,0.0
2018-10-23,1.0,-0.19983908277179924,-0.519561500553153,-0.0,-0.45280599416675044,-0.34215025646183245,0.0
2018-10-24,1.0,-0.19902338342268874,-0.51539177930479,-0.0,-0.4558634750434192,-0.34679956706687814,0.0
2018-10-25,1.0,-0.17346213254223158,-0.48373256184568614,-0.0,-0.4687768161423983,-0.3258145977885111,0.0
2018-10-26,1.0,-0.16840976133011532,-0.4783393061751871,-0.0,-0.46888027499451473,-0.32226529169409296,0.0
2018-10-29,1.0,-0.17218672737509486,-0.4788622065555311,-0.0,-0.4751903258182174,-0.32165675258867593,0.0
2018-10-30,1.0,-0.16947700741538388,-0.4787939600107683,-0.0,-0.4752208707569565,-0.3238050953231688,0.0
