Date,ARE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32299790243640075,-0.5107029527241435,-0.0,-0.47993868660248473,-0.37554455978056256,0.0
2018-09-25,1.0,-0.31998378597486826,-0.5164977705715443,-0.0,-0.48431293068504255,-0.3815430347250372,0.0
2018-09-26,1.0,-0.3186798322737725,-0.5160827810090627,-0.0,-0.4852157446232923,-0.3852833761666441,0.0
2018-09-27,1.0,-0.3191984206398572,-0.5148335451767315,-0.0,-0.485139410985207,-0.3852124293479731,0.0
2018-09-28,1.0,-0.3215726625328315,-0.5142292383092795,-0.0,-0.4859873818743061,-0.3859359345807045,0.0
2018-10-01,1.0,-0.322283559247923,-0.527137079142982,-0.0,-0.49081766506340185,-0.3925994752951465,0.0
2018-10-02,1.0,-0.3203275265153597,-0.5498708578337088,-0.0,-0.4880200032972468,-0.38948727812276746,0.0
2018-10-03,1.0,-0.31971985718209284,-0.5441362263114529,-0.0,-0.48975556165888495,-0.3928865696237298,0.0
2018-10-04,1.0,-0.32282513181019334,-0.5394057557117751,-0.0,-0.4937390158172232,-0.39007579086115995,0.0
2018-10-05,1.0,-0.3105824446267432,-0.5318840579710145,-0.0,-0.49751162154771666,-0.3945310363686081,0.0
2018-10-08,1.0,-0.30794855691778394,-0.5287114654725172,-0.0,-0.5001774840946946,-0.3936870272779401,0.0
2018-10-09,1.0,-0.2999203143461655,-0.5331519797763307,-0.0,-0.5088615942626329,-0.4058198005110873,0.0
2018-10-10,1.0,-0.3022067108192036,-0.5322762373244662,-0.0,-0.5104839374536261,-0.4031163263623622,0.0
2018-10-11,1.0,-0.2504547886570358,-0.5220171214553236,-0.0,-0.4941680042803638,-0.40858747993579453,0.0
2018-10-12,1.0,-0.24573360523773743,-0.5260545239884082,-0.0,-0.4995438445851669,-0.4119620049372115,0.0
2018-10-15,1.0,-0.22895920334082875,-0.540341578327444,-0.0,-0.4960648891744298,-0.4115536995395652,0.0
2018-10-16,1.0,-0.22333011686501555,-0.5512222579607591,-0.0,-0.4952021014259676,-0.4106357885708159,0.0
