Date,IWF,IWM,MTUM,SBLK,SPY,VLUE,VXX
2018-09-24,-0.5662158482345466,-1.1055641281655624,-0.20454751747299627,1.0,-0.8512299174003812,-0.8108377961332487,0.0
2018-09-25,-0.5770019598012852,-1.1067863816599062,-0.21566929492730505,1.0,-0.8515564468346931,-0.8066633243699012,0.0
2018-09-26,-0.5765880797117972,-1.1068448173651328,-0.2136440330156414,1.0,-0.8528432669068357,-0.8102512654475807,0.0
2018-09-27,-0.5792902373468178,-1.0983098719876088,-0.2159354926882602,1.0,-0.8524440799963555,-0.8096214295476287,0.0
2018-09-28,-0.5970974429854872,-1.106795669200645,-0.21506565307532827,1.0,-0.8666205943331029,-0.8217000691085005,0.0
2018-10-01,-0.6060620322869111,-1.1481620934720196,-0.21734833152915706,1.0,-0.8885960370875888,-0.8463783122323152,0.0
2018-10-02,-0.6228421554601813,-1.1100619933237958,-0.23729136862184072,1.0,-0.9205054840247974,-0.8780162136385313,0.0
2018-10-03,-0.6231932452416161,-1.1117683537661593,-0.23794304250345846,1.0,-0.9200973143156991,-0.8772599341697276,0.0
2018-10-04,-0.6291507633587785,-1.1029103053435114,-0.23902671755725188,1.0,-0.9278625954198472,-0.8720419847328243,0.0
2018-10-05,-0.6103550014276198,-1.0940801370514894,-0.2184258113638527,1.0,-0.944465594365661,-0.8914057295136575,0.0
2018-10-08,-0.6092702638459709,-1.0924649393867363,-0.2169241739957214,1.0,-0.9447111956263371,-0.8906108866175422,0.0
2018-10-09,-0.6100993771099805,-1.0928629166468546,-0.21839189767486092,1.0,-0.9441300936712471,-0.8894013598972944,0.0
2018-10-10,-0.609855872140037,-1.0941349950054702,-0.21728582980545116,1.0,-0.9446320696380155,-0.890738714740998,0.0
2018-10-11,-0.5405943343825218,-1.100583225328643,-0.11710794297352342,1.0,-0.9399648213293834,-0.9305221255323087,0.0
2018-10-12,-0.556561913910617,-1.0934540963359407,-0.11152280316545446,1.0,-0.9138191299574585,-0.8990439595626916,0.0
2018-10-15,-0.5357452834498195,-1.1298707231282263,-0.08026129459595267,1.0,-0.9159471929103284,-0.9062171668722306,0.0
2018-10-16,-0.5426068611263988,-1.1200697119794532,-0.09168042560997981,1.0,-0.920610897083104,-0.911346541918914,0.0
2018-10-17,-0.5202950359744785,-1.0685551382415495,-0.0618127517082221,1.0,-0.9311281053441333,-0.9432553509208562,0.0
2018-10-18,-0.5310486634681288,-1.091752341786612,-0.05414667580534613,1.0,-0.9373086588987892,-0.9550833904500801,0.0
2018-10-19,-0.5141881120473697,-1.0816670462309268,-0.03129127761329993,1.0,-0.958005010248235,-0.9695741289000228,0.0
2018-10-22,-0.5135320785822228,-1.1007006456930897,-0.04469478408206255,1.0,-0.9537482254888492,-0.9667536749553509,0.0
2018-10-23,-0.5157494734914385,-1.0998534932698472,-0.05004120501785551,1.0,-0.9489057778591704,-0.963785367640326,0.0
2018-10-24,-0.5157701149425288,-1.1111264367816092,-0.05089655172413793,1.0,-0.9534252873563218,-0.9664367816091954,0.0
2018-10-25,-0.4724217433714641,-1.0441606810321895,-0.04549082202713488,1.0,-0.9510951494191718,-0.9205905826017559,0.0
2018-10-26,-0.4561441978773792,-1.0295588106306464,-0.023418998333479518,1.0,-0.9643013770721867,-0.9121568283483905,0.0
2018-10-29,-0.43704706190517767,-1.0434820571029424,-0.005326115428272068,1.0,-0.9573037632061469,-0.9225093861870252,0.0
2018-10-30,-0.4334657181512679,-1.043686989918387,-0.003011390913455244,1.0,-0.9578405272116266,-0.9263736743333479,0.0
2018-10-31,-0.4409380553990203,-1.011964107676969,-0.005071741297845594,1.0,-0.9567818284277602,-0.9201092375048767,0.0
2018-11-01,-0.4548981994157911,-1.0041417796573222,-0.01582595805903126,1.0,-0.9612416619435847,-0.9237040589440643,0.0
2018-11-02,-0.4622147156900957,-0.9721103460222598,-0.010999956693083885,1.0,-0.968429258152527,-0.9168940279762677,0.0
2018-11-05,-0.464135569713518,-0.9687513543969142,-0.010835175313136568,1.0,-0.9690980800069345,-0.9212499458241235,0.0
2018-11-06,-0.4724498200893051,-0.9752893744310054,-0.00702301989855638,1.0,-0.9656652360515022,-0.9148133697489922,0.0
2018-11-07,-0.46981107147575635,-1.0008807856608095,-0.019289205971726783,1.0,-0.9809750297265161,-0.9329281719293611,0.0
2018-11-08,-0.4044155967214668,-1.1561567252570237,-0.0,1.0,-1.0890699767849528,-1.088169801487658,0.0
2018-11-09,-0.4027553444180522,-1.160475059382423,-0.0,1.0,-1.0962470308788599,-1.0911163895486935,0.0
2018-11-12,-0.40173082379646263,-1.1333585548094203,-0.0,1.0,-1.1071597465241652,-1.086777641161449,0.0
2018-11-13,-0.369538778183179,-1.1230236691926279,-0.0,1.0,-1.1055290485545888,-1.0795677799607073,0.0
