Date,IWF,IWM,JMIA,MTUM,SPY,VLUE,VXX
2019-12-11,-4.569396142902308,-3.726209294973127,1.0,-9.119822952892823,-7.940562756876384,-5.259563705343029,0.0
2019-12-12,-4.568490983865866,-3.7450173995571023,1.0,-9.124644099968366,-7.941157861436255,-5.256248022777602,0.0
2019-12-13,-4.577371572644186,-3.7381027418846515,1.0,-9.168294988969429,-7.889694295619288,-5.142451938228806,0.0
2019-12-16,-4.578449905482042,-3.7416509136735985,1.0,-9.158475110270953,-7.8831127914303725,-5.144297416509137,0.0
2019-12-17,-4.535882168599185,-3.7286117204638045,1.0,-9.134440614227515,-7.850203697900344,-5.08931369476653,0.0
2019-12-18,-4.544020195645313,-3.7661722940990843,1.0,-9.210160934048595,-7.921426317450298,-5.114231618807194,0.0
2019-12-19,-4.552498418722327,-3.7703984819734346,1.0,-9.235926628716003,-7.943074003795066,-5.123655913978494,0.0
2019-12-20,-4.514006924771798,-3.7475605917532264,1.0,-9.191375511488825,-7.918161787850173,-5.105130626377085,0.0
2019-12-23,-4.562064597846739,-3.819822672577581,1.0,-9.216276124129196,-7.9851171627612425,-5.082330588980368,0.0
2019-12-24,-4.570975918884664,-3.8250950570342206,1.0,-9.210076045627376,-7.994930291508238,-5.084600760456274,0.0
2019-12-26,-4.570975918884664,-3.8263624841571615,1.0,-9.210076045627376,-7.993979721166034,-5.084283903675539,0.0
2019-12-27,-4.532869785082174,-3.816687737041719,1.0,-9.206384323640961,-7.98008849557522,-5.06953223767383,0.0
2019-12-30,-4.565730695596681,-3.8136566687938735,1.0,-9.335673261008296,-8.081684747925973,-5.111359285258455,0.0
2019-12-31,-4.553382494389227,-3.873356845142674,1.0,-9.394357165758256,-8.117024687399809,-5.123436999038153,0.0
2020-01-02,-4.54443013522215,-3.866709594333548,1.0,-9.466838377334192,-8.176754668383772,-5.141017385705086,0.0
2020-01-03,-4.430506288294099,-3.966784908094163,1.0,-9.557562076749434,-8.141567236375364,-5.1515640116091586,0.0
2020-01-06,-4.387459807073955,-4.00128617363344,1.0,-9.605144694533761,-8.084887459807074,-5.075884244372991,0.0
2020-01-07,-4.371180443872627,-4.005146349308459,1.0,-9.615632036024445,-8.076873592795112,-5.095529109038276,0.0
2020-01-08,-4.367609254498715,-3.9942159383033418,1.0,-9.601863753213369,-8.059125964010285,-5.1108611825192805,0.0
2020-01-09,-4.330870542884677,-4.005782203662062,1.0,-9.600385480244137,-8.050754898811435,-5.135239318984902,0.0
2020-01-10,-4.341994153946087,-4.100682039623255,1.0,-9.67521922702176,-8.118869762910036,-5.241312114322832,0.0
2020-01-13,-4.33646677471637,-4.091734197730957,1.0,-9.664181523500812,-8.097568881685575,-5.224959481361426,0.0
2020-01-14,-4.230867755363432,-4.018892090938201,1.0,-9.562600064040987,-8.02369516490554,-5.184117835414665,0.0
2020-01-15,-4.222791293213828,-4.0265685019206146,1.0,-9.555377720870679,-8.015364916773368,-5.190140845070423,0.0
2020-01-16,-4.226384886327249,-4.005123278898495,1.0,-9.51969260326609,-8.02593659942363,-5.24367595260967,0.0
2020-01-17,-4.3646604441583525,-4.10492436433859,1.0,-9.44512391374316,-7.980366913421307,-5.290312198261988,0.0
2020-01-21,-4.387086307592472,-4.17261518494484,1.0,-9.505191434133678,-8.044451654769631,-5.337118754055807,0.0
2020-01-22,-4.5155300472653614,-4.212694125590817,1.0,-10.082376772451047,-8.424037812288994,-5.526333558406482,0.0
2020-01-23,-4.528735632183908,-4.228532792427316,1.0,-10.089925625422584,-8.443204868154158,-5.516227180527384,0.0
2020-01-24,-4.527580372250423,-4.226395939086294,1.0,-10.10896785109983,-8.457529610829104,-5.520812182741117,0.0
2020-01-27,-4.4794474393531,-4.1418463611859835,1.0,-10.132075471698112,-8.392857142857142,-5.546159029649596,0.0
2020-01-28,-4.167095115681234,-4.086118251928021,1.0,-9.797557840616967,-7.948907455012854,-5.133676092544988,0.0
2020-01-29,-4.133160956690368,-4.148351648351648,1.0,-9.895604395604396,-7.982546864899806,-5.1609566903684545,0.0
