Date,IWF,IWM,MRK,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2156678662702759,-0.4419496166484118,1.0,-0.0,-0.5004954884472956,-0.4497209617691545,0.0
2018-09-25,-0.2158187081127598,-0.44188593631835604,1.0,-0.0,-0.5004302813779435,-0.44963100112133936,0.0
2018-09-26,-0.21558963125228184,-0.44174098993376104,1.0,-0.0,-0.5004694101079643,-0.45003390184113073,0.0
2018-09-27,-0.21623523891452254,-0.44023878418185136,1.0,-0.0,-0.5004040562029144,-0.4499100649096739,0.0
2018-09-28,-0.21688003546006834,-0.44006987719343993,1.0,-0.0,-0.5004302140640888,-0.4499778374573046,0.0
2018-10-01,-0.21692873347414535,-0.4402722365641868,1.0,-0.0,-0.5003781063391484,-0.4500508487835406,0.0
2018-10-02,-0.22013513866061413,-0.42941744280086613,1.0,-0.0,-0.5047611593749185,-0.45456679971824376,0.0
2018-10-03,-0.21960569550930994,-0.4237990924737912,1.0,-0.0,-0.5064935064935064,-0.4579356386585302,0.0
2018-10-04,-0.22369759737041192,-0.41859494430386346,1.0,-0.0,-0.511726188923382,-0.45469960608353116,0.0
2018-10-05,-0.2123188029303268,-0.41118096326700265,1.0,-0.0,-0.515223151659999,-0.4590845326544396,0.0
2018-10-08,-0.21035842107993155,-0.4086570880232377,1.0,-0.0,-0.5162871518232274,-0.4581928523263655,0.0
2018-10-09,-0.20727942511738917,-0.4085142812670247,1.0,-0.0,-0.5177056580278621,-0.4607362440656861,0.0
2018-10-10,-0.21173290359472877,-0.40846827645361683,1.0,-0.0,-0.5215605749486653,-0.45746367582460423,0.0
2018-10-11,-0.18003106618115147,-0.3962975223447327,1.0,-0.0,-0.5119299228438288,-0.4581497797356828,0.0
2018-10-12,-0.1757655781829262,-0.39413945457315525,1.0,-0.0,-0.5124168401807933,-0.45690924787974196,0.0
2018-10-15,-0.178987238802176,-0.39074177639941027,1.0,-0.0,-0.5147185927093395,-0.45762367176775637,0.0
2018-10-16,-0.17935680691496125,-0.39033939239862725,1.0,-0.0,-0.5148341171984239,-0.45773484174399387,0.0
2018-10-17,-0.172731169780871,-0.37756259928890235,1.0,-0.0,-0.5124442090929723,-0.4588849383463197,0.0
2018-10-18,-0.171881308033912,-0.3759083568833266,1.0,-0.0,-0.515643924101736,-0.4598052079127977,0.0
2018-10-19,-0.158046553626969,-0.3651299287649243,1.0,-0.0,-0.5221982542389887,-0.46290257850907995,0.0
2018-10-22,-0.1581032623686652,-0.36111738007472605,1.0,-0.0,-0.5238596755184434,-0.46450512801223703,0.0
2018-10-23,-0.16064891429717668,-0.3612657339150494,1.0,-0.0,-0.5219397221804323,-0.46354245022817314,0.0
2018-10-24,-0.15940757818765036,-0.36038993584603046,1.0,-0.0,-0.5224538893344025,-0.4637379711307137,0.0
2018-10-25,-0.14170873976765846,-0.33500808783883146,1.0,-0.0,-0.5260281358756923,-0.44811528846625165,0.0
2018-10-26,-0.12433591655700152,-0.32894672710435247,1.0,-0.0,-0.5391139055417459,-0.4445825413072087,0.0
2018-10-29,-0.10535649216567472,-0.3383456820114174,1.0,-0.0,-0.5330742135309121,-0.452447467508806,0.0
