Date,IWF,IWM,LXP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.23382414808582247,-0.6998737904922172,1.0,-0.0,-0.45987939980367415,-0.41110643668489694,0.0
2018-09-25,-0.23226023933928872,-0.7019214562615878,1.0,-0.0,-0.46148660037080735,-0.41347828529692676,0.0
2018-09-26,-0.2307973664959766,-0.7017050250407968,1.0,-0.0,-0.4628045692420235,-0.4182657138033875,0.0
2018-09-27,-0.23031651272809192,-0.7038747465645415,1.0,-0.0,-0.463111061049786,-0.41864721784185627,0.0
2018-09-28,-0.24899344300011506,-0.7149718164040033,1.0,-0.0,-0.4793799608880709,-0.4325319222362821,0.0
2018-10-01,-0.24950776001853137,-0.7251563585823488,1.0,-0.0,-0.48309010887190174,-0.43777507528376186,0.0
2018-10-02,-0.24800651882893898,-0.746726034573075,1.0,-0.0,-0.4805890227576975,-0.4348699144403702,0.0
2018-10-03,-0.24911114996794312,-0.7514425598880924,1.0,-0.0,-0.48027044355073734,-0.43340910415573813,0.0
2018-10-04,-0.2500218499635834,-0.7497450837581938,1.0,-0.0,-0.4810196649672251,-0.43254187909686814,0.0
2018-10-05,-0.23689782186258304,-0.7441341106180575,1.0,-0.0,-0.48327967748484585,-0.43603352765451436,0.0
2018-10-08,-0.23406965635042415,-0.7409744940794998,1.0,-0.0,-0.4852204626386034,-0.43487449697460995,0.0
2018-10-09,-0.2258788550107853,-0.7461085524398066,1.0,-0.0,-0.4948405526730018,-0.4480848831108261,0.0
2018-10-10,-0.23060747663551404,-0.7463200934579439,1.0,-0.0,-0.49891939252336454,-0.444713785046729,0.0
2018-10-11,-0.18722241202596515,-0.737444482405193,1.0,-0.0,-0.48044072429108303,-0.44194852522491745,0.0
2018-10-12,-0.18364001243675626,-0.7361429096356596,1.0,-0.0,-0.4735012295429492,-0.4332513638033862,0.0
2018-10-15,-0.16851334968564097,-0.7486537539823508,1.0,-0.0,-0.4698187149341679,-0.43237756914488706,0.0
2018-10-16,-0.16520513182010432,-0.7541519808261665,1.0,-0.0,-0.4688848160157902,-0.4314394473424503,0.0
2018-10-17,-0.14909161620090006,-0.7254014111895104,1.0,-0.0,-0.46544252458469915,-0.43796877604311346,0.0
2018-10-18,-0.14919567693718222,-0.7260578445808907,1.0,-0.0,-0.4650904342511043,-0.43800183368988416,0.0
2018-10-19,-0.1354198262787812,-0.7181580035847236,1.0,-0.0,-0.46678615745208885,-0.4371432510685234,0.0
