Date,IWF,IWM,MTUM,PCN,SPY,VLUE,VXX
2018-09-24,-0.11947691698038437,-0.37291460273429755,-0.0,1.0,-0.2446800079255003,-0.244303546661383,0.0
2018-09-25,-0.1220058248964793,-0.3722188100568621,-0.0,1.0,-0.24418996295048837,-0.24284270798248567,0.0
2018-09-26,-0.12237741456166418,-0.3725606736007924,-0.0,1.0,-0.2441604754829123,-0.24208023774145615,0.0
2018-09-27,-0.1253986174658823,-0.36761938716897413,-0.0,1.0,-0.24507298908629943,-0.24263671836314296,0.0
2018-09-28,-0.1234353198115306,-0.38935511920891386,-0.0,1.0,-0.25635477543426827,-0.2530585832440193,0.0
2018-10-01,-0.12312184439442789,-0.39286655717095526,-0.0,1.0,-0.257132428979865,-0.2545978060303749,0.0
2018-10-02,-0.12915053982481156,-0.3772866164188226,-0.0,1.0,-0.2666734569158688,-0.26396414748421265,0.0
2018-10-03,-0.12938093678349166,-0.36763019980347195,-0.0,1.0,-0.27466835899115627,-0.2754667540124468,0.0
2018-10-04,-0.13240232615283806,-0.3636251945286264,-0.0,1.0,-0.2786264231304775,-0.27303628470800223,0.0
2018-10-05,-0.15216888009597374,-0.39100877654536653,-0.0,1.0,-0.28613221644602527,-0.2753983120409151,0.0
2018-10-08,-0.15459642441552945,-0.39593779752459535,-0.0,1.0,-0.2871892520892838,-0.278028139215064,0.0
2018-10-09,-0.15603902562908722,-0.39641489069014413,-0.0,1.0,-0.28682990836172784,-0.27707350108992407,0.0
2018-10-10,-0.1611593956522663,-0.3976072589727788,-0.0,1.0,-0.29178265581504065,-0.2744427208397968,0.0
2018-10-11,-0.13954261954261954,-0.3888773388773389,-0.0,1.0,-0.27972972972972976,-0.2708523908523909,0.0
2018-10-12,-0.13438243906549538,-0.39916577134550973,-0.0,1.0,-0.2910531083443932,-0.2820366976342455,0.0
2018-10-15,-0.1538051360805392,-0.3906023376844979,-0.0,1.0,-0.3012328299633137,-0.28728350823308596,0.0
2018-10-16,-0.14686977760637615,-0.4066289583065518,-0.0,1.0,-0.3016240305094913,-0.2874191198525946,0.0
2018-10-17,-0.1370850151095708,-0.3874812451131633,-0.0,1.0,-0.29832421123813946,-0.29031508209885676,0.0
2018-10-18,-0.13785442234447734,-0.38980110029623355,-0.0,1.0,-0.2975031739314431,-0.29079559881506556,0.0
2018-10-19,-0.12878247366433038,-0.3818147479749863,-0.0,1.0,-0.2980232509338146,-0.2898182733873337,0.0
2018-10-22,-0.12860771184483952,-0.37568480930291137,-0.0,1.0,-0.3016309481329107,-0.2931088768077916,0.0
2018-10-23,-0.12811253411715304,-0.37581356288053747,-0.0,1.0,-0.30216250262439637,-0.29342851144236826,0.0
2018-10-24,-0.1273635390652872,-0.37602568676418124,-0.0,1.0,-0.30205032423244005,-0.2931522948101824,0.0
