Date,IWF,IWM,MTUM,PTCT,SPY,VLUE,VXX
2018-09-24,-1.9511605415860733,-3.1877417794970984,-1.0977998065764023,1.0,-2.4643375241779495,-2.3879352030947776,0.0
2018-09-25,-1.9581367211131278,-3.1864488808227462,-1.1068360556563823,1.0,-2.4635208711433756,-2.384150030248034,0.0
2018-09-26,-1.9628059122849526,-3.192633874485098,-1.112551490186576,1.0,-2.4659559001696145,-2.381269687424279,0.0
2018-09-27,-1.9641993226898886,-3.1764634736332846,-1.1144170295113691,1.0,-2.4625060474117078,-2.3772375423318817,0.0
2018-09-28,-1.9610593784012578,-3.1783770709880277,-1.1152497278993831,1.0,-2.4618454468496798,-2.3769500544201234,0.0
2018-10-01,-1.9627434377646062,-3.1773315592113227,-1.1156404983670014,1.0,-2.463045844925608,-2.3774041369299628,0.0
2018-10-02,-1.9626315152981013,-3.1736606602974966,-1.1171846656185755,1.0,-2.4625710484943766,-2.3771919216350224,0.0
2018-10-03,-1.959661835748792,-3.164009661835749,-1.1143719806763286,1.0,-2.461473429951691,-2.3777777777777778,0.0
2018-10-04,-1.9670250030196883,-3.1525546563594635,-1.1166807585457181,1.0,-2.470467447759391,-2.3719048194226353,0.0
2018-10-05,-1.9536256323777403,-3.1605637195856424,-1.087569260419176,1.0,-2.4720549265237293,-2.3713562996868225,0.0
2018-10-08,-1.9538053310818961,-3.160897358581595,-1.0776745869014595,1.0,-2.490170063924738,-2.378603304788325,0.0
2018-10-09,-1.9509165460684998,-3.1618427399903526,-1.0706705258080078,1.0,-2.493125904486252,-2.3832609744331887,0.0
2018-10-10,-1.9510135135135138,-3.1660231660231664,-1.0678088803088803,1.0,-2.4951737451737452,-2.3856177606177607,0.0
2018-10-11,-1.7793399953520799,-3.1575644898907735,-0.8260515919126191,1.0,-2.4422495933069954,-2.414594468975134,0.0
2018-10-12,-1.7927473031902685,-3.141725958228139,-0.8027312370897407,1.0,-2.3886848749139316,-2.349896717925178,0.0
2018-10-15,-1.7460915211685497,-3.1975350907223556,-0.7379892730799955,1.0,-2.3788656852676024,-2.351021339723839,0.0
2018-10-16,-1.7454358740301232,-3.1989958922866273,-0.7360794157918759,1.0,-2.378822455499772,-2.3509812870835236,0.0
2018-10-17,-1.6744005328596803,-3.0699378330373004,-0.6665186500888101,1.0,-2.3439165186500888,-2.34658081705151,0.0
2018-10-18,-1.6729936729936727,-3.067488067488067,-0.6673326673326673,1.0,-2.3455433455433456,-2.3465423465423467,0.0
2018-10-19,-1.6362036731551743,-3.0390410205652696,-0.6245463543385021,1.0,-2.35136918508743,-2.346310348619818,0.0
2018-10-22,-1.6356146325387235,-3.0315280676699987,-0.6216631879600132,1.0,-2.350873338459848,-2.345710205426782,0.0
2018-10-23,-1.6356043956043957,-3.0334065934065935,-0.62,1.0,-2.352637362637363,-2.3472527472527474,0.0
2018-10-24,-1.635605312259906,-3.0272198441444407,-0.6037756558006806,1.0,-2.3561628800351224,-2.352870156953134,0.0
2018-10-25,-1.4911358482787054,-2.822201607915894,-0.5330859616573903,1.0,-2.2709750566893425,-2.18975468975469,0.0
2018-10-26,-1.4401209677419353,-2.7620967741935485,-0.4835685483870968,1.0,-2.2517137096774196,-2.143145161290323,0.0
2018-10-29,-1.4096581109871156,-2.8352439890433194,-0.43674546007913156,1.0,-2.2651922491630314,-2.198133306279801,0.0
2018-10-30,-1.3995947315096253,-2.8340425531914897,-0.42917933130699093,1.0,-2.264336372847011,-2.204761904761905,0.0
2018-10-31,-1.4004615693357416,-2.7741320489664862,-0.4257475416415814,1.0,-2.250752558699579,-2.1831226168974514,0.0
2018-11-01,-1.3780219780219782,-2.7868131868131867,-0.4028971028971029,1.0,-2.2441558441558445,-2.1781218781218783,0.0
2018-11-02,-1.3733359629227888,-2.718568188541564,-0.38753574598165863,1.0,-2.2333103244255987,-2.14830884528153,0.0
2018-11-05,-1.3711807608909916,-2.721368026808595,-0.38586635127143704,1.0,-2.2326039818647745,-2.144983244628425,0.0
2018-11-06,-1.4001389716100856,-2.7591820528092117,-0.37631526702402224,1.0,-2.2438951756998216,-2.1471113758189397,0.0
2018-11-07,-1.4227097298395288,-2.8288645135080235,-0.399553118017469,1.0,-2.3001218769043263,-2.205261019703433,0.0
2018-11-08,-1.3620311252992818,-2.8141460494812454,-0.33988427773343977,1.0,-2.263367916999202,-2.1965283320031923,0.0
2018-11-09,-1.3606900678101317,-2.812524930195453,-0.3411447945751895,1.0,-2.2626645392899882,-2.195053849222178,0.0
2018-11-12,-1.3488579056659746,-2.779195095421734,-0.331850093938495,1.0,-2.252447345001483,-2.1758133096015033,0.0
2018-11-13,-1.298831548198637,-2.7633885102239533,-0.2737098344693281,1.0,-2.2444011684518013,-2.156767283349562,0.0
2018-11-14,-1.2988707165109035,-2.7627531152647973,-0.2733644859813084,1.0,-2.2440615264797508,-2.15625,0.0
2018-11-15,-1.2969402622632347,-2.763088878096163,-0.26741136474016514,1.0,-2.2466245750364253,-2.139388052452647,0.0
2018-11-16,-1.2864452597026452,-2.738269936281135,-0.26047499517281325,1.0,-2.2339254682371115,-2.1353543155049235,0.0
2018-11-19,-1.2863074546156816,-2.7398609501738123,-0.25840092699884126,1.0,-2.235322518346852,-2.1363460795674003,0.0
2018-11-20,-1.2188455657492354,-2.7269686544342506,-0.17880351681957188,1.0,-2.2496177370030583,-2.1823394495412844,0.0
2018-11-21,-1.2167390073598792,-2.6997546706925832,-0.18277033402528778,1.0,-2.2262691073787506,-2.1102094734855634,0.0
2018-11-23,-1.214299171062547,-2.6899962321024864,-0.18293142426525996,1.0,-2.225226073850791,-2.107290881688018,0.0
2018-11-26,-1.21501320256507,-2.7060543191248585,-0.17898906073179932,1.0,-2.2245379102225575,-2.1058091286307055,0.0
2018-11-27,-1.201200637838852,-2.719819904324172,-0.14163774505205892,1.0,-2.2192102054216303,-2.098114623393678,0.0
2018-11-28,-1.2014091122592767,-2.7351808360732734,-0.13912635039924848,1.0,-2.218882104274307,-2.099389384687647,0.0
