Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XOM
2018-09-24,-0.22418609797250572,-0.5111055790667441,-0.031698614222886064,-0.525682515973778,-0.47334937626199763,0.0,1.0
2018-09-25,-0.2314035818408996,-0.5112314313480494,-0.03945578231292517,-0.5250034707760655,-0.46955435235318616,0.0,1.0
2018-09-26,-0.23142492225677477,-0.5113005330964017,-0.03959351399378055,-0.5249611283873834,-0.469263660595291,0.0,1.0
2018-09-27,-0.23155089122105615,-0.5110500305402854,-0.03973013493253373,-0.5248764506635571,-0.46920983952468215,0.0,1.0
2018-09-28,-0.23063468265867068,-0.5117996557276917,-0.04014659336998168,-0.5246543394969182,-0.46915431173302236,0.0,1.0
2018-10-01,-0.23269129214263878,-0.510936935434559,-0.039773201033936466,-0.526307012423914,-0.46969065288084716,0.0,1.0
2018-10-02,-0.23480655299974965,-0.496564959808639,-0.04511445498289433,-0.5305259644535921,-0.47436931549522987,0.0,1.0
2018-10-03,-0.23476542935054817,-0.4875619121820914,-0.0435750459124047,-0.5350325560687852,-0.4816350381212088,0.0,1.0
2018-10-04,-0.2379044598391898,-0.4826530896141112,-0.044125420805163726,-0.538964471524358,-0.4785076370920624,0.0,1.0
2018-10-05,-0.23006764249279218,-0.47773896651142167,-0.03631625637613662,-0.5442171213129298,-0.4839210467952983,0.0,1.0
2018-10-08,-0.2287145704162976,-0.4754207263064659,-0.03379650132860939,-0.5464459698848539,-0.48355845881310894,0.0,1.0
2018-10-09,-0.2264778427514342,-0.47717761826899097,-0.026799323781282046,-0.551201396779647,-0.4897597206440706,0.0,1.0
2018-10-10,-0.22800842525358905,-0.4758882545313453,-0.02849066016296214,-0.5522975444820133,-0.48678011196718585,0.0,1.0
2018-10-11,-0.19707692724856962,-0.46977954933702104,-0.0,-0.5483066243661704,-0.4964071693917948,0.0,1.0
2018-10-12,-0.19216821822905392,-0.4687432344663347,-0.0,-0.5494695821606408,-0.4958324312621779,0.0,1.0
2018-10-15,-0.17015699732483042,-0.4891507012186883,-0.0,-0.5460048099008296,-0.4968789688437322,0.0,1.0
2018-10-16,-0.17093670612399328,-0.48821685314307334,-0.0,-0.5462677693097671,-0.49716231555051077,0.0,1.0
2018-10-17,-0.15487847175902458,-0.4600197433366239,-0.0,-0.5458232170966624,-0.507323710680078,0.0,1.0
2018-10-18,-0.15414787736478375,-0.458601275448942,-0.0,-0.5477759692611468,-0.507724737839208,0.0,1.0
2018-10-19,-0.13899429481225953,-0.4480827915616293,-0.0,-0.5549688204856043,-0.5115297863871566,0.0,1.0
2018-10-22,-0.13906353627802095,-0.44302957951983024,-0.0,-0.5571826502188619,-0.5135959676349648,0.0,1.0
2018-10-23,-0.13748705832382066,-0.4434946507738458,-0.0,-0.5589742228357535,-0.5147468740874458,0.0,1.0
2018-10-24,-0.1364844746916206,-0.44659187579753296,-0.0,-0.5603732454274777,-0.5149670353041259,0.0,1.0
2018-10-25,-0.11766848816029145,-0.4214155607598231,-0.0,-0.563752276867031,-0.49929742388758785,0.0,1.0
2018-10-26,-0.10688284194764289,-0.41361594464811274,-0.0,-0.5674601125626064,-0.4937522589972634,0.0,1.0
2018-10-29,-0.09538137118757394,-0.4163709304119735,-0.0,-0.5635190042688886,-0.4963740163555007,0.0,1.0
2018-10-30,-0.09514747859181731,-0.41636022321084165,-0.0,-0.5635045130763494,-0.49654126057551373,0.0,1.0
2018-10-31,-0.09559748427672957,-0.41322038249261966,-0.0,-0.562777563855731,-0.4954691310486458,0.0,1.0
2018-11-01,-0.09399779311760631,-0.4143036772819421,-0.0,-0.5624983961610511,-0.4953424516923709,0.0,1.0
2018-11-02,-0.09623398869940941,-0.40257714826272595,-0.0,-0.5650550967708946,-0.49280290440518504,0.0,1.0
2018-11-05,-0.08961235537084071,-0.4263834372354344,-0.0,-0.5702557787526616,-0.47923240719361704,0.0,1.0
2018-11-06,-0.0939833226427197,-0.43004490057729317,-0.0,-0.567158434894163,-0.4745349583066068,0.0,1.0
2018-11-07,-0.09370432106680344,-0.42997820233363254,-0.0,-0.5664572381074496,-0.47426593152968327,0.0,1.0
2018-11-08,-0.0797339652931733,-0.4296562444257575,-0.0,-0.561960094793976,-0.4768748566623347,0.0,1.0
2018-11-09,-0.08158365261813538,-0.43159642401021714,-0.0,-0.5622733077905492,-0.47885057471264364,0.0,1.0
2018-11-12,-0.08121801563255848,-0.4190493163938182,-0.0,-0.5685006492349212,-0.4772513175649871,0.0,1.0
2018-11-13,-0.06664137582195245,-0.41525037936267073,-0.0,-0.5715477996965099,-0.47564491654021246,0.0,1.0
2018-11-14,-0.06461780929866036,-0.42136302397112274,-0.0,-0.5755865680368082,-0.4804138386842573,0.0,1.0
2018-11-15,-0.0638157393534625,-0.4212651413189772,-0.0,-0.5766525305365805,-0.47769115518423527,0.0,1.0
2018-11-16,-0.06309436258970913,-0.4182791063322598,-0.0,-0.5756853396901073,-0.4788882408135318,0.0,1.0
2018-11-19,-0.06114368384984391,-0.41960455849133227,-0.0,-0.5775273484098581,-0.4798598949211909,0.0,1.0
2018-11-20,-0.02552567731500202,-0.41394561261625556,-0.0,-0.5859280226445612,-0.5019207440355843,0.0,1.0
2018-11-21,-0.023107971745711404,-0.4127648839556004,-0.0,-0.587008072653885,-0.49982341069626646,0.0,1.0
2018-11-23,-0.023551364163598768,-0.41045942811034347,-0.0,-0.5876746179837612,-0.4998991376267084,0.0,1.0
2018-11-26,-0.024904263143212195,-0.4077756080241434,-0.0,-0.5959017017067789,-0.5074941036240522,0.0,1.0
2018-11-27,-0.022792311393623216,-0.4076531516701699,-0.0,-0.5954364727631879,-0.5066224326993695,0.0,1.0
