Date,IWF,IWM,MTUM,SPY,TRHC,VLUE,VXX
2018-09-24,-1.030777501511995,-2.101270075935757,-0.3763187957798535,-1.2234392849942881,1.0,-0.9881728378469188,0.0
2018-09-25,-1.0446874578101797,-2.1044282435533956,-0.39017145943026865,-1.2257999189955449,1.0,-0.9852841906304848,0.0
2018-09-26,-1.0449544380695241,-2.1046911913601076,-0.3908876139048262,-1.2255146810664865,1.0,-0.98393520080999,0.0
2018-09-27,-1.045319665497707,-2.0997437280820073,-0.3919611545724305,-1.224237928243863,1.0,-0.9828028055031023,0.0
2018-09-28,-1.041376982787715,-2.1051636854539315,-0.3933175835302059,-1.225447181910226,1.0,-0.9846101923725953,0.0
2018-10-01,-1.0413144904996958,-2.1106903779836363,-0.39461762120494964,-1.2272635066603557,1.0,-0.9878964094935426,0.0
2018-10-02,-1.0437559451012366,-2.1444489740453867,-0.38802826470987906,-1.2289033836119039,1.0,-0.9891969017529555,0.0
2018-10-03,-1.0441046551138293,-2.144954128440367,-0.3888549099558274,-1.2288141352361537,1.0,-0.9890587835541964,0.0
2018-10-04,-1.0474541751527497,-2.1349626612355737,-0.39008825526137136,-1.2327902240325868,1.0,-0.9835709436524102,0.0
2018-10-05,-1.0301700863930885,-2.128982181425486,-0.37014038876889854,-1.2352186825053997,1.0,-0.9849487041036719,0.0
2018-10-08,-1.0296146044624745,-2.1292765382014873,-0.35889114266396216,-1.2528735632183907,1.0,-0.9906693711967546,0.0
2018-10-09,-1.0425792409196026,-2.1412732961501835,-0.37450686981363074,-1.2554754455176165,1.0,-0.9878928037001768,0.0
2018-10-10,-1.064578313253012,-2.1590361445783133,-0.38574870912220316,-1.2828915662650604,1.0,-0.9923580034423408,0.0
2018-10-11,-0.9614091703643941,-2.206265967459997,-0.21534220787952132,-1.2834476267312087,1.0,-1.0567433104746535,0.0
2018-10-12,-0.967180703835508,-2.1872940556214573,-0.20495584552524052,-1.2339528140239882,1.0,-0.9969025965467245,0.0
2018-10-15,-0.9388023401038587,-2.2369026490501547,-0.16229540524551372,-1.2334845198185764,1.0,-1.0017747978702427,0.0
2018-10-16,-0.9354966363276612,-2.2691597414589104,-0.14272523413797653,-1.240469595040232,1.0,-1.0075847513520644,0.0
2018-10-17,-0.898560966208403,-2.185661056148015,-0.11923422844661442,-1.2168829500192728,1.0,-1.0039187973789028,0.0
2018-10-18,-0.8969615211665704,-2.1831438298965757,-0.12044709963384082,-1.2193100790132974,1.0,-1.003982784094559,0.0
2018-10-19,-0.8741494435612083,-2.167631160572337,-0.09545310015898252,-1.2235294117647058,1.0,-0.9984737678855327,0.0
2018-10-22,-0.8744171191312681,-2.1844778026189715,-0.10923027786649633,-1.2212072820185245,1.0,-0.9984669434685405,0.0
2018-10-23,-0.8924842078122985,-2.200721928580637,-0.12814232306303983,-1.2200593012762666,1.0,-1.0044475957199948,0.0
2018-10-24,-0.8970009674298615,-2.1989680748145757,-0.11144792002579813,-1.2282489519509836,1.0,-1.0138664946791358,0.0
2018-10-25,-0.8523765144454799,-2.102951227089158,-0.12581547064305684,-1.1847157502329915,1.0,-0.947188567878223,0.0
