Date,IWF,IWM,MTUM,SDY,SPY,TREX,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-1.1073172785449648,-0.0,-0.31753115527113507,-0.0,1.0,-0.22768608959245537,-0.023787470528797573,-0.3293196362411586,-0.11186426406197372,-0.0,-0.042649040080835296,-0.0,-0.0,-0.24536881104749073,-0.0,-0.7751347254968002,-0.0,-0.029513304142809026
2019-01-03,-0.0,-1.1183076081927914,-0.0,-0.22601673886529,-0.0,1.0,-0.09980232998275644,-0.11750851663372165,-0.34108592337132526,-0.14459351474113638,-0.0,-0.07280144677629641,-0.0,-0.0,-0.2823316650544644,-0.0,-0.7829835555368634,-0.0,-0.020313748580561047
2019-01-04,-0.0,-1.1627427898763978,-0.0,-0.2428319179349197,-0.0,1.0,-0.03350710501975952,-0.1117043639115446,-0.2680147986210376,-0.17363154796939378,-0.03602959724207517,-0.03750105103842597,-0.0,-0.0,-0.32275287984528717,-0.0,-0.8154376524005718,-0.0,-0.0
2019-01-07,-0.0,-1.0947231482234328,-0.0,-0.3345393934466217,-0.0,1.0,-0.09167411984714205,-0.08919424343442557,-0.19761769249532482,-0.10578095780144728,-0.039230831774941057,-0.02309130823644199,-0.0,-0.0,-0.2837222538417758,-0.0,-0.7396942840881372,-0.0,-0.06610293519798358
2019-01-08,-0.0,-1.0892137302007412,-0.0,-0.33559998371269184,-0.0,1.0,-0.09914898815098334,-0.08257665214381693,-0.20469074473716356,-0.11523270491469521,-0.033266826825196466,-0.03233030660857526,-0.0,-0.0,-0.28563866606946536,-0.0,-0.7440856712406857,-0.0,-0.050042754183802274
2019-01-09,-0.0,-1.0622046289938198,-0.0,-0.31013450741204507,-0.0,1.0,-0.11027184230722624,-0.10393020155915497,-0.19877206446661547,-0.08979278587874136,-0.034697257341358,-0.05719594458133053,-0.0,-0.0,-0.28327341761925917,-0.0,-0.7236337197560285,-0.0,-0.06535525305974067
2019-01-10,-0.0,-1.0818479447071663,-0.0,-0.31955054363202784,-0.0,1.0,-0.11216199830241301,-0.12562143809870258,-0.18091427185643266,-0.06968190453094054,-0.054726971423952143,-0.05876884523665172,-0.0,-0.0,-0.24627137140778466,-0.0,-0.729800735621034,-0.0,-0.0625682066205893
2019-01-11,-0.0,-1.0509012083015536,-0.0,-0.31431897555296856,-0.0,1.0,-0.08269439203564691,-0.11970615390791217,-0.15623620087511542,-0.0631447954718799,-0.06029464895026294,-0.08205210549556421,-0.0,-0.0,-0.26137047890490145,-0.0,-0.7088033398900084,-0.0,-0.11476857613102646
2019-01-14,-0.0,-1.0513149969885565,-0.0,-0.30997791608110825,-0.0,1.0,-0.08628789399718932,-0.14113631800843204,-0.15037141136318008,-0.055049186910258986,-0.05553101786789801,-0.08179080505922505,-0.0,-0.0,-0.2668941979522184,-0.0,-0.7035535033125878,-0.0,-0.11335073278458142
2019-01-15,-0.0,-1.0316534111346471,-0.0,-0.32976299908077217,-0.0,1.0,-0.08632748491267336,-0.12801246952559853,-0.14016226369849327,-0.05739179089564766,-0.05815115303145359,-0.10311338475680429,-0.0,-0.0,-0.2756484552975501,-0.0,-0.671396027337037,-0.0,-0.1150633467886975
2019-01-16,-0.0,-1.0055606307344005,-0.0,-0.3474997021090678,-0.0,1.0,-0.06255709576200501,-0.18068078007705446,-0.20391627278865632,-0.0029789093220002386,-0.06331175279024506,-0.06474162926480517,-0.0,-0.0,-0.26663224371450134,-0.0,-0.6486475751678119,-0.0,-0.12535250426977002
2019-01-17,-0.0,-0.984510286758281,-0.0,-0.34700929382794504,-0.0,1.0,-0.07462864405433316,-0.1919135753435539,-0.2069266820239892,-0.011716577964889983,-0.07157041861942967,-0.022321073953451426,-0.0,-0.0,-0.2934704901104138,-0.0,-0.6332909683056637,-0.0,-0.13436333306855192
2019-01-18,-0.0,-0.9877254310002384,-0.0,-0.34623023754667515,-0.0,1.0,-0.07348851990148565,-0.19170572813219985,-0.20866767299594818,-0.010487010407563358,-0.07158179073647414,-0.02117263843648208,-0.0,-0.0,-0.2935568443632319,-0.0,-0.6341463414634146,-0.0,-0.13351076507507745
2019-01-22,-0.0,-1.0009111797797323,-0.0,-0.3329371682117107,-0.0,1.0,-0.06548609460423105,-0.18821804928294114,-0.20707550907218128,-0.015688138816258617,-0.06833848347991445,-0.018936692813564696,-0.0,-0.0,-0.2894778543697013,-0.0,-0.6428571428571429,-0.0,-0.13176451945170747
2019-01-23,-0.0,-1.0045150302982297,-0.0,-0.3320131490356054,-0.0,1.0,-0.06305200205948751,-0.1879282347815755,-0.20693888866885818,-0.0149708899362351,-0.06831953740742208,-0.018258148837577728,-0.0,-0.0,-0.2896748386074696,-0.0,-0.6435898451423819,-0.0,-0.13125272288011408
2019-01-24,-0.0,-1.002142517060784,-0.0,-0.3651007776543406,-0.0,1.0,-0.03451833042374226,-0.18667671798127283,-0.23789874623075705,-0.03820822091731471,-0.09240596730677672,-0.006467227424218378,-0.0,-0.0,-0.24345342009204887,-0.0,-0.6574750039676243,-0.0,-0.10327725757816221
2019-01-25,-0.0,-1.0016664682775862,-0.0,-0.36495655279133443,-0.0,1.0,-0.03467841130024204,-0.1873586477800262,-0.23767011863667026,-0.038328770384478045,-0.0924493115898901,-0.0066658731103440075,-0.0,-0.0,-0.24278855691782728,-0.0,-0.6578581914851407,-0.0,-0.10340038884259811
2019-01-28,-0.0,-0.9959751334980474,-0.0,-0.3806487606599187,-0.0,1.0,-0.03012672351956643,-0.18877022395791823,-0.21554953375308838,-0.04224117318881007,-0.0885072128795728,-0.012313700486171994,-0.0,-0.0,-0.24778831593209533,-0.0,-0.6768948752689886,-0.0,-0.10620068542281023
2019-01-29,-0.0,-1.0017176639769911,-0.0,-0.37241351761604213,-0.0,1.0,-0.04254214268594711,-0.18706559079651672,-0.22465446992090754,-0.03227610449788288,-0.08045058720140609,-0.012423104577774227,-0.0,-0.0,-0.2793800431413278,-0.0,-0.6612207397938803,-0.0,-0.10042342414316528
2019-01-30,-0.0,-1.000599113312298,-0.0,-0.3654591205016576,-0.0,1.0,-0.037624316012301796,-0.17961417102688024,-0.20984942285417585,-0.046451252146822705,-0.0776850261612813,-0.024204177816831093,-0.0,-0.0,-0.2798657986180453,-0.0,-0.6656947717378281,-0.0,-0.10700163757638696
2019-01-31,-0.0,-1.0016729068748504,-0.0,-0.41245120688281683,-0.0,1.0,-0.021389309328447383,-0.2034175097586234,-0.19827929578586792,-0.048434637138532625,-0.06679678164582172,-0.026248705488727795,-0.0,-0.0,-0.27463554528797895,-0.0,-0.6526726678881543,-0.0,-0.07711304070740062
2019-02-01,-0.0,-1.0016733734411731,-0.0,-0.41296465994661147,-0.0,1.0,-0.02075779911550261,-0.2033945575520937,-0.1973385393840392,-0.050241045459978484,-0.06677556874775888,-0.026096657237340136,-0.0,-0.0,-0.2752699310729511,-0.0,-0.6533328021036694,-0.0,-0.07633770269731863
2019-02-04,-0.0,-1.0077005945018553,-0.0,-0.41220125284283604,-0.0,1.0,-0.03985955392411124,-0.21453936081075686,-0.1963851095239995,-0.05099150141643059,-0.07564936360371863,-0.025096756174440408,-0.0,-0.0,-0.27159557914056576,-0.0,-0.6482065195706818,-0.0,-0.047719746239476515
