Date,FND,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8472081859525014,-1.752589691763517,-0.059373420919656396,-1.3424077817079334,-1.3147422940879232,0.0
2018-09-25,1.0,-0.8523502653525398,-1.7496841041192823,-0.06678038918372504,-1.3396512509476877,-1.3093884255749304,0.0
2018-09-26,1.0,-0.8618745595489782,-1.7728233711320394,-0.056121468383624834,-1.366519315779358,-1.3491575373182139,0.0
2018-09-27,1.0,-0.8631653019447288,-1.7640097236438077,-0.05814994882292734,-1.364700614124872,-1.347172466734903,0.0
2018-09-28,1.0,-0.8606372706791119,-1.7844866430640491,-0.06089475378178307,-1.3742516897328614,-1.356742838751207,0.0
2018-10-01,1.0,-0.8648056218167752,-1.7842821223647733,-0.06092450518986526,-1.378247695184063,-1.358777641673651,0.0
2018-10-02,1.0,-0.8695932859909618,-1.7592640413169784,-0.07153001936733376,-1.3871530019367333,-1.3682375726275016,0.0
2018-10-03,1.0,-0.8805318386234764,-1.7952160594407873,-0.077233917747507,-1.3949032131916834,-1.369745160659584,0.0
2018-10-04,1.0,-0.8811984822713593,-1.8074054690566534,-0.07922281826507915,-1.3956561559597018,-1.378516289415151,0.0
2018-10-05,1.0,-0.8642987249544627,-1.7995055945875618,-0.05685662243039292,-1.4000130106687485,-1.3845953682019256,0.0
2018-10-08,1.0,-0.8604077392546423,-1.793208674198156,-0.048240488248279444,-1.4069601350473966,-1.3838462537332814,0.0
2018-10-09,1.0,-0.8575328220460159,-1.7964383205511503,-0.03834654881060705,-1.4140777330040297,-1.3930846223839854,0.0
2018-10-10,1.0,-0.8573750243775597,-1.797698758369629,-0.03692387700708575,-1.4147435480725477,-1.3939413638432037,0.0
2018-10-11,1.0,-0.7083202511773941,-1.7826687598116169,-0.0,-1.3692307692307693,-1.419215070643642,0.0
2018-10-12,1.0,-0.7526508457460237,-1.8118530674072204,-0.0,-1.3536985609694523,-1.3932719010350922,0.0
2018-10-15,1.0,-0.6872768995410505,-1.9122259051504333,-0.0,-1.3591279959204488,-1.4156680265170833,0.0
2018-10-16,1.0,-0.677237851662404,-1.9395780051150895,-0.0,-1.3602941176470587,-1.4166879795396419,0.0
2018-10-17,1.0,-0.6262444001991041,-1.8466898954703832,-0.0,-1.3334992533598806,-1.415443006470881,0.0
2018-10-18,1.0,-0.6400882445635045,-1.8815631894106521,-0.0,-1.3462968799243618,-1.4352347935707532,0.0
2018-10-19,1.0,-0.6019435736677116,-1.863510971786834,-0.0,-1.3597492163009404,-1.4443260188087774,0.0
2018-10-22,1.0,-0.6060072891793389,-1.8735076033681037,-0.0,-1.3598089732311174,-1.4444514264169912,0.0
2018-10-23,1.0,-0.6122808120168437,-1.8744264973917415,-0.0,-1.3557915907233988,-1.442461190371441,0.0
2018-10-24,1.0,-0.6197721051626456,-1.88458845247947,-0.0,-1.3844929658157743,-1.476987714049271,0.0
2018-10-25,1.0,-0.5323398277652233,-1.7770109326329935,-0.0,-1.394124473218103,-1.404140963781836,0.0
2018-10-26,1.0,-0.49049200120736497,-1.749894355568971,-0.0,-1.4099607606399034,-1.3864775128282525,0.0
2018-10-29,1.0,-0.45925393689000665,-1.7527094185976888,-0.0,-1.3911143045326628,-1.3845877492365728,0.0
2018-10-30,1.0,-0.47530048076923076,-1.7588942307692308,-0.0,-1.3965745192307695,-1.37890625,0.0
2018-10-31,1.0,-0.4759046883356111,-1.7235724047774674,-0.0,-1.38112781508111,-1.361518806821558,0.0
2018-11-01,1.0,-0.44991108476585656,-1.740663900414938,-0.0,-1.3773562537048016,-1.3597510373443984,0.0
2018-11-02,1.0,-0.6371987015677878,-2.070170591891705,-0.0,-1.5880931003522343,-1.6110228606947994,0.0
2018-11-05,1.0,-0.6299827288428325,-2.093126079447323,-0.0,-1.5901208981001729,-1.5952331606217618,0.0
2018-11-06,1.0,-0.6388389771941949,-2.1006910850034557,-0.0,-1.5849343469246717,-1.5863856254319282,0.0
2018-11-07,1.0,-0.6373998342083449,-2.1006493506493507,-0.0,-1.5842083448466429,-1.5857971815418623,0.0
2018-11-08,1.0,-0.5730490638239716,-2.1037310373103733,-0.0,-1.5615006150061501,-1.5951209512095121,0.0
