Date,IWF,IWM,MGPI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9849949307198378,-1.9163230821223387,1.0,-0.17296383913484287,-1.4761067928354175,-1.2085839810746875,0.0
2018-09-25,-0.9852742502026478,-1.9140772764117806,1.0,-0.17468251823831396,-1.4743312618211295,-1.206565793028911,0.0
2018-09-26,-0.9860839019117746,-1.9152198878605688,1.0,-0.1764507194487604,-1.4738904276160238,-1.2037424846314935,0.0
2018-09-27,-0.9924385633270321,-1.8994733999459896,1.0,-0.18113691601404266,-1.474615176883608,-1.203686200378072,0.0
2018-09-28,-0.990280777537797,-1.8999730021598271,1.0,-0.1822354211663067,-1.4736771058315337,-1.203361231101512,0.0
2018-10-01,-0.9906188837146521,-1.8989674023081597,1.0,-0.18276304245123845,-1.4735101572518055,-1.2032125261523925,0.0
2018-10-02,-0.9949738504380902,-1.9364939210758676,1.0,-0.17700196970726076,-1.4772125246213408,-1.2064796576784624,0.0
2018-10-03,-0.9940262032448578,-1.9201683524540085,1.0,-0.17507297535808838,-1.4826556241938769,-1.2164822483198696,0.0
2018-10-04,-1.0012898845892737,-1.9086897488119487,1.0,-0.17684996605566872,-1.4919891378139851,-1.2100475220638156,0.0
2018-10-05,-0.9744542812732312,-1.89633033723052,1.0,-0.14448874771913225,-1.5119956747989458,-1.2307900250050687,0.0
2018-10-08,-0.9694743935309973,-1.8878032345013478,1.0,-0.13584905660377358,-1.5172506738544473,-1.2280323450134771,0.0
2018-10-09,-0.9674060048688125,-1.8970110900730321,1.0,-0.12097646740600486,-1.5316472815796591,-1.2451988098458209,0.0
2018-10-10,-0.9723783088484192,-1.896689459075215,1.0,-0.12477151174598874,-1.536185769413039,-1.2399295917676527,0.0
2018-10-11,-0.839232075225284,-1.8987854251012144,1.0,-0.0,-1.5126681467937835,-1.2792869269949065,0.0
2018-10-12,-0.8401325854156043,-1.864482406935237,1.0,-0.0,-1.4568459969403367,-1.2129015808261092,0.0
2018-10-15,-0.7870594223183612,-1.9153836365949868,1.0,-0.0,-1.4469398142257286,-1.2127497137040337,0.0
2018-10-16,-0.7847875858560163,-1.917832612566777,1.0,-0.0,-1.4455609259730349,-1.2115237852963623,0.0
2018-10-17,-0.7298280219441533,-1.8124268014547247,1.0,-0.0,-1.414596560438883,-1.2072982802194414,0.0
2018-10-18,-0.7289086091082763,-1.8109323966229125,1.0,-0.0,-1.4156036235903124,-1.2070623035681272,0.0
2018-10-19,-0.6918537446005962,-1.7806169008943238,1.0,-0.0,-1.4141266654498998,-1.1972987771491148,0.0
2018-10-22,-0.6953674805703445,-1.7657426106113459,1.0,-0.0,-1.4381616792117986,-1.2203047549109602,0.0
2018-10-23,-0.6972291883295614,-1.7649397516667684,1.0,-0.0,-1.4358064713438132,-1.2186678084286502,0.0
2018-10-24,-0.6979428922321155,-1.7774025176542831,1.0,-0.0,-1.442493091802272,-1.2228431071538226,0.0
2018-10-25,-0.6132305194805195,-1.6445384972170687,1.0,-0.0,-1.4162801484230056,-1.1237824675324677,0.0
2018-10-26,-0.5726935161382463,-1.6129105969722934,1.0,-0.0,-1.4247357897743502,-1.1023136246786631,0.0
2018-10-29,-0.5412916737420049,-1.6154978207958341,1.0,-0.0,-1.4049357559291333,-1.0985453104658403,0.0
2018-10-30,-0.5112260558176548,-1.6251349968737565,1.0,-0.0,-1.4148240777581993,-1.132893764565452,0.0
2018-10-31,-0.513260442949257,-1.5826745164003364,1.0,-0.0,-1.3978693580039248,-1.1131483038968322,0.0
2018-11-01,-0.48112679211469533,-1.6083109318996416,1.0,-0.0,-1.3967293906810037,-1.1141353046594982,0.0
2018-11-02,-0.4965682718598292,-1.5474582891579711,1.0,-0.0,-1.425924892584119,-1.1100943027732828,0.0
2018-11-05,-0.523350079926924,-1.5479561543731444,1.0,-0.0,-1.4617492578214202,-1.176010504681434,0.0
2018-11-06,-0.5270725166885377,-1.5496091744166143,1.0,-0.0,-1.4577508986135677,-1.1710503794146174,0.0
2018-11-07,-0.5308181870305602,-1.5570781491886931,1.0,-0.0,-1.4671177111404161,-1.1785448082105383,0.0
2018-11-08,-0.4744141288350503,-1.5557568210121133,1.0,-0.0,-1.4453752971810256,-1.1851013245782858,0.0
2018-11-09,-0.47461656007697095,-1.5551530929877186,1.0,-0.0,-1.4450732922066896,-1.184730318637161,0.0
2018-11-12,-0.47198336424436577,-1.5211600067442252,1.0,-0.0,-1.4518068903501375,-1.1752374529309277,0.0
2018-11-13,-0.4160339437248772,-1.5221080839660561,1.0,-0.0,-1.4698526127735596,-1.174854845913354,0.0
2018-11-14,-0.42174620086356757,-1.527112656311333,1.0,-0.0,-1.4783827735097852,-1.1803398194358774,0.0
2018-11-15,-0.4198242570101304,-1.5284602899199642,1.0,-0.0,-1.4835170985615942,-1.1651648290143841,0.0
2018-11-16,-0.41113790589422916,-1.5146654702484437,1.0,-0.0,-1.492120464359823,-1.1902304974482643,0.0
2018-11-19,-0.4058175656594182,-1.5297938435470204,1.0,-0.0,-1.5092911606890709,-1.2032759107596724,0.0
