Date,ENBL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.42887489568318027,-0.9788711023442833,-0.0,-0.7089371064410894,-0.6766557924284955,0.0
2018-09-25,1.0,-0.42798025816249047,-0.980220197418375,-0.0,-0.71002277904328,-0.6782839787395596,0.0
2018-09-26,1.0,-0.42890770340559625,-0.981130642773074,-0.0,-0.7100117696191959,-0.6765632711948061,0.0
2018-09-27,1.0,-0.43801590018638975,-0.9711286089238845,-0.0,-0.7147095743466849,-0.6800182585872419,0.0
2018-09-28,1.0,-0.44866045762906753,-0.9749338852477867,-0.0,-0.7225096776666284,-0.6865969108121575,0.0
2018-10-01,1.0,-0.4484504449217551,-0.976871739797484,-0.0,-0.7227677201595581,-0.6874424670144216,0.0
2018-10-02,1.0,-0.4619724841552017,-0.9507265419693925,-0.0,-0.7438553099397126,-0.7079919616633173,0.0
2018-10-03,1.0,-0.4645943955660633,-0.9608542304561838,-0.0,-0.744195961396845,-0.7061741792953761,0.0
2018-10-04,1.0,-0.46760137882954417,-0.9551493086486696,-0.0,-0.747705178357024,-0.7026995623378134,0.0
2018-10-05,1.0,-0.4461971613699475,-0.9441530391854365,-0.0,-0.7542425177414378,-0.7122415921012033,0.0
2018-10-08,1.0,-0.4433261071539176,-0.9442938990399505,-0.0,-0.7673041189222669,-0.7162821306906163,0.0
2018-10-09,1.0,-0.44678213026463637,-0.9460265798752373,-0.0,-0.7671354953698323,-0.7146731760238677,0.0
2018-10-10,1.0,-0.44962411842207234,-0.9450127877237852,-0.0,-0.7691622103386809,-0.711268697202201,0.0
2018-10-11,1.0,-0.37398586757393354,-0.9212248102590945,-0.0,-0.7348113807155943,-0.7087523834448723,0.0
2018-10-12,1.0,-0.3792252743206422,-0.9101922085573312,-0.0,-0.7110980189999264,-0.6816407688342294,0.0
2018-10-15,1.0,-0.34496081245170546,-0.9450270449276962,-0.0,-0.7057806233211907,-0.6838503146042609,0.0
2018-10-16,1.0,-0.3471889842052943,-0.9426383417399947,-0.0,-0.7069327344354036,-0.684952689518059,0.0
2018-10-17,1.0,-0.3183765337980106,-0.8948667683148189,-0.0,-0.7094677993175053,-0.7075800479198432,0.0
2018-10-18,1.0,-0.3211617652417915,-0.9030283152946321,-0.0,-0.7093764804489633,-0.7106155023504975,0.0
2018-10-19,1.0,-0.3016830395839352,-0.888507656746605,-0.0,-0.7115356833285177,-0.7099465472406818,0.0
2018-10-22,1.0,-0.3016142428948034,-0.8789859521144054,-0.0,-0.716333826875158,-0.7143476219710376,0.0
2018-10-23,1.0,-0.3087660928685086,-0.8812744105308838,-0.0,-0.7130044843049328,-0.7132937943005931,0.0
2018-10-24,1.0,-0.30734160726562215,-0.8835618916669682,-0.0,-0.7138256684878966,-0.7136085682237581,0.0
2018-10-25,1.0,-0.2803364879074658,-0.8390466175955136,-0.0,-0.7043813529617946,-0.6813179109709078,0.0
2018-10-26,1.0,-0.26216450216450216,-0.8232034632034632,-0.0,-0.7076017316017316,-0.6702337662337663,0.0
2018-10-29,1.0,-0.24519528828270307,-0.8278569952469519,-0.0,-0.6987669628711166,-0.6724185437762623,0.0
2018-10-30,1.0,-0.24003305102251601,-0.8276526888383943,-0.0,-0.6987537010259588,-0.6764098326791985,0.0
2018-10-31,1.0,-0.2445104668237544,-0.8053478127241063,-0.0,-0.695113205614179,-0.6699791688010109,0.0
2018-11-01,1.0,-0.21693628373063376,-0.8313211806149322,-0.0,-0.6979034850713088,-0.6739628578268752,0.0
2018-11-02,1.0,-0.21975107120995716,-0.8127252941576549,-0.0,-0.6995171053526491,-0.6686730599197442,0.0
2018-11-05,1.0,-0.21918879407064903,-0.8139938122598851,-0.0,-0.6993846258457145,-0.6672899738210996,0.0
2018-11-06,1.0,-0.22252056284413027,-0.8161919651961118,-0.0,-0.6966895520358916,-0.66338114336211,0.0
2018-11-07,1.0,-0.22159554226692035,-0.8172057624354444,-0.0,-0.6954335417232943,-0.6634275618374558,0.0
2018-11-08,1.0,-0.19010407895180031,-0.8203038162282328,-0.0,-0.6860116541480009,-0.6717976354878912,0.0
2018-11-09,1.0,-0.18930027288346865,-0.820503318397736,-0.0,-0.6874305157834452,-0.671697604689553,0.0
2018-11-12,1.0,-0.18832997987927563,-0.8070422535211268,-0.0,-0.6900737759892689,-0.6680080482897384,0.0
2018-11-13,1.0,-0.16976427170262992,-0.8025068989593378,-0.0,-0.6890314858529775,-0.6634970243042857,0.0
2018-11-14,1.0,-0.1680310067158943,-0.8097163286444585,-0.0,-0.6942096294563801,-0.6692839720672257,0.0
