Date,ANIK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.1006256517205424,-3.1884775808133474,-1.2606882168925966,-2.736444212721585,-2.7481751824817517,0.0
2018-09-25,1.0,-2.120608285264814,-3.202936549554274,-1.279234399580493,-2.749606712113267,-2.75721027792344,0.0
2018-09-26,1.0,-2.1211326691137913,-3.203329837441007,-1.2804142632406923,-2.749213424226534,-2.7556371263765076,0.0
2018-09-27,1.0,-2.1221364052886504,-3.188899070558974,-1.281581358816599,-2.746170964785967,-2.751930881005367,0.0
2018-09-28,1.0,-2.1190631950804657,-3.1885385319900563,-1.2815648305639147,-2.74434122726678,-2.7503598063587598,0.0
2018-10-01,1.0,-2.1197173884600287,-3.1876226612586684,-1.2819573465916525,-2.7444720659426927,-2.7500981290069344,0.0
2018-10-02,1.0,-2.119816873773708,-3.1824722040549376,-1.283584041857423,-2.7444081098757356,-2.750163505559189,0.0
2018-10-03,1.0,-2.1166557805355977,-3.166557805355976,-1.2804702808621815,-2.745395166557805,-2.754278249510124,0.0
2018-10-04,1.0,-2.1171253423764185,-3.154297639233077,-1.2800313029868267,-2.7454023738098345,-2.7461849484805008,0.0
2018-10-05,1.0,-2.1,-3.160732984293194,-1.2509162303664922,-2.7848167539267017,-2.792539267015707,0.0
2018-10-08,1.0,-2.094354417145844,-3.1527705175117613,-1.240067956089911,-2.790381599581808,-2.790904338734971,0.0
2018-10-09,1.0,-2.092050209205021,-3.1557269874476988,-1.2323483263598325,-2.796155857740586,-2.7990324267782425,0.0
2018-10-10,1.0,-2.0915271966527196,-3.157296025104602,-1.2296025104602508,-2.7973326359832633,-2.7995554393305437,0.0
2018-10-11,1.0,-1.8963795255930087,-3.110986267166042,-0.96354556803995,-2.718851435705368,-2.7946317103620473,0.0
2018-10-12,1.0,-1.8810486340806076,-3.0711748131814285,-0.9204949160847729,-2.6545387725101066,-2.7230184981011885,0.0
2018-10-15,1.0,-1.8292268479184368,-3.1055953392401987,-0.8528947687826192,-2.635271270785289,-2.714407088238864,0.0
2018-10-16,1.0,-1.8253794778384942,-3.1245901639344256,-0.8408014571948997,-2.636672738312082,-2.715846994535519,0.0
2018-10-17,1.0,-1.739513570673246,-2.9856656092116083,-0.7587827517330513,-2.5801903419104684,-2.6853483726941603,0.0
2018-10-18,1.0,-1.7390435906473973,-2.986135589237457,-0.7574903066619668,-2.580895311949242,-2.6859358477264714,0.0
2018-10-19,1.0,-1.696621386276559,-2.950423778009985,-0.7088122605363985,-2.5762219900150938,-2.6782770231046094,0.0
2018-10-22,1.0,-1.7008011145942181,-2.9380006966213865,-0.6972019040984558,-2.5865552072448623,-2.6877975153837226,0.0
2018-10-23,1.0,-1.7016157154480995,-2.9431593630129025,-0.6939439730326631,-2.592235266767407,-2.692897826339649,0.0
2018-10-24,1.0,-1.7144859813084112,-2.9532710280373835,-0.6811915887850468,-2.614602803738318,-2.718691588785047,0.0
2018-10-25,1.0,-1.5804623249611025,-2.783840853523005,-0.5919093131807068,-2.5640142253834184,-2.593354078684152,0.0
2018-10-26,1.0,-1.6470313230481533,-2.950561009817672,-0.5569191210846189,-2.777466105656849,-2.755843852267415,0.0
2018-10-29,1.0,-1.5979631987038538,-2.9607684295799097,-0.5068857771091309,-2.7494502951047335,-2.7576669366971416,0.0
2018-10-30,1.0,-1.5819861431870672,-2.9571593533487297,-0.4951501154734411,-2.7467667436489607,-2.7663972286374134,0.0
2018-10-31,1.0,-1.5622517307910566,-2.8777664283282265,-0.48076268300987407,-2.707524685052775,-2.721030530019294,0.0
2018-11-01,1.0,-1.5326912181303116,-2.9154674220963175,-0.44351274787535416,-2.711501416430595,-2.728158640226629,0.0
2018-11-02,1.0,-1.531414492104379,-2.83581588083772,-0.42154776570724606,-2.709709933923172,-2.700974353231045,0.0
2018-11-05,1.0,-1.5244543928371572,-2.8528259653049806,-0.42003357582540574,-2.7082260772243987,-2.686401790710688,0.0
2018-11-06,1.0,-1.524938492507269,-2.8513755312010733,-0.4199284276448222,-2.704652203086558,-2.6822858420934916,0.0
2018-11-07,1.0,-1.5180763222494977,-2.8457933496987278,-0.4214461057799598,-2.69694264673064,-2.675965186342334,0.0
2018-11-08,1.0,-1.4479474548440066,-2.8271483305966063,-0.34734537493158185,-2.658347016967707,-2.6662287903667212,0.0
2018-11-09,1.0,-1.451021304634307,-2.836151987700417,-0.35185591917417086,-2.6687898089171975,-2.6739512409400397,0.0
2018-11-12,1.0,-1.434980988593156,-2.7833785985877237,-0.33981531776208584,-2.657142857142857,-2.648451928299837,0.0
2018-11-13,1.0,-1.3643960228474719,-2.729109371694521,-0.26835202030886396,-2.615083562513222,-2.600486566532685,0.0
2018-11-14,1.0,-1.3669171340882633,-2.729177690760927,-0.26934067097047304,-2.616573182347338,-2.60112181183194,0.0
2018-11-15,1.0,-1.362523739185482,-2.726102553281283,-0.26165857775902085,-2.6159527326440175,-2.5845115003165224,0.0
2018-11-16,1.0,-1.358438818565401,-2.712974683544304,-0.249789029535865,-2.6232067510548527,-2.6041139240506332,0.0
2018-11-19,1.0,-1.3583491661389064,-2.716803884314967,-0.2453029343466329,-2.627295756808106,-2.607557525860249,0.0
2018-11-20,1.0,-1.2830698835274543,-2.6887479201331117,-0.16025374376039933,-2.6278078202995014,-2.6394550748752077,0.0
2018-11-21,1.0,-1.2683375959079284,-2.6489002557544756,-0.15232736572890027,-2.594782608695652,-2.5658312020460357,0.0
2018-11-23,1.0,-1.2651770227527803,-2.6234057749209265,-0.15661667176818692,-2.595857565554535,-2.56198347107438,0.0
2018-11-26,1.0,-1.2676891615541923,-2.6410020449897753,-0.15439672801635992,-2.598159509202454,-2.56359918200409,0.0
2018-11-27,1.0,-1.2545880913539968,-2.6621125611745513,-0.11235725938009788,-2.6018556280587273,-2.564946982055465,0.0
2018-11-28,1.0,-1.2550978792822185,-2.6593597063621535,-0.11368270799347471,-2.6023654159869496,-2.565252854812398,0.0
2018-11-29,1.0,-1.1893135881528916,-2.619971983189914,-0.04742845707424455,-2.585351210726436,-2.5639383630178108,0.0
2018-11-30,1.0,-1.1886377275455091,-2.6201240248049613,-0.044608921784356874,-2.5860172034406883,-2.5626125225045007,0.0
2018-12-03,1.0,-1.1856957346918389,-2.6210168814304264,-0.034561981819998,-2.585955449006093,-2.561782039756268,0.0
2018-12-04,1.0,-1.1622776507999601,-2.6220808903905395,-0.028023452250819834,-2.5727914140912254,-2.552320381595946,0.0
2018-12-06,1.0,-1.0570167198947962,-2.4117039263573172,-0.028931053916964117,-2.479241029494646,-2.4163065940259254,0.0
2018-12-07,1.0,-1.0564531279353748,-2.4125493142964496,-0.0267706180725155,-2.480462145406726,-2.4169641179785835,0.0
2018-12-10,1.0,-0.9909443725743856,-2.407410829791166,-0.0,-2.4662724080576606,-2.3758085381630014,0.0
2018-12-11,1.0,-0.9963955637707949,-2.406007393715342,-0.0,-2.4677449168207026,-2.371996303142329,0.0
2018-12-12,1.0,-0.9960247758158455,-2.4069520199685677,-0.0,-2.4682444300637885,-2.3734861791624295,0.0
2018-12-13,1.0,-0.9937240424550069,-2.3967697277341946,-0.0,-2.4709736963544073,-2.367789570835256,0.0
2018-12-14,1.0,-0.9988012909174735,-2.3778699861687413,-0.0013831258644536651,-2.476901798063624,-2.365882895343476,0.0
2018-12-17,1.0,-0.9585463842220598,-2.360208181154127,-0.0,-2.4423849525200874,-2.3697041636230822,0.0
2018-12-18,1.0,-0.9522212908633697,-2.3998323554065384,-0.0,-2.5118748253702154,-2.4496600540188136,0.0
2018-12-19,1.0,-0.9542660208643815,-2.399497019374069,-0.0,-2.5113636363636367,-2.449329359165425,0.0
2018-12-20,1.0,-0.9389334070185135,-2.35507046145344,-0.0,-2.496546007184305,-2.42009763286359,0.0
2018-12-21,1.0,-0.9149052478134111,-2.338101311953353,-0.0,-2.481049562682216,-2.3767310495626823,0.0
