Date,GNTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2566682338191506,-0.6402444757874941,-0.0,-0.5249960821187902,-0.7123648330982605,0.0
2018-09-25,1.0,-0.2570515231289959,-0.6400589193932557,-0.0,-0.524852701516861,-0.7120784756174001,0.0
2018-09-26,1.0,-0.25503780329632086,-0.6446806491411218,-0.0,-0.533232102749043,-0.7305052038847236,0.0
2018-09-27,1.0,-0.2576423355356748,-0.6394587930325925,-0.0,-0.5336199538456675,-0.7305345683305409,0.0
2018-09-28,1.0,-0.2544198719979722,-0.6461884544705658,-0.0,-0.5354857106647234,-0.7322413028325201,0.0
2018-10-01,1.0,-0.25412928383476524,-0.6479092033097676,-0.0,-0.5355229369432204,-0.7327140728529309,0.0
2018-10-02,1.0,-0.25330878852318534,-0.6565207731615197,-0.0,-0.5336909258260069,-0.7303773764560256,0.0
2018-10-03,1.0,-0.25421682919856425,-0.6602712747371431,-0.0,-0.5332422731171182,-0.7288205584320702,0.0
2018-10-04,1.0,-0.25551709903788145,-0.6580192423713206,-0.0,-0.5345314831867399,-0.7272409741847395,0.0
2018-10-05,1.0,-0.23994684721738854,-0.6500458759135634,-0.0,-0.5380453696965861,-0.7358180149966779,0.0
2018-10-08,1.0,-0.24175231569597766,-0.6539461997208476,-0.0,-0.538478619464535,-0.7380091358964598,0.0
2018-10-09,1.0,-0.2343958770757778,-0.6558821658077241,-0.0,-0.5442196347903544,-0.7467710122796971,0.0
2018-10-10,1.0,-0.23230152365677623,-0.6672333600641539,-0.0,-0.5482919005613471,-0.7598396150761828,0.0
2018-10-11,1.0,-0.17607619525032897,-0.6563067861394823,-0.0,-0.5281972554671345,-0.772416818096372,0.0
2018-10-12,1.0,-0.1795245327464898,-0.6500945355360631,-0.0,-0.5112977714409696,-0.7586089328332766,0.0
2018-10-15,1.0,-0.14449341941892227,-0.6885398559721877,-0.0,-0.5073255525204867,-0.76368885026074,0.0
2018-10-16,1.0,-0.13678643645979158,-0.7047752372064084,-0.0,-0.5066728884741016,-0.7626691553896406,0.0
2018-10-17,1.0,-0.11715583937123909,-0.671558393712391,-0.0,-0.505741127348643,-0.7756969175979368,0.0
2018-10-18,1.0,-0.1196462685647378,-0.67902261662661,-0.0,-0.5046219264189314,-0.7779934676773279,0.0
2018-10-19,1.0,-0.10621095185593533,-0.6712911919637389,-0.0,-0.5042570133529339,-0.7808403773122627,0.0
2018-10-22,1.0,-0.11948836611389638,-0.672547885332305,-0.0,-0.5765843938809615,-0.845160046278442,0.0
2018-10-23,1.0,-0.13532251271584542,-0.6825088281983995,-0.0,-0.5747562121359381,-0.8471182816600252,0.0
2018-10-24,1.0,-0.13534912515069564,-0.6790915903685119,-0.0,-0.5835586979896387,-0.860317356879867,0.0
2018-10-25,1.0,-0.11179412045736853,-0.6482784979456635,-0.0,-0.5821575309742969,-0.8427875274707775,0.0
2018-10-26,1.0,-0.09203248949148256,-0.6381909547738693,-0.0,-0.5943554249233589,-0.8358775007111026,0.0
2018-10-29,1.0,-0.05890554200069711,-0.6645647834215279,-0.0,-0.5874710859025952,-0.8577267974270414,0.0
2018-10-30,1.0,-0.042409439827444016,-0.666624373532957,-0.0,-0.5899257755503394,-0.8730254393199264,0.0
2018-10-31,1.0,-0.04655340876855675,-0.6484067198285371,-0.0,-0.5881425914835944,-0.8688183566047846,0.0
2018-11-01,1.0,-0.03805956053642259,-0.654315935276711,-0.0,-0.5872316313039099,-0.8684127683686961,0.0
2018-11-02,1.0,-0.040296026843112044,-0.6412869641569192,-0.0,-0.5892000376305309,-0.8650631879331431,0.0
2018-11-05,1.0,-0.03749216300940439,-0.6489968652037618,-0.0,-0.589717868338558,-0.85858934169279,0.0
2018-11-06,1.0,-0.0379020628252555,-0.6488808075741426,-0.0,-0.589786193491755,-0.8584237256254311,0.0
2018-11-07,1.0,-0.03711482398670888,-0.650167706341494,-0.0,-0.5887589730729443,-0.8586251214695463,0.0
2018-11-08,1.0,-0.017704897628975043,-0.6496048291741864,-0.0,-0.5812433878897255,-0.8629970751135727,0.0
2018-11-09,1.0,-0.017023527947217728,-0.6498194945848376,-0.0,-0.5826279098717789,-0.8626913979833188,0.0
2018-11-12,1.0,-0.016030013642564803,-0.6363946421927322,-0.0,-0.5873744263921618,-0.8607528215304479,0.0
2018-11-13,1.0,-0.0,-0.6307701783019739,-0.0,-0.5873494903458257,-0.8613617466818587,0.0
2018-11-14,1.0,-0.0,-0.6310386287264544,-0.0,-0.5897894379874835,-0.862071091654592,0.0
2018-11-15,1.0,-0.0,-0.641976073885824,-0.0,-0.6059629331184528,-0.8512675881733094,0.0
2018-11-16,1.0,-0.0,-0.6356495655131893,-0.0,-0.6038593561554876,-0.8529238952283762,0.0
2018-11-19,1.0,-0.0,-0.6372928604615146,-0.0,-0.6052036549481183,-0.8549171441846057,0.0
2018-11-20,1.0,-0.0,-0.6182278168579538,-0.0,-0.5942552141182278,-0.8727940269036158,0.0
2018-11-21,1.0,-0.0,-0.613037617938978,-0.0,-0.591440999877466,-0.858871461830658,0.0
2018-11-23,1.0,-0.0,-0.6079637621277507,-0.0,-0.5935175833256817,-0.8591497566798274,0.0
2018-11-26,1.0,-0.0,-0.6124609829242916,-0.0,-0.5910398433196646,-0.8566619744170391,0.0
2018-11-27,1.0,-0.0,-0.6149202768208285,-0.0,-0.5830919789030822,-0.8506752842901131,0.0
2018-11-28,1.0,-0.0,-0.6221395008238239,-0.0,-0.5802465368889974,-0.8488130835418319,0.0
