Date,CLF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8885301137161308,-2.087252562122701,-0.08977958725256212,-1.4885581917731292,-1.4653937947494033,0.0
2018-09-25,1.0,-0.898487513190292,-2.086880056278579,-0.10123109391487865,-1.487864931410482,-1.460429124164615,0.0
2018-09-26,1.0,-0.9109584189275342,-2.1068923992349653,-0.11312601827583767,-1.4970602819295886,-1.4555500460437771,0.0
2018-09-27,1.0,-0.9116960305667585,-2.0999787730842705,-0.11476685770890821,-1.49536545673247,-1.4537607019033467,0.0
2018-09-28,1.0,-0.9114255394411036,-2.0992571630703925,-0.11581181464449947,-1.4948001414927485,-1.4534135125574814,0.0
2018-10-01,1.0,-0.9157633722989729,-2.0987601842012045,-0.1159050655331208,-1.4988310308182784,-1.455402054551895,0.0
2018-10-02,1.0,-0.9191353649893692,-2.0762579730687456,-0.12487597448618001,-1.5048192771084337,-1.462083628632176,0.0
2018-10-03,1.0,-0.9181419062455742,-2.0688287777935135,-0.12469905112590284,-1.5053108624840672,-1.4641693811074918,0.0
2018-10-04,1.0,-0.9249557522123893,-2.057061946902655,-0.1265840707964602,-1.513699115044248,-1.457345132743363,0.0
2018-10-05,1.0,-0.9012736612483289,-2.0463725283231304,-0.0987967067764408,-1.5220603757652524,-1.4682288368165508,0.0
2018-10-08,1.0,-0.8978558875219684,-2.0414762741652024,-0.08864674868189808,-1.5325834797891038,-1.4692442882249561,0.0
2018-10-09,1.0,-0.8958875219683656,-2.042460456942004,-0.08344463971880493,-1.5352548330404219,-1.4728998242530758,0.0
2018-10-10,1.0,-0.8959167896549302,-2.042026846580926,-0.08299950804694638,-1.5354557593646778,-1.4713613043783822,0.0
2018-10-11,1.0,-0.7676747311827957,-2.0055107526881724,-0.0,-1.477956989247312,-1.469287634408602,0.0
2018-10-12,1.0,-0.7918639546515505,-2.0090030010003335,-0.0,-1.4429476492164055,-1.4250750250083362,0.0
2018-10-15,1.0,-0.7591153616258218,-2.0301520887294946,-0.0,-1.4320913860662814,-1.4201368134422527,0.0
2018-10-16,1.0,-0.762528246710089,-2.027382693074571,-0.0,-1.4342017812043069,-1.4221720058487304,0.0
2018-10-17,1.0,-0.7121271843384575,-1.9490211535934832,-0.0,-1.4427801865720669,-1.4655104454079622,0.0
2018-10-18,1.0,-0.7108599960580776,-1.9465869522370407,-0.0,-1.4460942119440245,-1.466263714604822,0.0
2018-10-19,1.0,-0.6748051948051949,-1.9203896103896105,-0.0,-1.4407142857142858,-1.4575974025974026,0.0
2018-10-22,1.0,-0.6794062113418842,-1.9328081255290057,-0.0,-1.4406536883911711,-1.457907415847386,0.0
2018-10-23,1.0,-0.6943428272798536,-1.9407499346746802,-0.0,-1.4382022471910112,-1.4591716749412074,0.0
