Date,IWF,IWM,MTUM,SPY,TRP,VLUE,VXX
2018-09-24,-0.2760379806558151,-0.7334276952111347,-0.0,-0.513033734371314,1.0,-0.426309271054494,0.0
2018-09-25,-0.27872766935911797,-0.7323565827486587,-0.0,-0.5123223866517304,1.0,-0.42453275160662696,0.0
2018-09-26,-0.2798136737521743,-0.733394262802559,-0.0,-0.5123382175182051,1.0,-0.42271293375394325,0.0
2018-09-27,-0.2792516304187447,-0.7358869182872488,-0.0,-0.512703986779591,1.0,-0.4231711275710449,0.0
2018-09-28,-0.28231956020571025,-0.735177631967843,-0.0,-0.5139209079624047,1.0,-0.4242182420050836,0.0
2018-10-01,-0.2821960737937559,-0.7358975875118259,-0.0,-0.5138658940397351,1.0,-0.424550614947966,0.0
2018-10-02,-0.29456323998687783,-0.7104768721481614,-0.0,-0.533476484447228,1.0,-0.4437982762220035,0.0
2018-10-03,-0.29435327175440174,-0.698233342301139,-0.0,-0.5411173885750157,1.0,-0.45556452336113357,0.0
2018-10-04,-0.29709863447575224,-0.6936683897570741,-0.0,-0.5443870080975288,1.0,-0.4528640152986524,0.0
2018-10-05,-0.2882279385494819,-0.6898892461593427,-0.0,-0.5454626652375849,1.0,-0.45367393116589255,0.0
2018-10-08,-0.28501711054902545,-0.6868323166195506,-0.0,-0.5503942865644993,1.0,-0.4535337003422109,0.0
2018-10-09,-0.28579506562304696,-0.6872116901282701,-0.0,-0.5502217195916789,1.0,-0.4528734263861195,0.0
2018-10-10,-0.28473546234509056,-0.6889299332697808,-0.0,-0.5503753574833175,1.0,-0.45498689227836037,0.0
2018-10-11,-0.22496669948456594,-0.6794752997046389,-0.0,-0.5308102160189958,1.0,-0.4604447790583194,0.0
2018-10-12,-0.2242184589816327,-0.6743459697985615,-0.0,-0.520043554256569,1.0,-0.4468036333419296,0.0
2018-10-15,-0.20281359906213367,-0.6938495410745432,-0.0,-0.5158550882109055,1.0,-0.4468304120321391,0.0
2018-10-16,-0.19707987403378185,-0.7048955052963068,-0.0,-0.5150014314342971,1.0,-0.44589178356713427,0.0
2018-10-17,-0.1800676628136453,-0.6740907809416408,-0.0,-0.5117846067098957,1.0,-0.45334085142373837,0.0
2018-10-18,-0.17932667907291494,-0.672672418654486,-0.0,-0.5138724412113009,1.0,-0.45375852929566346,0.0
2018-10-19,-0.16379672406551868,-0.662942741145177,-0.0,-0.5184656306873863,1.0,-0.4547109057818843,0.0
2018-10-22,-0.16396204166432704,-0.6514122073109102,-0.0,-0.5283283732944016,1.0,-0.4638665843113033,0.0
2018-10-23,-0.1617093055946022,-0.652488051728985,-0.0,-0.5313185268484678,1.0,-0.46584200168681467,0.0
2018-10-24,-0.16213998755163245,-0.6636960334974255,-0.0,-0.5356475980308946,1.0,-0.4676625360719742,0.0
