Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WABC
2018-09-24,-0.14744683732899905,-0.6745767303264256,-0.1254503589326832,-0.34110795069754846,-0.4203711228497901,0.0,1.0
2018-09-25,-0.14654587865144159,-0.6766389107380183,-0.12324717242127532,-0.34299818275516014,-0.42290270959342535,0.0,1.0
2018-09-26,-0.14649163253681954,-0.6766660337953294,-0.12316580324934226,-0.34299818275516014,-0.42295695570804737,0.0,1.0
2018-09-27,-0.14539074613062045,-0.6842205478334195,-0.12148083671082337,-0.34455838750918044,-0.42450289693441773,0.0,1.0
2018-09-28,-0.1429971416904859,-0.687164829181979,-0.12198176126310059,-0.3450115693480332,-0.4250442357424799,0.0,1.0
2018-10-01,-0.14249128160418484,-0.6889984742807324,-0.1223299912816042,-0.34503051438535315,-0.4256484306887533,0.0,1.0
2018-10-02,-0.14247905923440016,-0.6986712504433713,-0.11956017571144034,-0.34378325284439715,-0.4239447764044637,0.0,1.0
2018-10-03,-0.14228828583117414,-0.6933315150688668,-0.1188326742124642,-0.34569753170598666,-0.42727396699849995,0.0,1.0
2018-10-04,-0.14050403557898206,-0.7064733981222204,-0.11810245429089114,-0.343902706857739,-0.436309229671114,0.0,1.0
2018-10-05,-0.13070482652949544,-0.7038688847542957,-0.11073109335668162,-0.3478986538251067,-0.4429517347050454,0.0,1.0
2018-10-08,-0.12956029841773017,-0.7025660645478643,-0.10920121334681498,-0.34889186456426097,-0.4425709835214386,0.0,1.0
2018-10-09,-0.12671542443914866,-0.705563316624209,-0.09954255348289369,-0.35584956309748816,-0.4515298435916399,0.0,1.0
2018-10-10,-0.12796143627947743,-0.7044726246884501,-0.10114759935361946,-0.35660485880967385,-0.4487414751718661,0.0,1.0
2018-10-11,-0.09501315153792474,-0.7102904074292768,-0.06441569595791508,-0.3501798271512158,-0.4641150893767781,0.0,1.0
2018-10-12,-0.08900749366542672,-0.7197423041673406,-0.05900587632756483,-0.3560030190306755,-0.47180440994123674,0.0,1.0
2018-10-15,-0.0685187188920147,-0.7645531270287816,-0.026563514390824498,-0.36198874702445355,-0.48344514174421116,0.0,1.0
