Date,HPQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31530080253060744,-0.41180950149376133,-0.21302208423642435,-0.4797609981840548,-0.5090504364126296,0.0
2018-09-25,1.0,-0.316701803701101,-0.41051768564066526,-0.21530217849613492,-0.4785371281330522,-0.5070566877488873,0.0
2018-09-26,1.0,-0.31606886236325776,-0.4106226354224712,-0.21174883420828813,-0.48089274716250696,-0.513505587001789,0.0
2018-09-27,1.0,-0.3229028940796239,-0.4005582488614662,-0.21524900837373295,-0.4838842368150434,-0.5155575143234905,0.0
2018-09-28,1.0,-0.3190292463110771,-0.40753394398138604,-0.21585721438459043,-0.4855241068535917,-0.51730333107531,0.0
2018-10-01,1.0,-0.3186920017675652,-0.40833701576078957,-0.2160848431285904,-0.4853439387244072,-0.5174547061422891,0.0
2018-10-02,1.0,-0.31841104131646464,-0.4174702881240968,-0.21351263676310125,-0.4839423161992391,-0.5157037954525348,0.0
2018-10-03,1.0,-0.3193421480758423,-0.40414707013340434,-0.21037063330079572,-0.49392137722956786,-0.5301564764693703,0.0
2018-10-04,1.0,-0.32181086995091374,-0.3999645159382577,-0.21077532674906854,-0.49704299485481107,-0.5273818676444497,0.0
2018-10-05,1.0,-0.30729860063311737,-0.3928286145380315,-0.1960297032632171,-0.5143043105233573,-0.5480015384160233,0.0
2018-10-08,1.0,-0.31418301632469675,-0.4078178822824622,-0.19976037142429234,-0.5175378163846038,-0.5560581099296091,0.0
2018-10-09,1.0,-0.31703001769274597,-0.4085225057726332,-0.2052958287102288,-0.515458661948601,-0.5524335022640717,0.0
2018-10-10,1.0,-0.31739417196306513,-0.40775272814486146,-0.20584002878042928,-0.5156493584362632,-0.5512951193188631,0.0
2018-10-11,1.0,-0.2888915038832666,-0.40285949635208285,-0.17001059072722993,-0.512326429748176,-0.5677806542715933,0.0
2018-10-12,1.0,-0.28502014695425454,-0.4092794501066604,-0.1639606541834558,-0.5241170893576678,-0.5804100497748281,0.0
2018-10-15,1.0,-0.2875782107167215,-0.40494617916555464,-0.16653322658126504,-0.5253091361978472,-0.580968478486493,0.0
2018-10-16,1.0,-0.2867690665401495,-0.40816629106867514,-0.16409678567192504,-0.5253825169019096,-0.5808326414422963,0.0
2018-10-17,1.0,-0.2769596338887585,-0.3845048110772119,-0.1540131424548228,-0.5269302980521005,-0.5912051161699131,0.0
2018-10-18,1.0,-0.27706389720119695,-0.38473273484715137,-0.1537874787302705,-0.5268732030745761,-0.5912984803144986,0.0
2018-10-19,1.0,-0.2677581275900309,-0.3746862779431506,-0.14568376816669584,-0.5337944317982839,-0.5964512928267087,0.0
2018-10-22,1.0,-0.2700793836096194,-0.36954237683866453,-0.13956339014709315,-0.5388162502918515,-0.600542843801074,0.0
2018-10-23,1.0,-0.27354770875317613,-0.3697537895382458,-0.1462075411080931,-0.5333975875463651,-0.5977102134992259,0.0
2018-10-24,1.0,-0.27340922358435493,-0.36809690601284295,-0.1438995913601868,-0.5342965557501459,-0.5991535318155283,0.0
2018-10-25,1.0,-0.25719692625301066,-0.34344534923729786,-0.14175937607523798,-0.5387659135221929,-0.5861050579194862,0.0
2018-10-26,1.0,-0.2545506500928704,-0.34053436205172166,-0.13879125589369912,-0.5400200028575511,-0.5836548078296899,0.0
2018-10-29,1.0,-0.25293462428240937,-0.3399594436352212,-0.13666352497643733,-0.5411133007739982,-0.5853825721874732,0.0
2018-10-30,1.0,-0.24969302378708702,-0.34035809132185385,-0.13452697107284617,-0.5418487106999058,-0.5891658813786802,0.0
2018-10-31,1.0,-0.2499215518470974,-0.3381258023106547,-0.13478818998716305,-0.5413493082299244,-0.5884752531735844,0.0
