Date,IWF,IWM,MTUM,NMZ,SPY,VLUE,VXX
2018-09-24,-0.118969753752055,-0.263925471548021,-0.0,1.0,-0.2049532429422475,-0.1798865102794817,0.0
2018-09-25,-0.12004736153818966,-0.26343972007210265,-0.0,1.0,-0.20460891386562044,-0.17912557876506557,0.0
2018-09-26,-0.12085969811587544,-0.26421930785817815,-0.0,1.0,-0.20463784509880167,-0.17775460426314119,0.0
2018-09-27,-0.12210544908593128,-0.26164444051929703,-0.0,1.0,-0.20478671730106862,-0.17777974035149693,0.0
2018-09-28,-0.12187753948344697,-0.2619863618697664,-0.0,1.0,-0.20485460905204395,-0.1778786701056425,0.0
2018-10-01,-0.12167918692001768,-0.26281926646045073,-0.0,1.0,-0.20487847989394609,-0.1781882456915599,0.0
2018-10-02,-0.12402483680942528,-0.2548072670664615,-0.0,1.0,-0.20838861469334327,-0.1817828017477755,0.0
2018-10-03,-0.12359172989512036,-0.25043773544861253,-0.0,1.0,-0.20995383880723723,-0.18462708477034365,0.0
2018-10-04,-0.12667256637168142,-0.2466902654867257,-0.0,1.0,-0.2141769911504425,-0.18233628318584072,0.0
2018-10-05,-0.1281529338879547,-0.24855296928931764,-0.0,1.0,-0.2131162049738915,-0.18026374015399593,0.0
2018-10-08,-0.12886470004254716,-0.24996454403630688,-0.0,1.0,-0.21309034179549,-0.1808608707984683,0.0
2018-10-09,-0.1355886911442467,-0.25366540181354996,-0.0,1.0,-0.213492954233695,-0.17871840094062316,0.0
2018-10-10,-0.1361086875233703,-0.2531115898933423,-0.0,1.0,-0.21368921493563148,-0.17768558252167874,0.0
2018-10-11,-0.12174338199343439,-0.2454599427254313,-0.0,1.0,-0.2049486624292799,-0.17402388768596774,0.0
2018-10-12,-0.12205282444859296,-0.24101154670538613,-0.0,1.0,-0.19869667427228097,-0.16678766507640186,0.0
2018-10-15,-0.11926779614230011,-0.2423829405472551,-0.0,1.0,-0.19757772333597873,-0.16603981919188435,0.0
2018-10-16,-0.11691113028472822,-0.2463157894736842,-0.0,1.0,-0.1969974115616911,-0.16541846419327005,0.0
2018-10-17,-0.11038695147751314,-0.2332798744284447,-0.0,1.0,-0.19490889237698764,-0.1675595441206579,0.0
2018-10-18,-0.11004588799235768,-0.23257876870063626,-0.0,1.0,-0.19562955254942768,-0.16761911260469797,0.0
2018-10-19,-0.10775056889583262,-0.23015657371871073,-0.0,1.0,-0.19449444689739495,-0.1658119077539653,0.0
2018-10-22,-0.10788543860841204,-0.23014201263844533,-0.0,1.0,-0.19465584018482027,-0.16603247944553917,0.0
2018-10-23,-0.11128300154701393,-0.23087907791170117,-0.0,1.0,-0.19262873365860292,-0.1652074868673818,0.0
2018-10-24,-0.11093365049698412,-0.23109336504969838,-0.0,1.0,-0.192388072381276,-0.16467589839435903,0.0
2018-10-25,-0.09542730373166451,-0.20972815469686432,-0.0,1.0,-0.19954637263666766,-0.15085593192278401,0.0
2018-10-26,-0.08656785092187859,-0.20473592532947713,-0.0,1.0,-0.20425937489729518,-0.14771420120287904,0.0
2018-10-29,-0.07757563869955378,-0.20799620784909856,-0.0,1.0,-0.199300413540594,-0.14965919678320994,0.0
