Date,IWF,IWM,KRG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2915204678362573,-0.8340155945419102,1.0,-0.0,-0.5793697205977907,-0.5439571150097465,0.0
2018-09-25,-0.2886200130804447,-0.84270765206017,1.0,-0.0,-0.5861347285807718,-0.5526160889470242,0.0
2018-09-26,-0.2919872949343463,-0.846524116703232,1.0,-0.0,-0.5871836012967027,-0.5488719342480107,0.0
2018-09-27,-0.2923555410050745,-0.8456375838926173,1.0,-0.0,-0.5871009985267638,-0.5487968570960877,0.0
2018-09-28,-0.2927020921324035,-0.8453982909340929,1.0,-0.0,-0.587106702026651,-0.5488655338375406,0.0
2018-10-01,-0.2931999210058588,-0.8544862089395038,1.0,-0.0,-0.5902508063985255,-0.5534856164834442,0.0
2018-10-02,-0.2940034228541338,-0.8523565034228541,1.0,-0.0,-0.590771458662454,-0.5541074249605056,0.0
2018-10-03,-0.2945146845779007,-0.85384564730673,1.0,-0.0,-0.5905768470960095,-0.5535690767812459,0.0
2018-10-04,-0.30750356444179183,-0.8480055704764745,1.0,-0.0,-0.6091713916243907,-0.5511124374150336,0.0
2018-10-05,-0.2942128024825856,-0.8423954309861015,1.0,-0.0,-0.6109405433957281,-0.5537948565580536,0.0
2018-10-08,-0.2907478822637529,-0.8385905929661491,1.0,-0.0,-0.6140281485876266,-0.5527209202676423,0.0
2018-10-09,-0.2816019191044179,-0.8483707603118545,1.0,-0.0,-0.6292730059305658,-0.5724995002332245,0.0
2018-10-10,-0.28156956796908833,-0.8482062556210652,1.0,-0.0,-0.6293927584024517,-0.5718663602145165,0.0
2018-10-11,-0.20914673561732386,-0.8384292178409825,1.0,-0.0,-0.6056237879767291,-0.5788623141564319,0.0
2018-10-12,-0.20843039024857207,-0.8318708318708318,1.0,-0.0,-0.5899358626631354,-0.5606432879160151,0.0
2018-10-15,-0.17367967027700565,-0.870315345538196,1.0,-0.0,-0.5863126617463817,-0.564682577718138,0.0
2018-10-16,-0.16942056313720477,-0.8777525647991307,1.0,-0.0,-0.5852216433890505,-0.563584646361341,0.0
2018-10-17,-0.1559063553580994,-0.8520969215741879,1.0,-0.0,-0.5785991114472068,-0.5642940416548509,0.0
2018-10-18,-0.15502678852820673,-0.8505200126063661,1.0,-0.0,-0.5811219665931294,-0.5649227860069335,0.0
2018-10-19,-0.13748788343078705,-0.8406553891373002,1.0,-0.0,-0.5839091960851756,-0.5648041024358214,0.0
2018-10-22,-0.13762788223883865,-0.8307417952007007,1.0,-0.0,-0.589900822826393,-0.5703469636767512,0.0
2018-10-23,-0.13606762680025045,-0.8313713212273012,1.0,-0.0,-0.5918284283030683,-0.5716030056355667,0.0
2018-10-24,-0.1337211120492854,-0.8281577383744566,1.0,-0.0,-0.5923007161397255,-0.5730681427275854,0.0
2018-10-25,-0.1031262318445071,-0.7890475757300099,1.0,-0.0,-0.5948027532672306,-0.5452560720458474,0.0
2018-10-26,-0.10505565159372819,-0.7880993540169228,1.0,-0.0,-0.5943650865859945,-0.545264307160404,0.0
2018-10-29,-0.0903108964684576,-0.7931180199215213,1.0,-0.0,-0.5878056142469061,-0.547207968608512,0.0
2018-10-30,-0.0659730647900995,-0.799411550594516,1.0,-0.0,-0.5946068915311818,-0.5732831836932784,0.0
2018-10-31,-0.06879199686624281,-0.7842227378190255,1.0,-0.0,-0.5916473317865429,-0.5685660047609004,0.0
