Date,CRTO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.3549862763037512,-2.3716376944190305,-0.5790484903934127,-1.942543458371455,-1.9010064043915829,0.0
2018-09-25,1.0,-1.3557912057774932,-2.367766706280282,-0.5819544748148825,-1.9393911692110797,-1.896791297193528,0.0
2018-09-26,1.0,-1.3584957452648916,-2.371671699149053,-0.5855979504071736,-1.9403422088022693,-1.8937688718089485,0.0
2018-09-27,1.0,-1.3632040965618142,-2.3580833942940744,-0.5894294074615948,-1.9403803950256036,-1.8930138990490126,0.0
2018-09-28,1.0,-1.3607276716336045,-2.3589907669805283,-0.5899076698052839,-1.939482585245452,-1.8924033275436511,0.0
2018-10-01,1.0,-1.377845359874666,-2.3742512210856144,-0.5956133075292601,-1.9593585844622616,-1.9086720117961478,0.0
2018-10-02,1.0,-1.379036722642554,-2.384941871193947,-0.5952205203912161,-1.9591252998708246,-1.9084701974534046,0.0
2018-10-03,1.0,-1.377742946708464,-2.370090355891573,-0.5933984879218145,-1.9628434445878664,-1.9158215010141988,0.0
2018-10-04,1.0,-1.3786944111960227,-2.361384771199705,-0.5934996777460639,-1.963539268943928,-1.9101371881042262,0.0
2018-10-05,1.0,-1.3487775844702865,-2.3448402160974267,-0.5591978756524127,-1.976192656350151,-1.9276623019869976,0.0
2018-10-08,1.0,-1.358844165435746,-2.361983013293944,-0.5520679468242246,-2.009878138847858,-1.949132200886263,0.0
2018-10-09,1.0,-1.3569318811150082,-2.3622853978216725,-0.5478124423112424,-2.011537751522983,-1.9516337456156543,0.0
2018-10-10,1.0,-1.3571626233742276,-2.35974541093995,-0.5484733880638317,-2.011069089567383,-1.9477907942071762,0.0
2018-10-11,1.0,-1.2173487544483987,-2.3634341637010676,-0.3395907473309609,-1.9856761565836298,-1.9907473309608539,0.0
2018-10-12,1.0,-1.2050547159979157,-2.321174222685426,-0.3106652770540212,-1.924960917144346,-1.9233107521278443,0.0
2018-10-15,1.0,-1.1730503795721188,-2.349551414768806,-0.26561421670117324,-1.9171842650103519,-1.9213250517598344,0.0
2018-10-16,1.0,-1.1697037740737541,-2.3704983159167456,-0.25252612488125054,-1.91985490975041,-1.923741255721565,0.0
2018-10-17,1.0,-1.1126394363834604,-2.2654533255053257,-0.1987754759708127,-1.8911347815147195,-1.9192317369789482,0.0
2018-10-18,1.0,-1.112117400419287,-2.2645702306079665,-0.19882599580712787,-1.891320754716981,-1.9189937106918238,0.0
2018-10-19,1.0,-1.0794531897265947,-2.235542667771334,-0.16271748135874067,-1.892129246064623,-1.9151615575807788,0.0
2018-10-22,1.0,-1.0803216180371353,-2.2365716180371353,-0.16777188328912468,-1.8905835543766578,-1.9138759946949604,0.0
2018-10-23,1.0,-1.0811997680006629,-2.2350650426713066,-0.17093379733200761,-1.8871488938603032,-1.9113431104482557,0.0
2018-10-24,1.0,-1.0863213811420982,-2.23472775564409,-0.15421646746347942,-1.8990703851261619,-1.925879814077025,0.0
2018-10-25,1.0,-0.9798468989220435,-2.0753788470551475,-0.11131073269801595,-1.8396344321199813,-1.8051085767848774,0.0
2018-10-26,1.0,-0.9435304920039789,-2.031371948886678,-0.07674649934960594,-1.8281429336598056,-1.7718264595607927,0.0
2018-10-29,1.0,-0.9137552103069343,-2.035619552860932,-0.04857900719969685,-1.8093217127699885,-1.7712769988632058,0.0
2018-10-30,1.0,-0.9102544683429264,-2.0344592547712814,-0.04687973341411694,-1.8084671311723721,-1.7734019993941232,0.0
