Date,IWF,IWM,MTUM,NVT,SPY,VLUE,VXX
2018-12-21,-0.0,-0.8294406280667321,-0.0,1.0,-1.040353287536801,-1.0555839057899903,0.0
2018-12-24,-0.0,-0.7907311009245592,-0.0,1.0,-1.007419780902805,-1.0865123145054776,0.0
2018-12-26,-0.0,-0.8359557444201983,-0.0,1.0,-0.9359519160828452,-1.0564679759580413,0.0
2018-12-27,-0.0,-0.7940793754066362,-0.0,1.0,-0.7642955251933781,-1.0562061736427384,0.0
2018-12-28,-0.0,-0.7979280222358589,-0.0,1.0,-0.7610728079991337,-1.0507165288957876,0.0
2018-12-31,-0.0,-0.8116582186821144,-0.0,1.0,-0.7597755249818972,-1.0490948587979725,0.0
2019-01-02,-0.0,-0.8115858073859522,-0.0,1.0,-0.7594858797972485,-1.0494931209268648,0.0
2019-01-03,-0.0,-0.810478326941168,-0.0,1.0,-0.7820754034300601,-1.0256530863304145,0.0
2019-01-04,-0.0,-0.8130353415389044,-0.0,1.0,-0.75926725689196,-1.0265961275462463,0.0
2019-01-07,-0.0,-0.7748281666432879,-0.0,1.0,-0.7490180951045027,-0.982956936456726,0.0
2019-01-08,-0.0,-0.7333263091349701,-0.0,1.0,-0.7994240157342043,-0.9793488568117164,0.0
2019-01-09,-0.0,-0.7382116108161328,-0.0,1.0,-0.8008720419142726,-0.9772143886915855,0.0
2019-01-10,-0.0,-0.7379838964874653,-0.0,1.0,-0.8010266868253577,-0.9770401884603215,0.0
2019-01-11,-0.0,-0.7376248066376037,-0.0,1.0,-0.8010828294192096,-0.9769371396428069,0.0
2019-01-14,-0.0,-0.7421237693389593,-0.0,1.0,-0.8113220815752462,-0.9626933895921237,0.0
2019-01-15,-0.0,-0.7322690671261296,-0.0,1.0,-0.8151130489820317,-0.9689159253138298,0.0
2019-01-16,-0.0,-0.7287325626339646,-0.0,1.0,-0.7889946941213675,-0.996099652131136,0.0
2019-01-17,-0.0,-0.7300555282209882,-0.0,1.0,-0.7885007380333169,-0.995852955647712,0.0
2019-01-18,-0.0,-0.7299785641494184,-0.0,1.0,-0.7884878940155322,-0.9956074076677093,0.0
2019-01-22,-0.0,-0.733693175843819,-0.0,1.0,-0.7855315271108619,-0.9857348147628894,0.0
2019-01-23,-0.0,-0.7277422957456462,-0.0,1.0,-0.7865145010993613,-0.9757791505252504,0.0
2019-01-24,-0.0,-0.7271045651263437,-0.0,1.0,-0.7877984084880637,-0.9752547815161245,0.0
2019-01-25,-0.0,-0.7236878838637634,-0.0,1.0,-0.8024846454494696,-0.963463149078727,0.0
2019-01-28,-0.0,-0.7234280131202456,-0.0,1.0,-0.8023588526763905,-0.9636401702840394,0.0
2019-01-29,-0.0,-0.7232298569933728,-0.0,1.0,-0.7993721660272061,-0.965364492500872,0.0
2019-01-30,-0.0,-0.7218811052190901,-0.0,1.0,-0.7985277700251187,-0.9682877476974603,0.0
2019-01-31,-0.0,-0.7229142022127896,-0.0,1.0,-0.7681441792498782,-0.9881706213902999,0.0
2019-02-01,-0.0,-0.7204824302248791,-0.0,1.0,-0.7628862396162802,-0.9923534114212227,0.0
2019-02-04,-0.0,-0.7215211874717559,-0.0,1.0,-0.7667118573365315,-0.9879723294052214,0.0
2019-02-05,-0.0,-0.7227591961616022,-0.0,1.0,-0.7671928238648217,-0.9868924275085182,0.0
2019-02-06,-0.0,-0.7262095370692655,-0.0,1.0,-0.7597981204316047,-0.9946397493908806,0.0
2019-02-07,-0.0,-0.7276683144189932,-0.0,1.0,-0.763524333356541,-0.9899742393650351,0.0
2019-02-08,-0.0,-0.7399402321217597,-0.0,1.0,-0.7726735700882619,-0.9622628396691918,0.0
2019-02-11,-0.0,-0.744053414939491,-0.0,1.0,-0.7811934900542497,-0.9522882181110028,0.0
2019-02-12,-0.0,-0.7460091120926512,-0.0,1.0,-0.7800925120856954,-0.9517963342955519,0.0
2019-02-13,-0.0,-0.7459260800221899,-0.0,1.0,-0.7770265584910894,-0.9442133000485403,0.0
2019-02-14,-0.0,-0.7460212891369924,-0.0,1.0,-0.7770881730869249,-0.9441766929024652,0.0
2019-02-15,-0.0,-0.7480151163193842,-0.0,1.0,-0.7757861526193529,-0.9432444613944458,0.0
2019-02-19,-0.0,-0.7416441768735728,-0.0,1.0,-0.7780776416856965,-0.9402463497335825,0.0
2019-02-20,-0.0,-0.7416017989967134,-0.0,1.0,-0.7801072478809895,-0.9378654212074037,0.0
2019-02-21,-0.0,-0.7444171311844339,-0.0,1.0,-0.7795242876432504,-0.9383028078800678,0.0
2019-02-22,-0.0,-0.7443213296398893,-0.0,1.0,-0.7793975069252078,-0.9388504155124654,0.0
2019-02-25,-0.0,-0.7420661014016267,-0.0,1.0,-0.7788890811559094,-0.9398857933898599,0.0
2019-02-26,-0.0,-0.7427325581395349,-0.0,1.0,-0.7792774086378738,-0.9386766334440753,0.0
2019-02-27,-0.0,-0.741919856045401,-0.0,1.0,-0.7797079382656239,-0.9388538999238701,0.0
2019-02-28,-0.0,-0.7456829428660414,-0.0,1.0,-0.7825725853894868,-0.9323113125930027,0.0
2019-03-01,-0.0,-0.7462980902297259,-0.0,1.0,-0.7879878217547743,-0.9254774425685026,0.0
2019-03-04,-0.0,-0.7433600774657629,-0.0,1.0,-0.7866924885876332,-0.9282404205284271,0.0
2019-03-05,-0.0,-0.7404514188932286,-0.0,1.0,-0.7896374131554387,-0.9263765511043518,0.0
2019-03-06,-0.0,-0.7414848369584011,-0.0,1.0,-0.7880977903800269,-0.9283516027525156,0.0
2019-03-07,-0.0,-0.7100928835330272,-0.0,1.0,-0.8227616449708228,-0.9200649148855357,0.0
2019-03-08,-0.0,-0.709044515706355,-0.0,1.0,-0.8202475776697356,-0.9188648667287335,0.0
2019-03-11,-0.0,-0.708100462292141,-0.0,1.0,-0.8231215069343821,-0.9187538811840198,0.0
2019-03-12,-0.0,-0.6962364667468638,-0.0,1.0,-0.8227530503522943,-0.9180271524316893,0.0
2019-03-13,-0.0,-0.6977903020722361,-0.0,1.0,-0.8210247774837623,-0.9177291315852778,0.0
2019-03-14,-0.0,-0.6971978683170018,-0.0,1.0,-0.8224858174316658,-0.9185146982980918,0.0
2019-03-15,-0.0,-0.6989783633173953,-0.0,1.0,-0.8209211929414192,-0.9199545939252175,0.0
