Date,IWF,IWM,MTUM,SPY,UNFI,VLUE,VXX
2018-09-24,-0.7856383544169235,-1.4911236313383651,-0.07430636759859678,-1.049909641756139,1.0,-0.9142128202402465,0.0
2018-09-25,-0.8016719361234661,-1.4986871014415089,-0.08863404962220674,-1.0555704410267401,1.0,-0.914206098279835,0.0
2018-09-26,-0.8036743709929421,-1.505252949733312,-0.08237702709983298,-1.0651904531005874,1.0,-0.9311459511879748,0.0
2018-09-27,-0.8080753701211306,-1.4934051144010767,-0.08586810228802153,-1.0654104979811574,1.0,-0.9308209959623149,0.0
2018-09-28,-0.805099886308267,-1.5097179362243516,-0.08786746792268962,-1.0727627091115801,1.0,-0.9384981863461642,0.0
2018-10-01,-0.8052623030696768,-1.5091224080991823,-0.08830057928644904,-1.0727085701911103,1.0,-0.9384440474256942,0.0
2018-10-02,-0.8056066673882455,-1.502381210087672,-0.09118952267561424,-1.0732763286069922,1.0,-0.9394414979976188,0.0
2018-10-03,-0.8060461588471124,-1.4875934554122874,-0.0889045400368404,-1.0821324087116697,1.0,-0.9530284971286164,0.0
2018-10-04,-0.8105268857962853,-1.4786917203660583,-0.09021497806898793,-1.0877781989494775,1.0,-0.9478529268424758,0.0
2018-10-05,-0.7911204617791444,-1.470248691805578,-0.06489723256190322,-1.1032529535523548,1.0,-0.9650968333603064,0.0
2018-10-08,-0.7881529348411416,-1.4652127086698976,-0.05767366720516963,-1.1094776521270866,1.0,-0.9645126548196015,0.0
2018-10-09,-0.78569503584326,-1.4678488654126018,-0.049318169568263896,-1.1151835282703606,1.0,-0.9719721877863418,0.0
2018-10-10,-0.7856795985539308,-1.4709976798143851,-0.04737495278692063,-1.1166028165974209,1.0,-0.9751794097016133,0.0
2018-10-11,-0.6737407446031911,-1.4632912712483053,-0.0,-1.0833246428198977,1.0,-0.9938992595682553,0.0
2018-10-12,-0.6773665079608867,-1.4452977013259611,-0.0,-1.0461782624276865,1.0,-0.9506988173859622,0.0
2018-10-15,-0.6260601387818042,-1.5104600359804679,-0.0,-1.0435877666409663,1.0,-0.9599588794654331,0.0
2018-10-16,-0.6296563078822803,-1.50751183371064,-0.0,-1.0458427660012348,1.0,-0.9621321259518419,0.0
2018-10-17,-0.5893875902458726,-1.4390367041954866,-0.0,-1.0398848891805927,1.0,-0.9804109658201646,0.0
2018-10-18,-0.5883244116755884,-1.437026562973437,-0.0,-1.0433289566710433,1.0,-0.9813150186849813,0.0
2018-10-19,-0.5593391094096313,-1.4257001813419303,-0.0,-1.060296191819464,1.0,-0.99194035865404,0.0
2018-10-22,-0.5591462800765126,-1.4157354273633342,-0.0,-1.0636766334440753,1.0,-0.9951676230745997,0.0
2018-10-23,-0.5621270804982728,-1.477755678844342,-0.0,-1.135716528839108,1.0,-1.0583586307966084,0.0
2018-10-24,-0.5585284280936454,-1.4728783444816054,-0.0,-1.1353469899665551,1.0,-1.0589464882943143,0.0
2018-10-25,-0.49539411442513565,-1.3775830304237415,-0.0,-1.1179106707165263,1.0,-0.9883981476870985,0.0
2018-10-26,-0.4613982361925407,-1.3570478395822043,-0.0,-1.1328275114548947,1.0,-0.9755628910676454,0.0
2018-10-29,-0.44372061128526646,-1.358591300940439,-0.0,-1.1227468652037618,1.0,-0.9730603448275862,0.0
2018-10-30,-0.42859241845430507,-1.3592908218238808,-0.0,-1.123812322460574,1.0,-0.9858947987070232,0.0
2018-10-31,-0.4380535279805353,-1.3234549878345498,-0.0,-1.124622871046229,1.0,-0.9800486618004867,0.0
2018-11-01,-0.411304432348367,-1.344527604976672,-0.0,-1.1234933903576982,1.0,-0.9807056765163297,0.0
2018-11-02,-0.41712826935118735,-1.3012860652184386,-0.0,-1.1289436925003613,1.0,-0.9693656374933771,0.0
2018-11-05,-0.4113680154142582,-1.3184007707129093,-0.0,-1.1305394990366089,1.0,-0.9566955684007707,0.0
2018-11-06,-0.4139823775819731,-1.319514661274014,-0.0,-1.1279310510857528,1.0,-0.9533920747267561,0.0
2018-11-07,-0.41393422889883963,-1.3195628099571477,-0.0,-1.1279791997688864,1.0,-0.9533920747267561,0.0
2018-11-08,-0.3741739171777683,-1.3156943850140255,-0.0,-1.1096372367232443,1.0,-0.9548804259972424,0.0
2018-11-09,-0.3743567546770548,-1.3334295195498485,-0.0,-1.1318713028423026,1.0,-0.9696051555812053,0.0
2018-11-12,-0.37579433853264016,-1.3067590987868285,-0.0,-1.1582900057770076,1.0,-0.9733294819949934,0.0
2018-11-13,-0.32811077571750275,-1.3111015284365866,-0.0,-1.1760816443869484,1.0,-0.9760433136888506,0.0
2018-11-14,-0.3271643512954862,-1.3175984233043312,-0.0,-1.1807912320338414,1.0,-0.9813969139066482,0.0
2018-11-15,-0.32652079826881464,-1.3235393123346957,-0.0,-1.1907670113007935,1.0,-0.9680211589324358,0.0
2018-11-16,-0.3206362895884241,-1.3080350725887595,-0.0,-1.1876287671889225,1.0,-0.9750850462364046,0.0
2018-11-19,-0.3220274025102999,-1.3074159241161252,-0.0,-1.1866436715531283,1.0,-0.9745616556481748,0.0
2018-11-20,-0.2703023399307039,-1.2932744790925057,-0.0,-1.1883335706488205,1.0,-0.994351891404433,0.0
2018-11-21,-0.27434167369506135,-1.2791209821010214,-0.0,-1.178942929434917,1.0,-0.9531908912004499,0.0
2018-11-23,-0.27718180540591186,-1.2580690495151545,-0.0,-1.1912680938773599,1.0,-0.9580268890242188,0.0
2018-11-26,-0.2758216512729148,-1.2686952037132542,-0.0,-1.188803975807586,1.0,-0.955084626564771,0.0
2018-11-27,-0.25613309521571576,-1.2922267130369396,-0.0,-1.1942381802801016,1.0,-0.957091831939092,0.0
