Date,FIVE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8044248337580013,-1.695916972220496,-0.058355602510720285,-1.3208004474550992,-1.3351562985519856,0.0
2018-09-25,1.0,-0.8068322981366459,-1.692670807453416,-0.06285714285714286,-1.317950310559006,-1.3308074534161491,0.0
2018-09-26,1.0,-0.807976641610238,-1.694166614897186,-0.06498105237000684,-1.3176368267379015,-1.3276386904392123,0.0
2018-09-27,1.0,-0.813175214205886,-1.6811126288339748,-0.06885632683471997,-1.3182043958773126,-1.3274556066062335,0.0
2018-09-28,1.0,-0.8125271587311441,-1.6807995530448816,-0.06971258302812093,-1.3175864423614128,-1.3270221615246134,0.0
2018-10-01,1.0,-0.8125155202383908,-1.6809038986838838,-0.07033772038738514,-1.3173578346163397,-1.3269803824186739,0.0
2018-10-02,1.0,-0.8129232680956819,-1.6877291084187633,-0.0700838769804287,-1.3164336750543648,-1.3259397328362843,0.0
2018-10-03,1.0,-0.8202338523103858,-1.7104358156693555,-0.07522040892890641,-1.3207028074782718,-1.3262052147814671,0.0
2018-10-04,1.0,-0.8336157660202096,-1.7026925249482205,-0.07807694721646896,-1.3388564614322476,-1.323040230967175,0.0
2018-10-05,1.0,-0.8110265685418484,-1.6901584133715855,-0.05164026443806909,-1.3481352126730697,-1.3357240863165771,0.0
2018-10-08,1.0,-0.8067002299707874,-1.6826403132575052,-0.04736155137050158,-1.3470694263161167,-1.331655168127292,0.0
2018-10-09,1.0,-0.8045281606686209,-1.6910122871577373,-0.03336867710347408,-1.3603817127175202,-1.3479074409031373,0.0
2018-10-10,1.0,-0.8063731603891245,-1.6891369418807682,-0.03517086555250686,-1.3615614866550263,-1.343664255425293,0.0
2018-10-11,1.0,-0.6824171910245757,-1.6356405081324945,-0.0,-1.2937195773477383,-1.3243499940638728,0.0
2018-10-12,1.0,-0.6819691232158462,-1.6137489076609381,-0.0,-1.2517331779784444,-1.2783571220506844,0.0
2018-10-15,1.0,-0.6467277790670689,-1.6386632629380367,-0.0,-1.2412972847528427,-1.2751218380134601,0.0
2018-10-16,1.0,-0.6446261817759991,-1.641320109042399,-0.0,-1.2401252827562206,-1.274056029232643,0.0
2018-10-17,1.0,-0.6054667645563901,-1.5672332975659342,-0.0,-1.2119500762410347,-1.2628339074942112,0.0
2018-10-18,1.0,-0.607171134487049,-1.571824454247257,-0.0,-1.2119104173736004,-1.2645062775704106,0.0
2018-10-19,1.0,-0.5781852742215017,-1.5490020685413988,-0.0,-1.20629507463521,-1.2571141052160788,0.0
2018-10-22,1.0,-0.5782358527456567,-1.5392994804759512,-0.0,-1.2091503267973855,-1.259650298865985,0.0
2018-10-23,1.0,-0.5851081670300184,-1.5410587511878808,-0.0,-1.205657107719828,-1.2582033651964895,0.0
2018-10-24,1.0,-0.5812862885216614,-1.5351161232693167,-0.0,-1.205895489057615,-1.2605515855292542,0.0
2018-10-25,1.0,-0.5125059996800171,-1.4382699589355232,-0.0,-1.190976481254333,-1.1913497946776173,0.0
2018-10-26,1.0,-0.4778135387537593,-1.416609507729647,-0.0,-1.2044531208779614,-1.1773334036827943,0.0
2018-10-29,1.0,-0.4473256849494473,-1.4235947404264235,-0.0,-1.188066425690188,-1.1796322489391795,0.0
