Date,IWF,IWM,MTUM,SPY,TNK,VLUE,VXX
2018-09-24,-0.959230880439497,-2.223218158161053,-0.1216567876246928,-1.5264565563105392,1.0,-1.3980049154257626,0.0
2018-09-25,-0.9596039890157536,-2.2218528689116925,-0.12277785807197573,-1.5254372019077902,1.0,-1.3967336320277497,0.0
2018-09-26,-0.9593783881460064,-2.2220455366823275,-0.12157571376942539,-1.5262739428984458,1.0,-1.3987712323816408,0.0
2018-09-27,-0.9594848791781216,-2.22594414701201,-0.12169005932571264,-1.5274924034148458,1.0,-1.4002315149761249,0.0
2018-09-28,-0.957320601851852,-2.226779513888889,-0.12297453703703705,-1.5267650462962963,1.0,-1.3999565972222223,0.0
2018-10-01,-0.958623693379791,-2.2379500580720095,-0.1250725900116144,-1.5312137049941927,1.0,-1.406213704994193,0.0
2018-10-02,-0.9722404850609979,-2.2019869968587913,-0.1437650668419899,-1.5559208123310686,1.0,-1.431222149170867,0.0
2018-10-03,-0.9716622845457201,-2.184706397896582,-0.14161554192229042,-1.5627373648846044,1.0,-1.4428133216476777,0.0
2018-10-04,-0.9727796832810333,-2.1791578486462817,-0.14288841859446835,-1.5633073049697144,1.0,-1.4395387871269063,0.0
2018-10-05,-0.9479649665121072,-2.188856995657614,-0.10171487451240158,-1.6200780157503498,1.0,-1.5012879958784133,0.0
2018-10-08,-0.9530126732379753,-2.199733194989995,-0.08797154079893278,-1.6525605869710223,1.0,-1.5178981694211813,0.0
2018-10-09,-0.9498700334199779,-2.2060898626067584,-0.07411808392127739,-1.664092090605273,1.0,-1.5324173783884145,0.0
2018-10-10,-0.9577160723591155,-2.207548574406313,-0.07995235613786943,-1.6718528995756718,1.0,-1.5272835554232116,0.0
2018-10-11,-0.8514914772727272,-2.147088068181818,-0.0,-1.6032670454545452,1.0,-1.5004261363636362,0.0
2018-10-12,-0.8904430559500142,-2.1680630502698097,-0.0,-1.5788128372621415,1.0,-1.462936665719966,0.0
2018-10-15,-0.8370758659771906,-2.217326627470426,-0.0,-1.5671176595593967,1.0,-1.4621378479846994,0.0
