Date,CURO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-26,1.0,-0.663476639183353,-1.3670985473105612,-0.08794660384766391,-0.9940616411464469,-0.7951511582253632,0.0
2018-09-27,1.0,-0.6636327855948048,-1.3742005313391716,-0.0875233690839319,-0.9965069369280725,-0.7978943225425563,0.0
2018-09-28,1.0,-0.6656163844033084,-1.3734738085860576,-0.08812524615990547,-0.9972430090586845,-0.7987396612839701,0.0
2018-10-01,1.0,-0.6776822541370571,-1.3821994732395766,-0.0876111911742782,-1.0122248173731552,-0.8097202206430453,0.0
2018-10-02,1.0,-0.6821009330791613,-1.4259054881107656,-0.07931172870472561,-1.0163038025484097,-0.8128825122905589,0.0
2018-10-03,1.0,-0.6830529751443636,-1.4293748430831033,-0.0806427316093397,-1.016118503640472,-0.8121516444890786,0.0
2018-10-04,1.0,-0.7117674109652037,-1.4342138878953554,-0.0836441673905268,-1.0591180828777271,-0.8208573910377599,0.0
2018-10-05,1.0,-0.7031949531949532,-1.4311660561660562,-0.07107244607244606,-1.0613553113553114,-0.8207163207163206,0.0
2018-10-08,1.0,-0.7012795775363055,-1.4278968213669139,-0.06925967299685183,-1.0606783792017873,-0.8185741850309739,0.0
2018-10-09,1.0,-0.702768605537211,-1.4288036576073153,-0.0715265430530861,-1.0600965201930403,-0.8169164338328677,0.0
2018-10-10,1.0,-0.702763104429094,-1.4288906948394962,-0.07110930516050386,-1.0602397399431127,-0.8162840308817554,0.0
2018-10-11,1.0,-0.6285852948313516,-1.4002426595486532,-0.0,-1.0198010191701044,-0.8045619995146809,0.0
2018-10-12,1.0,-0.6361729513276446,-1.3862802116603898,-0.0,-0.984602183343662,-0.7600705534633169,0.0
2018-10-15,1.0,-0.5863075303798679,-1.4483781456319968,-0.0,-0.9818199215386088,-0.7677255764998564,0.0
2018-10-16,1.0,-0.581284087647115,-1.4564156540044015,-0.0,-0.980241125251172,-0.7662424648359009,0.0
2018-10-17,1.0,-0.545950991831972,-1.390198366394399,-0.0,-0.9634072345390899,-0.7678879813302217,0.0
2018-10-18,1.0,-0.5469282877832282,-1.3931324456902594,-0.0,-0.963046017285681,-0.7686989021256716,0.0
2018-10-19,1.0,-0.5231892091648189,-1.3752309682187729,-0.0,-0.9608739837398373,-0.7600240206947524,0.0
2018-10-22,1.0,-0.523246141048156,-1.3622331084203718,-0.0,-0.9685738053424531,-0.7674923745262964,0.0
2018-10-23,1.0,-0.5245333579744964,-1.361947883940122,-0.0,-0.9671040473110332,-0.7665865828867123,0.0
2018-10-24,1.0,-0.5221406473657477,-1.3566514290991365,-0.0,-0.9690169460220713,-0.7696818580597498,0.0
2018-10-25,1.0,-0.4749360162386374,-1.2803371282322833,-0.0,-0.9489012443738417,-0.7084988085782368,0.0
