Date,IWF,IWM,MTUM,NFJ,SPY,VLUE,VXX
2018-09-24,-0.16813216093791636,-0.25345877144438295,-0.1008628994240505,1.0,-0.26739633933878537,-0.2597716698436123,0.0
2018-09-25,-0.16815610395999017,-0.25346396654915143,-0.10090596048208576,1.0,-0.26740182011970154,-0.2597769943428712,0.0
2018-09-26,-0.16823119491699118,-0.2535355605656897,-0.10110678417708546,1.0,-0.26730887476942,-0.2593974175035868,0.0
2018-09-27,-0.16874282904441895,-0.2520283560072119,-0.10154073102770038,1.0,-0.26725127028356005,-0.2593017538108507,0.0
2018-09-28,-0.16834340743776252,-0.2524331523409487,-0.10169040057371172,1.0,-0.26720622886999285,-0.2592972031554144,0.0
2018-10-01,-0.1686440851621893,-0.2521669637917256,-0.10165775291489929,1.0,-0.2673715702547079,-0.2592979652056311,0.0
2018-10-02,-0.16945713875853022,-0.24542492366333996,-0.10404328134926327,1.0,-0.2691353976678894,-0.26124556837510504,0.0
2018-10-03,-0.16945019365150926,-0.24484108280907396,-0.10401852496977397,1.0,-0.2693087973114203,-0.26160372138773336,0.0
2018-10-04,-0.17151579723804453,-0.2415891488751383,-0.10426996680735975,1.0,-0.2720362250542966,-0.2595172724665,0.0
2018-10-05,-0.17213198697335272,-0.24224238576080945,-0.1041312496159597,1.0,-0.27140896708518525,-0.2583003912090613,0.0
2018-10-08,-0.17194570135746606,-0.24192788845437235,-0.10386765217747383,1.0,-0.27149321266968324,-0.2582051964537991,0.0
2018-10-09,-0.17131743269526054,-0.2420104411915242,-0.10242604156003685,1.0,-0.2722694236871737,-0.25926911659330537,0.0
2018-10-10,-0.1719571846667076,-0.24113300996704937,-0.10329301487894231,1.0,-0.2725691246597491,-0.25766971613352163,0.0
2018-10-11,-0.16706967671143802,-0.23806717737183264,-0.0979822404649178,1.0,-0.2712494666043525,-0.25761485786275984,0.0
2018-10-12,-0.1655064639863617,-0.23743226513506382,-0.09627990988979766,1.0,-0.2721977553629777,-0.2581129624743774,0.0
2018-10-15,-0.16330833164403,-0.23985404419217513,-0.09353334684775998,1.0,-0.2721062233934725,-0.25836205148996555,0.0
2018-10-16,-0.16282181228461381,-0.2418203932698155,-0.09207378876951146,1.0,-0.2721467666734239,-0.2583012365700385,0.0
2018-10-17,-0.15990241738744734,-0.23468215084981553,-0.08973971249420351,1.0,-0.27173934958366097,-0.26010605052521224,0.0
2018-10-18,-0.16023391812865498,-0.23530953821334946,-0.08939302278685218,1.0,-0.27140552530752166,-0.2601935874168179,0.0
2018-10-19,-0.15546420693803892,-0.22943653499097655,-0.08610387006216162,1.0,-0.2734309203930219,-0.2607780228594345,0.0
2018-10-22,-0.15928634573655873,-0.2230370489431809,-0.07608695652173914,1.0,-0.2823876878566262,-0.2683637386482359,0.0
