Date,CBSH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15169476751425795,-0.5245934301297537,-0.14544367793191043,-0.3133514307772769,-0.3553657260976764,0.0
2018-09-25,1.0,-0.15051937674790253,-0.5283160207750699,-0.1419296843787455,-0.3166450259688374,-0.35959348781462247,0.0
2018-09-26,1.0,-0.1503770663736703,-0.5282674923837587,-0.14161214603206315,-0.316760725166059,-0.36008590121360434,0.0
2018-09-27,1.0,-0.1491848507649862,-0.5381239026837221,-0.13940305994482066,-0.3190870328567845,-0.36235264609982437,0.0
2018-09-28,1.0,-0.14666298398031435,-0.5416059860392708,-0.13983327474514137,-0.3197157635715362,-0.3630793953698589,0.0
2018-10-01,1.0,-0.14765791787014945,-0.540801205575788,-0.13964586211226923,-0.32038176566620624,-0.36315458997865124,0.0
2018-10-02,1.0,-0.14767900676066248,-0.545200934931765,-0.1384050868330443,-0.3197114780466963,-0.3622609263866897,0.0
2018-10-03,1.0,-0.1480224284026049,-0.546906037062181,-0.13871916723240552,-0.31932815367981693,-0.36141912448769203,0.0
2018-10-04,1.0,-0.14630253591062245,-0.5606363843639955,-0.1377903883667317,-0.31781217541104045,-0.37081042738074127,0.0
2018-10-05,1.0,-0.13980151013914494,-0.5587767367862825,-0.1334124599106038,-0.31942725826409757,-0.3739235839288871,0.0
2018-10-08,1.0,-0.13910827382604526,-0.558098458277611,-0.13267391688324798,-0.31974969089853905,-0.3736468925840882,0.0
2018-10-09,1.0,-0.13697903510987625,-0.5595857539782774,-0.12644607224046478,-0.32381914624905284,-0.379060368779995,0.0
2018-10-10,1.0,-0.13624522623232757,-0.5618250335112167,-0.12486405827157994,-0.3242115379751637,-0.38200257973140445,0.0
2018-10-11,1.0,-0.10110439778129952,-0.5687400950871633,-0.08208696513470681,-0.3208696513470682,-0.40345186212361334,0.0
2018-10-12,1.0,-0.0960620525059666,-0.5759248210023866,-0.07778937947494033,-0.32619828957836117,-0.4100785600636436,0.0
2018-10-15,1.0,-0.07657747603833866,-0.618984624600639,-0.046700279552715655,-0.33226837060702874,-0.4214756389776358,0.0
2018-10-16,1.0,-0.07563654518222666,-0.6231153270094858,-0.043609585621567644,-0.33247628557164255,-0.4214178731902147,0.0
