Date,CHDN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4516420190238145,-0.8755814760813719,-0.11174755259320977,-0.5588766229257793,-0.47368603763104905,0.0
2018-09-25,1.0,-0.45092450994021965,-0.8777978590296123,-0.10975948839149173,-0.5608230223828723,-0.47626164326428483,0.0
2018-09-26,1.0,-0.4544884304432674,-0.8833286869250069,-0.114754669640368,-0.5618204627822694,-0.47044884304432677,0.0
2018-09-27,1.0,-0.4553748650625066,-0.879722812271477,-0.11575025246369747,-0.5614096179963088,-0.4700003482257897,0.0
2018-09-28,1.0,-0.4562680692465777,-0.8790623149534988,-0.115956668640496,-0.561635723988993,-0.4702706468354871,0.0
2018-10-01,1.0,-0.45740566530782906,-0.8780181875195987,-0.11588446395595972,-0.5624542698860667,-0.4704714121459183,0.0
2018-10-02,1.0,-0.4612430167597765,-0.8561452513966481,-0.12419692737430167,-0.5707751396648045,-0.4792946927374302,0.0
2018-10-03,1.0,-0.46074120603015084,-0.8494905080960358,-0.12339475153545507,-0.5728294249022893,-0.4832146845337801,0.0
2018-10-04,1.0,-0.46029750680913467,-0.8511069208743627,-0.12371673999580976,-0.5722466652699211,-0.48456596131014734,0.0
2018-10-05,1.0,-0.44983132194901404,-0.8457552255416826,-0.11202309324244428,-0.5786178833513024,-0.49167043438945496,0.0
2018-10-08,1.0,-0.45119358773305457,-0.8489632340128943,-0.1126328628680955,-0.5790555845966197,-0.4931172678166928,0.0
2018-10-09,1.0,-0.44913333100826563,-0.8505213964356713,-0.10619746800125554,-0.5831967356049246,-0.4985526453457957,0.0
2018-10-10,1.0,-0.45791635942273257,-0.8540679096878402,-0.11155588328241862,-0.5929281224762106,-0.49485585870290394,0.0
2018-10-11,1.0,-0.41561902159059855,-0.8552883301448485,-0.05124350915550697,-0.5834244329051653,-0.5106244875649084,0.0
2018-10-12,1.0,-0.4260121457489878,-0.8498987854251013,-0.04800944669365722,-0.5635627530364372,-0.486302294197031,0.0
2018-10-15,1.0,-0.4197090125286272,-0.8600969958237908,-0.038057389195742954,-0.5632493600969958,-0.4867977906506803,0.0
2018-10-16,1.0,-0.4170828833693305,-0.8765523758099354,-0.02693034557235421,-0.5657397408207344,-0.48839092872570194,0.0
2018-10-17,1.0,-0.4016052219668965,-0.8397442301928265,-0.006693975422120093,-0.5723515502714225,-0.5099743564125621,0.0
2018-10-18,1.0,-0.4006127410170169,-0.8381897499084218,-0.007459455859335974,-0.5738452828932032,-0.5100402943820973,0.0
