Date,DOOO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8324738576135224,-2.245738432889271,-0.0,-1.5843002435181208,-1.4997851310700474,0.0
2018-09-25,1.0,-0.8378881098869653,-2.2411646873658606,-0.0,-1.5809844040635286,-1.4940620975819145,0.0
2018-09-26,1.0,-0.8442452491932593,-2.2501972032986735,-0.0,-1.5852993904625314,-1.4913589100035856,0.0
2018-09-27,1.0,-0.8470058596541374,-2.2315277976275545,-0.0,-1.5807488923824495,-1.4867085893954552,0.0
2018-09-28,1.0,-0.8444317287747658,-2.2371790286817825,-0.0,-1.5822902510550034,-1.4885916601101497,0.0
2018-10-01,1.0,-0.84487197825776,-2.2365899013016737,-0.0,-1.5821055642969533,-1.4885567157774282,0.0
2018-10-02,1.0,-0.8633777457688153,-2.2134677709758734,-0.0,-1.6097947425279078,-1.5153763053655025,0.0
2018-10-03,1.0,-0.8604066384079316,-2.1972842876643437,-0.0,-1.6088081040304618,-1.5178532940584812,0.0
2018-10-04,1.0,-0.8733530131758945,-2.1875584995320034,-0.0,-1.6259629922960614,-1.513139894880841,0.0
2018-10-05,1.0,-0.8323518978361121,-2.1499113160695287,-0.0,-1.610145441645974,-1.5023057821922667,0.0
2018-10-08,1.0,-0.8237118488757313,-2.1327976316345953,-0.0,-1.6010432085712274,-1.491153873264256,0.0
2018-10-09,1.0,-0.8672623765943648,-2.1846220364632125,-0.0,-1.6376738488145852,-1.5165381566621028,0.0
2018-10-10,1.0,-0.8680239693884919,-2.189589199335788,-0.0,-1.6405313695762038,-1.5215507905566386,0.0
2018-10-11,1.0,-0.6459580323357413,-2.1463364293085654,-0.0,-1.5555555555555554,-1.532094943240454,0.0
2018-10-12,1.0,-0.6977731384829506,-2.1995824634655534,-0.0,-1.5500347947112039,-1.5115518441196938,0.0
2018-10-15,1.0,-0.6724911941432419,-2.2010497962566475,-0.0,-1.5335313212238413,-1.4994820084259963,0.0
2018-10-16,1.0,-0.663921948519236,-2.22197619706615,-0.0,-1.533905341821201,-1.4996540271242733,0.0
2018-10-17,1.0,-0.5893365085665145,-2.0674075544089434,-0.0,-1.4779387444598797,-1.4803863200370444,0.0
2018-10-18,1.0,-0.5917238621976411,-2.0767641767175316,-0.0,-1.4999666822149662,-1.495035650029986,0.0
2018-10-19,1.0,-0.5459859703819173,-2.017212262925435,-0.0,-1.4699922057677317,-1.4620031176929071,0.0
2018-10-22,1.0,-0.5719810628792426,-2.0956191238247652,-0.0,-1.5043008601720345,-1.4960992198439689,0.0
2018-10-23,1.0,-0.5756263326226013,-2.0943496801705757,-0.0,-1.4999333688699361,-1.4932036247334755,0.0
2018-10-24,1.0,-0.571142952349217,-2.0877040986337887,-0.0,-1.5044318560479841,-1.5011662779073645,0.0
2018-10-25,1.0,-0.46447602131438714,-1.950900786602385,-0.0,-1.5204262877442274,-1.4077645267698553,0.0
2018-10-26,1.0,-0.4151490832767455,-1.8901784060744493,-0.0,-1.5053398357923329,-1.362553244027409,0.0
2018-10-29,1.0,-0.380952380952381,-1.8793407529039714,-0.0,-1.472298242413185,-1.3490239007480387,0.0
2018-10-30,1.0,-0.43140917865371436,-1.9228470016813002,-0.0,-1.5132324553210037,-1.359549162463416,0.0
2018-10-31,1.0,-0.43418886789002015,-1.854355910504176,-0.0,-1.4822898250320062,-1.3256111686886545,0.0
