Date,IWF,IWM,MTUM,SPY,TRUP,VLUE,VXX
2018-09-24,-0.8732999705622607,-1.7212246099499557,-0.18210185457756844,-1.1445392993818073,1.0,-0.9663821018545776,0.0
2018-09-25,-0.8778850682995761,-1.7180876118699955,-0.18900141309467733,-1.141662741403674,1.0,-0.9611987753179464,0.0
2018-09-26,-0.8842994740885186,-1.7280624002836376,-0.19659634816521895,-1.1450097500443184,1.0,-0.9550907049577498,0.0
2018-09-27,-0.9122720247295208,-1.8442040185471407,-0.1941885625965997,-1.211499227202473,1.0,-1.0202163833075735,0.0
2018-09-28,-0.9565715012399059,-1.88408469511032,-0.19685890506771794,-1.2581547656895784,1.0,-1.062758313727984,0.0
2018-10-01,-0.9567323010259352,-1.890524437647359,-0.19836869942012364,-1.2602434206334034,1.0,-1.0663990314152807,0.0
2018-10-02,-0.9899157433822067,-2.0517481589597293,-0.18052146221720958,-1.305380481655941,1.0,-1.1068798513899023,0.0
2018-10-03,-0.9886657387154503,-2.039172797772917,-0.17929343143103335,-1.3082123682640683,1.0,-1.1128786372373567,0.0
2018-10-04,-0.9901344103820433,-2.0320466132556447,-0.1805601536118652,-1.3095411507647488,1.0,-1.1089187578626762,0.0
2018-10-05,-0.9815878043951693,-2.0334587210453376,-0.1644558833234343,-1.311423480498911,1.0,-1.1084273741173365,0.0
2018-10-08,-0.9779300349166611,-2.027669806970156,-0.15554384346794914,-1.3191909875485868,1.0,-1.1077146057052507,0.0
2018-10-09,-0.978520129142782,-2.0285959016933517,-0.15589378665085327,-1.3190353824866576,1.0,-1.1069381300652303,0.0
2018-10-10,-0.9819416068015554,-2.027021683253147,-0.15903249192644828,-1.32136031107889,1.0,-1.1012983589270413,0.0
2018-10-11,-0.8896873424104891,-2.000126071608674,-0.046457387796268276,-1.273134140191629,1.0,-1.0942385274836106,0.0
2018-10-12,-0.9181801160831304,-2.00337015540161,-0.03413842601260687,-1.2382824689508831,1.0,-1.0470573550521125,0.0
2018-10-15,-0.9124337799937675,-2.014708631972577,-0.021190401994390772,-1.2381427235899034,1.0,-1.0459333125584294,0.0
2018-10-16,-0.9274396378269618,-2.0062248490945676,-0.03986418511066399,-1.2528923541247485,1.0,-1.0613053319919519,0.0
2018-10-17,-0.8954244357212955,-1.9322865554465163,-0.020976447497546614,-1.2298822374877332,1.0,-1.0548945044160942,0.0
2018-10-18,-0.8939533739312295,-1.9314141600541306,-0.02386664206188104,-1.241372947038199,1.0,-1.0605892846158578,0.0
2018-10-19,-0.8758217677136596,-1.915753591429267,-0.002191380569758948,-1.2409301193084976,1.0,-1.052471390309228,0.0
2018-10-22,-0.8801755036460265,-1.9648374737362504,-0.028735632183908046,-1.2453343220862687,1.0,-1.0606229143492771,0.0
2018-10-23,-0.891095252869997,-1.9713931120074464,-0.04374806081290723,-1.239218119764195,1.0,-1.0598820974247596,0.0
2018-10-24,-0.8913339945450037,-1.9709893379618153,-0.035581453012645675,-1.2404537565088025,1.0,-1.0605008678403176,0.0
2018-10-25,-0.8250884451639983,-1.8872698926665468,-0.009773940157102597,-1.2726509564070276,1.0,-1.0015590333992925,0.0
2018-10-26,-0.785809987819732,-1.9113276492082825,-0.0,-1.3596833130328865,1.0,-1.0333130328867233,0.0
2018-10-29,-0.737319612738233,-1.9498264628874142,-0.0,-1.3460999817329355,1.0,-1.0557754368872923,0.0
2018-10-30,-0.7201899080893542,-1.950088258567168,-0.0,-1.3468257349808266,1.0,-1.0697547020512508,0.0
2018-10-31,-0.7344687556821625,-1.9073883265652463,-0.0,-1.3528092611673435,1.0,-1.0663070489120554,0.0
