Date,AAXN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.502717650424335,-2.579383999237151,-0.6512825402879756,-1.9609039763516734,-1.8413273576809381,0.0
2018-09-25,1.0,-1.5026692087702573,-2.5778836987607248,-0.6522402287893232,-1.9598665395614872,-1.8403241182078172,0.0
2018-09-26,1.0,-1.5195079761675958,-2.6050355564097636,-0.6654814530078801,-1.9758793004036133,-1.843936190659235,0.0
2018-09-27,1.0,-1.5206215231152884,-2.590638787646269,-0.6677536926913485,-1.972376750431613,-1.8401112603107614,0.0
2018-09-28,1.0,-1.5195627157652474,-2.590429612581511,-0.6681051016494054,-1.9717107786728039,-1.8396624472573841,0.0
2018-10-01,1.0,-1.5196087832006906,-2.5897017930769968,-0.6684245852910154,-1.971425831815131,-1.8393901620481352,0.0
2018-10-02,1.0,-1.5206873380051837,-2.6002687913986753,-0.6681386195641739,-1.9712009215705097,-1.8393011423634442,0.0
2018-10-03,1.0,-1.5223866256725596,-2.604246733282091,-0.6704458109146809,-1.9717524980784011,-1.8392582628747116,0.0
2018-10-04,1.0,-1.5267857142857142,-2.592645929339478,-0.6717549923195085,-1.976862519201229,-1.8324692780337943,0.0
2018-10-05,1.0,-1.4954320517700799,-2.5708031975637606,-0.6381804339550817,-1.9768747620860296,-1.835363532546631,0.0
2018-10-08,1.0,-1.4888973239703929,-2.5606376921617007,-0.6277282216739419,-1.9806414879483771,-1.831467071550579,0.0
2018-10-09,1.0,-1.486183648276517,-2.5639540404519985,-0.618459785395499,-1.987085746842655,-1.8399962016902478,0.0
2018-10-10,1.0,-1.486191515611654,-2.562209357502135,-0.6185821391287842,-1.9864287747935845,-1.8369554901774698,0.0
2018-10-11,1.0,-1.3286121503652237,-2.4725636914306075,-0.4461072510244076,-1.878941742383752,-1.781667557455906,0.0
2018-10-12,1.0,-1.3282409428197295,-2.4426014840680925,-0.4224356176342209,-1.8218245307725882,-1.7147970318638148,0.0
2018-10-15,1.0,-1.3016231229927957,-2.4691433035326793,-0.3839944449266557,-1.8141654370280356,-1.7108757920319417,0.0
2018-10-16,1.0,-1.3046576294751477,-2.4664581160931522,-0.38877302745915887,-1.8163885992353144,-1.713242961418144,0.0
2018-10-17,1.0,-1.2473299133798672,-2.356740391893028,-0.3452190732486755,-1.7719283491716424,-1.6884198133041797,0.0
2018-10-18,1.0,-1.2459843579177527,-2.354301572617946,-0.34631233706164327,-1.7743671684467244,-1.688756202169708,0.0
2018-10-19,1.0,-1.2174021234240213,-2.3255640345056405,-0.31710351692103517,-1.7627737226277371,-1.671781685467817,0.0
2018-10-22,1.0,-1.2215126886714214,-2.312572565931332,-0.30502570907281473,-1.7730137667938297,-1.681124564604412,0.0
