Date,IWF,IWM,MS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.24406344275515998,-0.38770572597747843,1.0,-0.268616147435706,-0.5139042384778518,-0.5726574867827594,0.0
2018-09-25,-0.24267281381911804,-0.391761219052181,1.0,-0.2647067628656109,-0.5174086159925756,-0.5771936652396491,0.0
2018-09-26,-0.24232715513369465,-0.3915321735485223,1.0,-0.26373626373626374,-0.5178608857082971,-0.578824445309459,0.0
2018-09-27,-0.24194128220491312,-0.3934391851408029,1.0,-0.26330137807070103,-0.5180647094068305,-0.5790593169562612,0.0
2018-09-28,-0.24155182744158177,-0.3939185140802876,1.0,-0.2634811264230078,-0.5179149191132415,-0.5789095266626723,0.0
2018-10-01,-0.24825238037845004,-0.39553453055321197,1.0,-0.2618114981318549,-0.5249789080390502,-0.5825900928046281,0.0
2018-10-02,-0.2487496233805363,-0.3926483880686954,1.0,-0.2629406447725219,-0.5254896053028021,-0.5831274480265141,0.0
2018-10-03,-0.24850164141794417,-0.38731439930126793,1.0,-0.26214498689877425,-0.5273619853627685,-0.5864530313525886,0.0
2018-10-04,-0.24804869963535542,-0.38938613145285234,1.0,-0.26215230690413766,-0.5264442636289667,-0.5875598951270229,0.0
2018-10-05,-0.2346555198027246,-0.38116861636544075,1.0,-0.2512555258172195,-0.5379364267885605,-0.6022313776200644,0.0
2018-10-08,-0.2335976928622927,-0.37950612833453495,1.0,-0.24996995914443645,-0.5389329488103821,-0.6020487863494353,0.0
2018-10-09,-0.2313381234404594,-0.38075338965216615,1.0,-0.24360400444938823,-0.5430658689835554,-0.6075819980158134,0.0
2018-10-10,-0.23034503540756365,-0.3847822811511225,1.0,-0.24083170106976046,-0.5442519210486666,-0.6131987343679374,0.0
2018-10-11,-0.2003195644454965,-0.37815126050420167,1.0,-0.20955142620428452,-0.5414250207125104,-0.6294827790271039,0.0
2018-10-12,-0.20044634991484114,-0.3709990015857168,1.0,-0.20902096669994713,-0.5336524343689434,-0.6223644799436189,0.0
2018-10-15,-0.18388138578978275,-0.4004991192014093,1.0,-0.18558426306517908,-0.5363769817968291,-0.6296241926012918,0.0
2018-10-16,-0.1819623971797885,-0.4100176263219742,1.0,-0.17873090481786136,-0.5371915393654524,-0.6298472385428908,0.0
2018-10-17,-0.18708893760739467,-0.4238905018664455,1.0,-0.18080820050956922,-0.5409136694910233,-0.6299105291224744,0.0
2018-10-18,-0.1854812252080289,-0.4238420471830356,1.0,-0.18303558113871576,-0.5540875063377971,-0.6360762325151361,0.0
2018-10-19,-0.17895675434685687,-0.41875464407787183,1.0,-0.17934314162579876,-0.5565165700698469,-0.6386387278941893,0.0
2018-10-22,-0.1834925168853581,-0.4107828260287423,1.0,-0.16802047070725104,-0.5663066440536761,-0.6467910381147907,0.0
2018-10-23,-0.18160589186276271,-0.41829830549068925,1.0,-0.15630800550865218,-0.5806837913897371,-0.6569367103766242,0.0
2018-10-24,-0.1805364305813327,-0.41812847991378793,1.0,-0.15545111656588634,-0.5814524336945458,-0.6579057654313596,0.0
2018-10-25,-0.15617401494067673,-0.3862018456130072,1.0,-0.1516332210341292,-0.593994433865534,-0.6415409403837703,0.0
2018-10-26,-0.15174122104036133,-0.3815532565933265,1.0,-0.14559230657147018,-0.5971732478507941,-0.6381174413521783,0.0
2018-10-29,-0.1411142740951606,-0.3867425782838552,1.0,-0.13812234938709114,-0.5942892000232383,-0.6445128681810259,0.0
2018-10-30,-0.1348148148148148,-0.38791575889615104,1.0,-0.13374001452432824,-0.5961074800290487,-0.6522875816993464,0.0
