Date,GWB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15634595701125895,-0.7508813829182305,-0.07955191629705448,-0.4086489252814739,-0.4477425224610486,0.0
2018-09-25,1.0,-0.15598156891745832,-0.7515785880880596,-0.07873030320268502,-0.4093236247795666,-0.44868877638090904,0.0
2018-09-26,1.0,-0.15584821936511548,-0.7515644555694619,-0.07833655705996131,-0.40948913414495397,-0.4492547502560018,0.0
2018-09-27,1.0,-0.15498659976050636,-0.7577692877915265,-0.07700861036665337,-0.4107886183497748,-0.4505901807606775,0.0
2018-09-28,1.0,-0.15247417384852463,-0.7610581587808914,-0.07759260316191997,-0.4113064322812625,-0.45125848981222527,0.0
2018-10-01,1.0,-0.15230483801912373,-0.7615241900956187,-0.07786499215070643,-0.4111888111888112,-0.45140573712002285,0.0
2018-10-02,1.0,-0.15248998282770465,-0.7769605037206639,-0.07358328563251289,-0.40973096737263887,-0.4493131081854608,0.0
2018-10-03,1.0,-0.15231447044687305,-0.772586828403044,-0.07309606911941409,-0.4110831378383018,-0.4518223951479086,0.0
2018-10-04,1.0,-0.15087396504139836,-0.7828599356025759,-0.07273459061637534,-0.40944112235510577,-0.45900413983440663,0.0
2018-10-05,1.0,-0.13781637859374551,-0.7791154298162639,-0.06148422048327457,-0.41786338750824087,-0.4700891449537077,0.0
2018-10-08,1.0,-0.13647422503363196,-0.7774851876234364,-0.05956435870280791,-0.4191544780605089,-0.4696167387010905,0.0
2018-10-09,1.0,-0.13373493975903614,-0.7804360298336203,-0.05025817555938038,-0.42590361445783126,-0.4782845668387836,0.0
2018-10-10,1.0,-0.13349013308857274,-0.7806620009178523,-0.05002294630564479,-0.4259121156493805,-0.4782010096374484,0.0
2018-10-11,1.0,-0.09291563832174109,-0.7897969486201482,-0.0003926407897689028,-0.42169620821180165,-0.49977563383441775,0.0
2018-10-12,1.0,-0.08656157415171335,-0.792917435295433,-0.0,-0.4182458494046621,-0.4972888367152999,0.0
2018-10-15,1.0,-0.05071102011050963,-0.8354416178161725,-0.0,-0.4155330547219028,-0.5031273665610188,0.0
2018-10-16,1.0,-0.04740665937333446,-0.8410053577940476,-0.0,-0.41459788493365873,-0.5021459227467812,0.0
2018-10-17,1.0,-0.030736002658248877,-0.8134518469291686,-0.0,-0.4131084897823558,-0.5116852190286315,0.0
2018-10-18,1.0,-0.029784168675366415,-0.8117363477682654,-0.0,-0.41645194359016985,-0.5126478818607486,0.0
2018-10-19,1.0,-0.01826949572885092,-0.8091209699641775,-0.0,-0.4158445852852025,-0.5123449986222101,0.0
2018-10-22,1.0,-0.01944130380828944,-0.8115710228056146,-0.0,-0.4150787303863442,-0.5115406888564101,0.0
2018-10-23,1.0,-0.011649346295675494,-0.8225220695049726,-0.0,-0.4339032294111074,-0.5255335791708571,0.0
2018-10-24,1.0,-0.00932179737650014,-0.8216857382082055,-0.0,-0.4337147641641083,-0.5262349986045213,0.0
2018-10-25,1.0,-0.0054710397766922535,-0.8250383810188415,-0.0,-0.4336636427076064,-0.5271737613398465,0.0
2018-10-26,1.0,-0.0,-0.8207790749887741,-0.0,-0.4597272114952851,-0.5259598114054782,0.0
2018-10-29,1.0,-0.0,-0.8261003299591746,-0.0,-0.4436832391924389,-0.5264806218891561,0.0
2018-10-30,1.0,-0.0,-0.8346200962935529,-0.0,-0.44730919347027154,-0.566992393379106,0.0
2018-10-31,1.0,-0.0,-0.8318304650832031,-0.0,-0.4466505475750249,-0.5660645711847533,0.0
2018-11-01,1.0,-0.0,-0.8338970525537902,-0.0,-0.44399283744990475,-0.5643634709945144,0.0
2018-11-02,1.0,-0.0,-0.8128623547046013,-0.0,-0.4531802369976526,-0.5620916881133516,0.0
2018-11-05,1.0,-0.0,-0.8160588068985015,-0.0,-0.45272830081990384,-0.5584676279332768,0.0
2018-11-06,1.0,-0.0,-0.8173441121600995,-0.0,-0.45220193340494097,-0.5570410989880717,0.0
2018-11-07,1.0,-0.0,-0.8190379231356579,-0.0,-0.45134470179010777,-0.5575916970673906,0.0
2018-11-08,1.0,-0.0,-0.8180386864597391,-0.0,-0.43381691408007195,-0.5596603688708952,0.0
2018-11-09,1.0,-0.0,-0.8208340387111337,-0.0,-0.43928107894588336,-0.5613960837424524,0.0
2018-11-12,1.0,-0.0,-0.8120939389677965,-0.0,-0.44128814512726766,-0.5591899873435523,0.0
2018-11-13,1.0,-0.0,-0.8069406443687531,-0.0,-0.4329108269585125,-0.5520129543804791,0.0
2018-11-14,1.0,-0.0,-0.8086661811663213,-0.0,-0.4379306481429611,-0.5543667021455381,0.0
2018-11-15,1.0,-0.0,-0.810561797752809,-0.0,-0.4379494382022472,-0.5604775280898877,0.0
2018-11-16,1.0,-0.0,-0.808206106870229,-0.0,-0.43733161203412657,-0.5609283789851818,0.0
2018-11-19,1.0,-0.0,-0.808817747823645,-0.0,-0.43813535523729286,-0.5612468407750631,0.0
