Date,IWF,IWM,MTUM,SPY,VKTX,VLUE,VXX
2018-09-24,-5.713134328358208,-5.9620895522388055,-5.510149253731343,-5.836119402985074,0.9492537313432836,-5.829253731343283,0.050746268656716415
2018-09-25,-5.807155852031534,-6.059126743480897,-5.600667070952092,-5.930867192237719,0.9593693147362037,-5.923286840509399,0.04063068526379624
2018-09-26,-5.799818291944277,-6.051483949121744,-5.593579648697759,-5.923682616596002,0.9582071471835252,-5.91611144760751,0.04179285281647486
2018-09-27,-5.81658062556939,-6.067719404798058,-5.6094746431825095,-5.9407834801093236,0.9617370179167932,-5.933191618584878,0.03826298208320681
2018-09-28,-5.817739975698664,-6.070170109356015,-5.611482381530985,-5.94228432563791,0.9614216281895505,-5.934993924665857,0.03857837181044958
2018-10-01,-5.821580547112462,-6.07355623100304,-5.614893617021277,-5.946200607902735,0.9613981762917932,-5.938601823708207,0.03860182370820669
2018-10-02,-5.91571472676752,-6.176597715344241,-5.704229700524853,-6.042605742513121,0.9719049089225069,-6.034578573633837,0.028095091077493053
2018-10-03,-5.9552517091361095,-6.217215661901802,-5.742075823492852,-6.083903045369795,0.9779366065879428,-6.076444996892479,0.022063393412057177
2018-10-04,-5.981279251170046,-6.242121684867394,-5.765990639625584,-6.110764430577222,0.9822152886115444,-6.101092043681747,0.017784711388455537
2018-10-05,-6.058488776478027,-6.3240594372431245,-5.840973759089472,-6.200126462219412,1.0,-6.192222573506165,0.0
2018-10-08,-6.040353089533418,-6.3045397225725095,-5.8221941992433806,-6.184110970996217,1.0,-6.174653215636822,0.0
2018-10-09,-6.043848580441641,-6.309148264984228,-5.824605678233438,-6.188643533123028,1.0,-6.179495268138802,0.0
2018-10-10,-6.0381342578001895,-6.3028679483138985,-5.819413803971005,-6.182792310116608,1.0,-6.173022376300031,0.0
2018-10-11,-5.752639517345401,-6.042232277526396,-5.526998491704374,-5.917345399698341,1.0,-5.926395173453997,0.0
2018-10-12,-5.744885679903731,-6.027075812274369,-5.513838748495789,-5.895908543922984,1.0,-5.902827918170878,0.0
2018-10-15,-5.695756126718471,-6.005977286312015,-5.460848774656307,-5.856545128511656,1.0,-5.867304243873282,0.0
2018-10-16,-5.684069212410501,-5.999105011933174,-5.447494033412888,-5.84546539379475,1.0,-5.856503579952268,0.0
2018-10-17,-5.5593220338983045,-5.864406779661016,-5.320864991233196,-5.730274693161893,1.0,-5.747516072472238,0.0
2018-10-18,-5.557697925796085,-5.862693543675139,-5.319310546304411,-5.728600642711072,1.0,-5.745836985100789,0.0
2018-10-19,-5.49624060150376,-5.799016772700984,-5.2593984962406015,-5.6735106998264895,1.0,-5.689994216310006,0.0
2018-10-22,-5.485425685425685,-5.7849927849927845,-5.246176046176046,-5.663492063492064,1.0,-5.6799422799422805,0.0
2018-10-23,-5.485425685425685,-5.7849927849927845,-5.246464646464647,-5.6632034632034625,1.0,-5.6799422799422805,0.0
2018-10-24,-5.482838188635708,-5.780213441015287,-5.2408422267089705,-5.661378713585233,1.0,-5.6783963080473026,0.0
2018-10-25,-5.228137931034483,-5.514758620689656,-4.996689655172415,-5.422896551724138,1.0,-5.424,0.0
2018-10-26,-5.139326453014666,-5.429386203150462,-4.903585008147745,-5.346007604562738,1.0,-5.340847365562195,0.0
2018-10-29,-5.193459741687277,-5.508656224237428,-4.951635064578181,-5.411101951085463,1.0,-5.4152239626270955,0.0
2018-10-30,-5.178228681107759,-5.497943515217987,-4.936660268714012,-5.400329037565121,1.0,-5.406909788867562,0.0
2018-10-31,-5.184910836762688,-5.492729766803841,-4.940192043895747,-5.406035665294924,1.0,-5.410699588477366,0.0
2018-11-01,-5.157420060125718,-5.4829188302814975,-4.910904618748292,-5.386444383711397,1.0,-5.39245695545231,0.0
2018-11-02,-5.1199131850244175,-5.436516549104721,-4.865165491047206,-5.353499728703202,1.0,-5.35485621269669,0.0
2018-11-05,-5.113008130081301,-5.433875338753387,-4.8585365853658535,-5.34769647696477,1.0,-5.3474254742547425,0.0
2018-11-06,-5.12072707542051,-5.441942485078676,-4.862995116657624,-5.352685838307108,1.0,-5.351600651112317,0.0
2018-11-07,-5.128532608695653,-5.451086956521739,-4.873097826086957,-5.360869565217392,1.0,-5.360054347826087,0.0
2018-11-08,-5.074373484236055,-5.414443546213959,-4.8162220425761255,-5.317165184586365,1.0,-5.3247103206682835,0.0
2018-11-09,-5.081219643820831,-5.4225580140313,-4.821910415542363,-5.325148407987047,1.0,-5.332703723691311,0.0
2018-11-12,-5.040963855421687,-5.3740294511378845,-4.781793842034806,-5.286211512717537,1.0,-5.290763052208836,0.0
2018-11-13,-4.957794777103667,-5.2959641255605385,-4.699024004220522,-5.21128989712477,1.0,-5.214191506198892,0.0
2018-11-14,-4.956487341772152,-5.294303797468354,-4.697784810126582,-5.209651898734177,1.0,-5.212552742616033,0.0
2018-11-15,-4.9390275952693825,-5.277003942181341,-4.6801576872536135,-5.192641261498029,1.0,-5.192378449408673,0.0
2018-11-16,-4.918062827225131,-5.2534031413612565,-4.657853403141361,-5.173298429319372,1.0,-5.1756544502617805,0.0
2018-11-19,-4.918062827225131,-5.2534031413612565,-4.657853403141361,-5.173298429319372,1.0,-5.1756544502617805,0.0
2018-11-20,-4.870707596253902,-5.2232049947970856,-4.606399583766909,-5.1506243496357955,1.0,-5.16363163371488,0.0
2018-11-21,-4.851372345934749,-5.197824961160021,-4.588037286380113,-5.126877265665458,1.0,-5.129466597617815,0.0
2018-11-23,-4.844840961986035,-5.187483837600206,-4.582104990949055,-5.121799844840962,1.0,-5.123610033617791,0.0
2018-11-26,-4.83957633686386,-5.183931800568328,-4.5768535262206145,-5.115732368896926,1.0,-5.117282355980366,0.0
2018-11-27,-4.888048016701462,-5.247129436325679,-4.614561586638831,-5.172494780793319,1.0,-5.174060542797495,0.0
2018-11-28,-4.923764458464774,-5.292849631966352,-4.645636172450053,-5.212145110410095,1.0,-5.213985278654048,0.0
2018-11-29,-4.799228791773779,-5.178663239074551,-4.5182519280205655,-5.102313624678663,1.0,-5.108483290488432,0.0
2018-11-30,-4.797995373939861,-5.1775893086610125,-4.516576715497302,-5.101002313030069,1.0,-5.106913389874069,0.0
2018-12-03,-4.790094944829356,-5.170644085193739,-4.506543494996151,-5.093918398768284,1.0,-5.099563767000257,0.0
2018-12-04,-4.786245830125738,-5.174493199897357,-4.507313317936875,-5.092891968180652,1.0,-5.099820374647165,0.0
2018-12-06,-4.612088184295268,-4.967302452316076,-4.360911567996037,-4.917513004706465,1.0,-4.913301956898687,0.0
2018-12-07,-4.611840475600694,-4.967550161010651,-4.360663859301461,-4.917513004706465,1.0,-4.913549665593262,0.0
2018-12-10,-4.529756097560975,-4.89780487804878,-4.284146341463415,-4.844146341463414,1.0,-4.834390243902439,0.0
2018-12-11,-4.5307467057101025,-4.90117130307467,-4.285017081503172,-4.846510492923377,1.0,-4.838701805758906,0.0
2018-12-12,-4.529397414003415,-4.899975603805807,-4.283971700414735,-4.845328128811905,1.0,-4.837521346669919,0.0
2018-12-13,-4.52204628501827,-4.891595615103532,-4.2777101096224115,-4.839464068209501,1.0,-4.829963459196102,0.0
2018-12-14,-4.520944958597175,-4.8891865562591335,-4.276668290306868,-4.838772528007794,1.0,-4.828787140769606,0.0
2018-12-17,-4.479217013049782,-4.85379410343161,-4.235137747704204,-4.798211696471726,1.0,-4.7996616723054615,0.0
2018-12-18,-4.429665071770335,-4.802392344497608,-4.184928229665072,-4.751435406698565,1.0,-4.7552631578947375,0.0
