Date,DRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4563308259532367,-0.8920961944640011,-0.02527142698336236,-0.700596583540223,-0.6311927965316634,0.0
2018-09-25,1.0,-0.45876861524783286,-0.8899755501222494,-0.029154626954137956,-0.6986737793583758,-0.6279543602281988,0.0
2018-09-26,1.0,-0.45871151780091135,-0.8900085207275961,-0.028896380543103766,-0.6987737561590042,-0.6282369503204535,0.0
2018-09-27,1.0,-0.46002960769800144,-0.8848630643967431,-0.030273871206513692,-0.6982235381199111,-0.6275721687638786,0.0
2018-09-28,1.0,-0.45681759187154664,-0.8909407794712055,-0.031260429413727885,-0.6997812140764638,-0.6294730596655171,0.0
2018-10-01,1.0,-0.4574448358983868,-0.890153903207862,-0.03137400333765993,-0.7000927127758205,-0.6294455776005933,0.0
2018-10-02,1.0,-0.45767943473410194,-0.9063220528077354,-0.027705466716251397,-0.6990702863518038,-0.6280401636296021,0.0
2018-10-03,1.0,-0.45922474841595234,-0.9140514349608648,-0.02903466269101752,-0.6987327618337682,-0.6260901975400671,0.0
2018-10-04,1.0,-0.4601802875661179,-0.9110854503464204,-0.029725098711167398,-0.6996573046263876,-0.624301571928779,0.0
2018-10-05,1.0,-0.44574823616784254,-0.9046787968808022,-0.012439658373561086,-0.712105458596361,-0.6383587077608616,0.0
2018-10-08,1.0,-0.4438058511624458,-0.901405317216063,-0.007415921984500724,-0.717045496681375,-0.6383254848158998,0.0
2018-10-09,1.0,-0.4431590656284761,-0.9017426770485725,-0.005524657026325547,-0.717945865776789,-0.6394512421208751,0.0
2018-10-10,1.0,-0.446333135391924,-0.9008684679334916,-0.008276425178147268,-0.7205685866983372,-0.6353919239904987,0.0
2018-10-11,1.0,-0.3710917846618271,-0.8875871487098397,-0.0,-0.6938474807733773,-0.6412707539711061,0.0
2018-10-12,1.0,-0.37007734336195275,-0.8786631661108352,-0.0,-0.6772865961825019,-0.6218690129851699,0.0
2018-10-15,1.0,-0.3691587126991448,-0.8793598978107369,-0.0,-0.6779618919206613,-0.6217577972536635,0.0
2018-10-16,1.0,-0.3666938659665803,-0.8830666619363536,-0.0,-0.6770497037641466,-0.6208890623336999,0.0
2018-10-17,1.0,-0.3497679611989253,-0.8500645521476674,-0.0,-0.6682717470951534,-0.6211661258243484,0.0
2018-10-18,1.0,-0.34933538010675785,-0.849352824198444,-0.0,-0.6689460279803231,-0.6211841049436556,0.0
