Date,HGEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-45.75956284153005,-81.59836065573771,-14.390710382513662,-67.05737704918033,-63.41530054644809,0.0
2018-09-25,1.0,-43.53766233766233,-77.64675324675324,-13.579220779220778,-63.763636363636365,-60.215584415584416,0.0
2018-09-26,1.0,-43.445595854922274,-77.43264248704662,-13.621761658031089,-63.57253886010363,-59.997409326424865,0.0
2018-09-27,1.0,-43.41494845360824,-76.6082474226804,-13.72422680412371,-63.27835051546391,-59.70360824742268,0.0
2018-09-28,1.0,-42.76844783715013,-75.76844783715012,-13.440203562340965,-62.50636132315521,-58.96692111959287,0.0
2018-10-01,1.0,-42.796437659033074,-75.7150127226463,-13.483460559796438,-62.501272264631034,-58.95674300254452,0.0
2018-10-02,1.0,-42.95918367346939,-75.50765306122449,-13.683673469387756,-62.74744897959184,-59.204081632653065,0.0
2018-10-03,1.0,-42.95663265306123,-75.0484693877551,-13.64030612244898,-62.936224489795926,-59.52040816326531,0.0
2018-10-04,1.0,-43.597938144329895,-75.49742268041237,-13.871134020618555,-63.80670103092783,-59.95876288659794,0.0
2018-10-05,1.0,-41.734335839599005,-73.02005012531329,-12.889724310776943,-62.75689223057645,-59.2280701754386,0.0
2018-10-08,1.0,-40.960591133004925,-71.63300492610837,-12.463054187192117,-61.977832512315274,-58.27339901477832,0.0
2018-10-09,1.0,-40.8034398034398,-71.44963144963145,-12.316953316953319,-61.889434889434895,-58.24324324324325,0.0
2018-10-10,1.0,-39.15801886792453,-68.67216981132076,-11.632075471698114,-59.52594339622642,-55.86320754716981,0.0
2018-10-11,1.0,-33.963123644251624,-64.82212581344902,-7.123644251626898,-55.6290672451193,-54.37960954446855,0.0
2018-10-12,1.0,-32.03180914512923,-59.55467196819086,-6.719681908548708,-50.417495029821076,-49.083499005964214,0.0
2018-10-15,1.0,-30.878192534381142,-60.33791748526523,-5.56581532416503,-49.858546168958746,-48.82318271119843,0.0
2018-10-16,1.0,-30.681017612524464,-60.38356164383562,-5.35225048923679,-49.65557729941292,-48.62426614481409,0.0
2018-10-17,1.0,-27.76798561151079,-54.485611510791365,-3.9784172661870505,-46.451438848920866,-46.17446043165468,0.0
2018-10-18,1.0,-27.698384201077197,-54.321364452423694,-4.026929982046678,-46.39856373429084,-46.08797127468581,0.0
2018-10-19,1.0,-26.454861111111107,-52.27777777777777,-3.5260416666666665,-45.37326388888889,-44.98090277777777,0.0
2018-10-22,1.0,-26.4006908462867,-51.7685664939551,-3.29706390328152,-45.32642487046632,-44.920552677029356,0.0
2018-10-23,1.0,-26.408620689655173,-51.65172413793104,-3.4275862068965517,-45.15,-44.775862068965516,0.0
2018-10-24,1.0,-26.069609507640067,-50.72835314091681,-3.2020373514431233,-44.54838709677419,-44.23259762308998,0.0
2018-10-25,1.0,-22.582066869300913,-44.806990881458965,-2.3617021276595747,-41.58206686930092,-39.642857142857146,0.0
2018-10-26,1.0,-19.094364351245083,-38.76802096985583,-1.104849279161206,-36.66579292267366,-34.42857142857143,0.0
2018-10-29,1.0,-17.06002400960384,-36.01200480192077,-0.5702280912364945,-33.49699879951981,-31.907563025210084,0.0
2018-10-30,1.0,-16.791866028708135,-35.92464114832536,-0.4198564593301436,-33.42942583732058,-32.051435406698566,0.0
2018-10-31,1.0,-16.830969267139476,-35.00236406619385,-0.4562647754137116,-33.19976359338062,-31.71394799054373,0.0
2018-11-01,1.0,-18.026041666666668,-39.296875,-0.0,-36.756510416666664,-35.13020833333333,0.0
2018-11-02,1.0,-14.7481243301179,-31.800643086816724,-0.0,-30.668810289389068,-28.963558413719188,0.0
2018-11-05,1.0,-14.73383620689655,-32.244612068965516,-0.0,-30.84913793103448,-28.93103448275862,0.0
2018-11-06,1.0,-15.081140350877194,-32.90899122807018,-0.0,-31.331140350877195,-29.32675438596491,0.0
