Date,BBU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4120666619787638,-0.8276492511075171,-0.03055340693340834,-0.6484072850010547,-0.5972153856972083,0.0
2018-09-25,1.0,-0.41244288224956066,-0.8269244288224956,-0.03142355008787347,-0.6478031634446397,-0.5963796133567663,0.0
2018-09-26,1.0,-0.41380898398753013,-0.8331089698172028,-0.023558169193708376,-0.6576094657786595,-0.61446081904492,0.0
2018-09-27,1.0,-0.4192805245436824,-0.82314371788056,-0.02686514265461634,-0.6593655856813752,-0.6155590997696261,0.0
2018-09-28,1.0,-0.4427826464836677,-0.8391757804012457,-0.02484247121025567,-0.6807054392699355,-0.633845151010357,0.0
2018-10-01,1.0,-0.44234260402294673,-0.8446009730593276,-0.025669885992302664,-0.6819040011618619,-0.6363009222278702,0.0
2018-10-02,1.0,-0.44240685598082646,-0.8454499237417387,-0.026000435761493208,-0.6815309753794756,-0.635993899339095,0.0
2018-10-03,1.0,-0.44211634831868685,-0.8352095286513181,-0.024511583993027816,-0.6860338441426392,-0.6435107850969569,0.0
2018-10-04,1.0,-0.4565384474618454,-0.829557515646159,-0.025399846283351027,-0.7072063829008529,-0.6412180214471325,0.0
2018-10-05,1.0,-0.44769645720950574,-0.824391310686689,-0.01403265782183992,-0.7122029450357195,-0.6465228167371337,0.0
2018-10-08,1.0,-0.4489684133649809,-0.8273872557969693,-0.014387438378674457,-0.7128354938835129,-0.6480555048384152,0.0
2018-10-09,1.0,-0.44642399853667464,-0.8304737516005122,-0.005158222059630511,-0.7196268520212182,-0.6566672763855863,0.0
2018-10-10,1.0,-0.44618481244281794,-0.8315096065873742,-0.0040988106129917655,-0.72,-0.6578591033851784,0.0
2018-10-11,1.0,-0.3955516014234875,-0.8129893238434163,-0.0,-0.6961565836298931,-0.6540213523131672,0.0
2018-10-12,1.0,-0.40905251302266654,-0.8077572856539491,-0.0,-0.6748908911727439,-0.6279388990567367,0.0
2018-10-15,1.0,-0.39126009126009126,-0.8216918216918218,-0.0,-0.6702702702702703,-0.6267813267813268,0.0
2018-10-16,1.0,-0.39126009126009126,-0.8217620217620217,-0.0,-0.6702351702351703,-0.6267462267462267,0.0
2018-10-17,1.0,-0.3666735765616363,-0.7782614704256495,-0.0,-0.6685323383084578,-0.6414455500276396,0.0
2018-10-18,1.0,-0.36782563570316557,-0.7817678602317939,-0.0,-0.6677045493859195,-0.6423110188548694,0.0
2018-10-19,1.0,-0.3622618061309031,-0.7807235570284452,-0.0,-0.667771333885667,-0.6413628831814416,0.0
