Date,IWF,IWM,MTUM,NMIH,SPY,VLUE,VXX
2018-09-24,-0.9577980280848521,-2.313190917239319,-0.22094412907080968,1.0,-1.5041081565581118,-1.4731849417388705,0.0
2018-09-25,-0.9603642606553705,-2.3091736956034934,-0.2259461073374636,1.0,-1.500709113980742,-1.468089870866612,0.0
2018-09-26,-0.9682325616243351,-2.3204465422941483,-0.23465947403910992,1.0,-1.5055068554731401,-1.463474938188357,0.0
2018-09-27,-0.981367392937641,-2.3067618332081143,-0.24207362885048836,1.0,-1.5132982719759578,-1.4695717505634862,0.0
2018-09-28,-0.9845721234230126,-2.3432892536859704,-0.246922024623803,1.0,-1.5347317221462229,-1.4905000759993918,0.0
2018-10-01,-0.9863919720237191,-2.341873194465562,-0.24714915615022046,1.0,-1.5359586437585526,-1.4908772996807056,0.0
2018-10-02,-0.9891271289537714,-2.3228406326034063,-0.25471411192214116,1.0,-1.5406782238442822,-1.4960462287104623,0.0
2018-10-03,-0.9874705748348394,-2.3120965904776365,-0.25377781152707113,1.0,-1.5412711671349382,-1.4989748652137596,0.0
2018-10-04,-0.9892310025784923,-2.3032762020324586,-0.2551949036857273,1.0,-1.5424692856059457,-1.4937054451691187,0.0
2018-10-05,-0.96,-2.2903954802259885,-0.22372881355932203,1.0,-1.551864406779661,-1.5069679849340867,0.0
2018-10-08,-0.9556790865384617,-2.2845552884615388,-0.21957632211538464,1.0,-1.549579326923077,-1.502704326923077,0.0
2018-10-09,-0.9636665159053219,-2.2927785315845015,-0.22885572139303484,1.0,-1.5514849992461932,-1.5012814714307252,0.0
2018-10-10,-0.9648911323739924,-2.2905145784675662,-0.2303925261809689,1.0,-1.5517968808860092,-1.4964966473291645,0.0
2018-10-11,-0.8349165227403569,-2.277993667242372,-0.06411917098445595,1.0,-1.5055411629245827,-1.5137449625791595,0.0
2018-10-12,-0.8357525366403608,-2.2554960541149947,-0.0463641488162345,1.0,-1.4533540022547915,-1.455186020293123,0.0
2018-10-15,-0.8072551220881279,-2.294695481335953,-0.006525399943867527,1.0,-1.4500420993544765,-1.458040976705024,0.0
2018-10-16,-0.8069880025257841,-2.295165929979653,-0.006103978109871606,1.0,-1.4498702027643304,-1.4579386795762297,0.0
2018-10-17,-0.7515532190892333,-2.1964907489588312,-0.0,1.0,-1.4221342254386566,-1.4571584624837852,0.0
