Date,alpha
2018-09-24,0.0
2018-09-25,0.019211929016760956
2018-09-26,0.008668854289468082
2018-09-27,-0.05188691628098308
2018-09-28,-0.055010057239649524
2018-10-01,0.003671343886851387
2018-10-02,0.004141382507689034
2018-10-03,-0.014859541481600706
2018-10-04,-0.002306110207699663
2018-10-05,0.05229338612107887
2018-10-08,-0.003336892268685945
2018-10-09,0.01717048206736178
2018-10-10,0.2656566666889207
2018-10-11,0.1945713911484169
2018-10-12,-0.08407070133890768
2018-10-15,-0.017875582985500238
2018-10-16,-0.10516727527202296
2018-10-17,0.042509930547972745
2018-10-18,0.14296663594693235
2018-10-19,0.03814738823413274
2018-10-22,-0.1327157662054304
2018-10-23,0.04798909145401366
2018-10-24,0.23243012306190663
2018-10-25,-0.12765315380337847
2018-10-26,0.09120795551172052
2018-10-29,0.013865032613410575
2018-10-30,-0.0925907682827673
2018-10-31,-0.004731407630604815
2018-11-01,-0.09151115551366043
2018-11-02,0.04125168916464896
2018-11-05,0.003948829416600413
2018-11-06,-0.04922807785970869
2018-11-07,-0.1439646591946215
2018-11-08,0.06856560567639293
2018-11-09,0.11606164794151833
2018-11-12,0.10226830366982403
2018-11-13,0.024197333347394004
2018-11-14,-0.007699440679067533
2018-11-15,-0.052856485784491036
2018-11-16,-0.025920312884649622
2018-11-19,0.05585942651287373
2018-11-20,0.15716961030489565
2018-11-21,-0.04152825015248887
2018-11-23,0.038721266520155964
2018-11-26,-0.08951155073423424
2018-11-27,-0.10396271704901819
2018-11-28,-0.10820151464835581
2018-11-29,0.06647781407906236
2018-11-30,-0.07386676878443844
2018-12-03,-0.1598810551336795
2018-12-04,0.2516435507079021
2018-12-06,0.029134830860108506
2018-12-07,0.10491401485327445
2018-12-10,0.026557737899336638
2018-12-11,0.010253224623246853
2018-12-12,-0.025989044365578265
2018-12-13,-0.037191426041141534
2018-12-14,0.09071161462293242
2018-12-17,0.07660617236185788
2018-12-18,0.012447971841025137
2018-12-19,0.13763159871396324
2018-12-20,-0.29994135940407773
2018-12-21,0.18457799337523725
2018-12-24,0.20348979245701532
2018-12-26,-0.30401723855196094
2018-12-27,-0.06079357918165315
2018-12-28,-0.017555934317772325
2018-12-31,-0.0451769785681233
2019-01-02,-0.014913833992359526
2019-01-03,0.12077231861260436
2019-01-04,-0.2515983896498779
2019-01-07,-0.06571903236457198
2019-01-08,-0.0958492451918386
2019-01-09,-0.03337856043234596
2019-01-10,-0.002120398317260284
2019-01-11,-0.050342618481146226
2019-01-14,0.04437800929910011
2019-01-15,-0.05502107405748422
2019-01-16,-0.02735230812259053
2019-01-17,-0.055139985683073406
2019-01-18,-0.08776048933891398
2019-01-22,0.08894647099741843
2019-01-23,0.02534377274139661
2019-01-24,-0.005109795304717123
2019-01-25,-0.05726890089695491
2019-01-28,-0.004525799262893487
2019-01-29,0.04574448660252571
2019-01-30,-0.08284588202689504
2019-01-31,-0.05430524177890217
2019-02-01,-0.07674940682601536
2019-02-04,-0.03883919012477964
2019-02-05,-0.02771136828605273
2019-02-06,0.020545883750617965
2019-02-07,0.09693162766232812
2019-02-08,0.020312155146688902
2019-02-11,-0.03263256576108689
2019-02-12,-0.09283272578449081
2019-02-13,-0.04461695744638923
2019-02-14,0.001093969735804755
2019-02-15,-0.0970925367539976
2019-02-19,-0.03905018088300492
2019-02-20,-0.03786730128883378
2019-02-21,0.02107755492020525
2019-02-22,-0.036621055206454055
2019-02-25,-0.01708592164606877
2019-02-26,-0.023725993079181825
2019-02-27,0.000719517169657017
2019-02-28,-0.010803470123535653
2019-03-01,0.010268817013189404
2019-03-04,0.14634083441872775
2019-03-05,-0.011765020518214922
2019-03-06,-0.07678629961232164
2019-03-07,0.05086143536858741
2019-03-08,0.033709327275542336
2019-03-11,-0.15245829524284688
2019-03-12,-0.033678843860997724
2019-03-13,-0.05581874159745264
2019-03-14,-0.01573773925332382
2019-03-15,-0.05615015634312588
2019-03-18,-0.015903671990071606
2019-03-19,0.008174050939542855
2019-03-20,-0.004123491081648025
2019-03-21,-0.10926077322433672
2019-03-22,0.15257674975091567
2019-03-25,0.034505586968096205
2019-03-26,-0.0850816920417331
2019-03-27,0.07443223903449392
2019-03-28,0.048672051545834746
2019-03-29,-0.04082473630672209
2019-04-01,-0.13537895118951218
2019-04-02,0.06856045276858092
2019-04-03,-0.022433269995573536
2019-04-04,-0.022149019599868404
2019-04-05,-0.02219690523737663
2019-04-08,-0.00935130918081669
2019-04-09,0.05016165071949037
2019-04-10,-0.05562759205249018
2019-04-11,0.021315190786723896
2019-04-12,-0.01122343574326858
2019-04-15,-0.015296689553244033
2019-04-16,0.0038924136450082455
2019-04-17,0.024227999142450548
2019-04-18,-0.0015070927853490087
2019-04-22,0.04763315755631889
2019-04-23,-0.029810317172148347
2019-04-24,-0.017195215544617094
2019-04-25,-0.004279145116323324
2019-04-26,-0.02322107866122981
2019-04-29,-0.020794504242941023
2019-04-30,0.15213458184521278
2019-05-01,0.01746742578034252
2019-05-02,0.02234842616940249
2019-05-03,-0.06572413405303228
2019-05-06,0.06618577342481761
2019-05-07,0.057281723381724714
2019-05-08,0.04149348652685745
2019-05-09,0.020053783373344312
2019-05-10,0.17487659777247205
2019-05-13,0.14181038333736024
2019-05-14,-0.05084719159826565
2019-05-15,-0.048928593371445124
2019-05-16,-0.08179531826895166
2019-05-17,0.037825667069142505
2019-05-20,0.05372193974259623
2019-05-21,-0.05488470118346793
2019-05-22,-0.01608854529182877
2019-05-23,0.1288016058050863
2019-05-24,-0.008246929788023313
