Date,IWF,IWM,MTUM,SPY,UVV,VLUE,VXX
2018-09-24,-1.3037745604963806,-2.4021889003791794,-0.26887280248190276,-1.8590141330575662,1.0,-1.7839538090313685,0.0
2018-09-25,-1.3095527045769764,-2.417389042995839,-0.27019764216366154,-1.87248613037448,1.0,-1.7988904299583912,0.0
2018-09-26,-1.3144818000173746,-2.425245417426809,-0.2751281383024932,-1.8758578750760142,1.0,-1.7966293110937364,0.0
2018-09-27,-1.316254876462939,-2.40962288686606,-0.27802340702210665,-1.8724750758560902,1.0,-1.7929778933680105,0.0
2018-09-28,-1.3135130449856982,-2.4109387189043945,-0.27901534194331284,-1.871717084163994,1.0,-1.792580393516512,0.0
2018-10-01,-1.3148677936714348,-2.409709579540529,-0.2795838751625488,-1.8724750758560902,1.0,-1.7927178153446035,0.0
2018-10-02,-1.3154246100519928,-2.4000866551126516,-0.28353552859618714,-1.8729636048526863,1.0,-1.7935008665511263,0.0
2018-10-03,-1.31439459553092,-2.3840291009873553,-0.2817425948380392,-1.8780530053698252,1.0,-1.8027888446215141,0.0
2018-10-04,-1.3162991785559879,-2.3726761781236485,-0.28249027237354085,-1.8797233030696066,1.0,-1.7955901426718548,0.0
2018-10-05,-1.2838892223270173,-2.351539055131613,-0.24470547886478608,-1.8869073137271712,1.0,-1.8070822258424077,0.0
2018-10-08,-1.2787474332648872,-2.343771389459275,-0.23417180013689254,-1.8934804928131417,1.0,-1.805527036276523,0.0
2018-10-09,-1.2863569512933644,-2.3740808028376157,-0.21818496409724025,-1.9283675058396055,1.0,-1.8442771866078382,0.0
2018-10-10,-1.2873940861144735,-2.3713470517032684,-0.2193498184333391,-1.9284108594155283,1.0,-1.8395296558879475,0.0
2018-10-11,-1.1361243625596316,-2.3503865767395955,-0.0,-1.8799144596150685,1.0,-1.858611613752262,0.0
2018-10-12,-1.132247399403274,-2.320216111603903,-0.0,-1.820417708249335,1.0,-1.7910652366744617,0.0
2018-10-15,-1.073523470954189,-2.3908863214026015,-0.0,-1.8153833723842612,1.0,-1.7996283428940776,0.0
2018-10-16,-1.0661217222402073,-2.4110553577209455,-0.0,-1.815797992877954,1.0,-1.8002589834898024,0.0
2018-10-17,-0.9919120533961523,-2.2910090302316455,-0.0,-1.777385159010601,1.0,-1.7919905771495879,0.0
2018-10-18,-0.9945596467712686,-2.295986753922574,-0.0,-1.792083891823701,1.0,-1.801860758495624,0.0
2018-10-19,-0.9477210751850409,-2.2620958317101674,-0.0,-1.787923646279704,1.0,-1.7935333073626802,0.0
2018-10-22,-0.9489278752436647,-2.247719298245614,-0.0,-1.7978167641325535,1.0,-1.8028070175438595,0.0
2018-10-23,-0.9498869924401839,-2.2465123528953317,-0.0,-1.795962902345881,1.0,-1.8012625672200138,0.0
2018-10-24,-0.9448769853628153,-2.2388663967611335,-0.0,-1.7970258486452817,1.0,-1.805045157271878,0.0
2018-10-25,-0.8392629765560633,-2.1203655156917085,-0.0,-1.8060070406711108,1.0,-1.7244401168451802,0.0
2018-10-26,-0.7891748396135978,-2.0805250350269153,-0.0,-1.8085686896246589,1.0,-1.6958188924120638,0.0
2018-10-29,-0.7394160583941606,-2.086934306569343,-0.0,-1.7789781021897808,1.0,-1.694014598540146,0.0
2018-10-30,-0.7214561902677464,-2.0868899102648286,-0.0,-1.7792368862624937,1.0,-1.707959436784125,0.0
2018-10-31,-0.7200287666307084,-2.0283351312477524,-0.0,-1.7603020496224377,1.0,-1.6829917295936714,0.0
2018-11-01,-0.6810705525898139,-2.072861059010244,-0.0,-1.7671331698167654,1.0,-1.6929014572211802,0.0
2018-11-02,-0.6985511425070281,-2.013407337994666,-0.0,-1.8023498882721833,1.0,-1.6940099473798025,0.0
2018-11-05,-0.691753171856978,-2.033881199538639,-0.0,-1.8035611303344867,1.0,-1.6794982698961936,0.0
2018-11-06,-0.6961532920328484,-2.0363060077798587,-0.0,-1.798516063967728,1.0,-1.6725976084137733,0.0
2018-11-07,-0.6926394479585969,-2.03313686026452,-0.0,-1.793487636572743,1.0,-1.6687751581368604,0.0
2018-11-08,-0.6226041445646793,-2.023339698705708,-0.0,-1.760449819647783,1.0,-1.6661715821486671,0.0
2018-11-09,-0.6233646842514674,-2.0225585177851637,-0.0,-1.7599179690262357,1.0,-1.665794498267449,0.0
2018-11-12,-0.6174779071398512,-1.9810632627296954,-0.0,-1.7627296956094822,1.0,-1.65226539486604,0.0
2018-11-13,-0.5535590877677955,-1.9642709053213545,-0.0,-1.7571527297857636,1.0,-1.6358673116793367,0.0
2018-11-14,-0.5542026980283639,-1.9667934970598406,-0.0,-1.7589761328260116,1.0,-1.6380491179522654,0.0
2018-11-15,-0.551045765168772,-1.9672119831573136,-0.0,-1.762269621039553,1.0,-1.6222130185683716,0.0
2018-11-16,-0.5416666666666666,-1.9455445544554453,-0.0,-1.7579070407040702,1.0,-1.630569306930693,0.0
2018-11-19,-0.5439416861504608,-1.9453307660569383,-0.0,-1.756979782698391,1.0,-1.6303809654793013,0.0
