Date,IWF,IWM,LORL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.25375217156039076,-0.7414917551903852,1.0,-0.0,-0.45276678153390487,-0.3999373451428246,0.0
2018-09-25,-0.2538873383835507,-0.74138520248334,1.0,-0.0,-0.452725408668907,-0.3998689981204078,0.0
2018-09-26,-0.2634739140427488,-0.7548552056998391,1.0,-0.0,-0.45917605148241786,-0.39539760974488625,0.0
2018-09-27,-0.26291268836995285,-0.7574485217991488,1.0,-0.0,-0.459593926147475,-0.3959220062118946,0.0
2018-09-28,-0.2636923253940858,-0.7569899896444597,1.0,-0.0,-0.4597572201127603,-0.3961281785755379,0.0
2018-10-01,-0.26407064273306313,-0.76670526925304,1.0,-0.0,-0.46325998841922417,-0.4011580775911986,0.0
2018-10-02,-0.2782186045149767,-0.7404327584692413,1.0,-0.0,-0.4860480777676925,-0.42330102772816447,0.0
2018-10-03,-0.27754851172183687,-0.7334562589633272,1.0,-0.0,-0.4882781631398719,-0.42751778031433846,0.0
2018-10-04,-0.276813463906644,-0.737465548583827,1.0,-0.0,-0.4872749662815927,-0.430452119861608,0.0
2018-10-05,-0.25720809062435973,-0.7299124784123174,1.0,-0.0,-0.497058220882241,-0.44293533940227736,0.0
2018-10-08,-0.2544041602150224,-0.7266353092407024,1.0,-0.0,-0.49881679277805374,-0.441643051213883,0.0
2018-10-09,-0.2561592191016162,-0.7274161966274075,1.0,-0.0,-0.49846567495689276,-0.4405120261858141,0.0
2018-10-10,-0.2551193540837819,-0.7290837818862627,1.0,-0.0,-0.49859583430844845,-0.44251696700210624,0.0
2018-10-11,-0.21259371169578972,-0.7189646817365525,1.0,-0.0,-0.47957583877312504,-0.4394116473304638,0.0
2018-10-12,-0.2176286831959024,-0.7140404694227901,1.0,-0.0,-0.46292179101117276,-0.41969436861509024,0.0
2018-10-15,-0.20569904548006737,-0.7234138124649073,1.0,-0.0,-0.45974171813587866,-0.41855699045480066,0.0
2018-10-16,-0.2087115357594492,-0.7201067865673738,1.0,-0.0,-0.4612898693269636,-0.4200927357032458,0.0
2018-10-17,-0.1927664166920331,-0.6907878351827765,1.0,-0.0,-0.45742590696516033,-0.426266707252954,0.0
2018-10-18,-0.19185402591649134,-0.6891405471259276,1.0,-0.0,-0.46065455753682577,-0.42717908960017725,0.0
2018-10-19,-0.18144074786912287,-0.6827605169095409,1.0,-0.0,-0.46037943359912015,-0.42493813582623036,0.0
2018-10-22,-0.18192817466864653,-0.6825056371335864,1.0,-0.0,-0.46034757740746857,-0.4250398724082935,0.0
2018-10-23,-0.18130810275592718,-0.6826558116508059,1.0,-0.0,-0.46102645910116063,-0.4254359425710985,0.0
