Date,IWF,IWM,MTUM,RTRX,SPY,VLUE,VXX
2018-09-24,-0.7217391304347825,-1.4285409442518004,-0.3600426780474793,1.0,-0.9605228060816217,-0.8639103761002934,0.0
2018-09-25,-0.723327112769928,-1.4261263663023194,-0.3631031724873367,1.0,-0.9585177286057053,-0.8608904292188749,0.0
2018-09-26,-0.730876365973859,-1.437808013713306,-0.3718127276623098,1.0,-0.9625026783801157,-0.8538140132847654,0.0
2018-09-27,-0.7336793664383563,-1.4282962328767124,-0.3742508561643836,1.0,-0.9619006849315069,-0.8529537671232876,0.0
2018-09-28,-0.7297036600396549,-1.435024918278763,-0.3753282246396228,1.0,-0.9635603665398424,-0.8550988692996088,0.0
2018-10-01,-0.7292930377368619,-1.4400665628858231,-0.3763487036341189,1.0,-0.9647324064630414,-0.8575876321863761,0.0
2018-10-02,-0.7306302906130371,-1.4708039035962688,-0.3691702162074729,1.0,-0.9644686472205748,-0.8565805790693913,0.0
2018-10-03,-0.7320483749055177,-1.4775402224381817,-0.37042436022027864,1.0,-0.9641507396609437,-0.8548212935968038,0.0
2018-10-04,-0.7351497167520906,-1.4702454815214459,-0.37135149716752097,1.0,-0.9678446182897222,-0.8506069598057729,0.0
2018-10-05,-0.7207091055600322,-1.4649476228847702,-0.35627182379801237,1.0,-0.9734085414987912,-0.8566747246843943,0.0
2018-10-08,-0.7183423694240162,-1.4612700628053035,-0.3486499543722153,1.0,-0.9821246443716786,-0.8575876321863761,0.0
2018-10-09,-0.720324417230637,-1.4625093995058542,-0.35207863358040603,1.0,-0.9810398539048233,-0.8551401869158878,0.0
2018-10-10,-0.7203844914617119,-1.4624637525507467,-0.35194930727096985,1.0,-0.9810439265385028,-0.8541510041885942,0.0
2018-10-11,-0.6428235785516628,-1.4759045580326842,-0.24293844306374981,1.0,-0.9702396491411267,-0.889207956978019,0.0
2018-10-12,-0.6560519400216417,-1.469366723347246,-0.23769773792961302,1.0,-0.9387849744937393,-0.8508785489771732,0.0
2018-10-15,-0.6500437445319335,-1.4791827492151717,-0.22793474345118625,1.0,-0.9385003345170089,-0.8507539498739128,0.0
2018-10-16,-0.6603841971728887,-1.4679231605654222,-0.24310050225236887,1.0,-0.9468751618081086,-0.8596282296898462,0.0
2018-10-17,-0.6394101195016526,-1.4201372997711672,-0.2294940249173659,1.0,-0.9354691075514875,-0.8606661581489957,0.0
2018-10-18,-0.6394101195016526,-1.4204424103737607,-0.22918891431477245,1.0,-0.9355199593185863,-0.8606661581489957,0.0
2018-10-19,-0.6237389023405973,-1.4087469733656175,-0.21423527037933818,1.0,-0.938912429378531,-0.8588075060532688,0.0
