Date,IWF,IWM,MTUM,NTNX,SPY,VLUE,VXX
2018-09-24,-0.8795937312291815,-1.5185933489870584,-0.5669196745481352,1.0,-0.8319226778791025,-0.6635723256702889,0.0
2018-09-25,-0.8918781725888324,-1.58663282571912,-0.5430908065425831,1.0,-0.8909193457416806,-0.7276367738296673,0.0
2018-09-26,-0.8940685140244936,-1.5894237823804955,-0.5470963372650827,1.0,-0.8906823184152605,-0.7223883966363791,0.0
2018-09-27,-0.8941368997234919,-1.5886800970599853,-0.5473167428474691,1.0,-0.8905817956097285,-0.7223068675582642,0.0
2018-09-28,-0.8934153360040625,-1.5884443942899058,-0.5477063702533431,1.0,-0.8903684477797212,-0.7224510523049145,0.0
2018-10-01,-0.8938103029961068,-1.5874851887377983,-0.5478756418213621,1.0,-0.8906505670597528,-0.7225074761609208,0.0
2018-10-02,-0.8981978419298344,-1.5605333032032087,-0.5578780859838427,1.0,-0.9000621433817297,-0.7326704705948817,0.0
2018-10-03,-0.900770276393294,-1.5737426370638876,-0.55969642048029,1.0,-0.8998640688717716,-0.7297236067059357,0.0
2018-10-04,-0.8995063269590875,-1.5810020995290244,-0.5597230891448676,1.0,-0.8987686545991035,-0.7354025988764682,0.0
2018-10-05,-0.8839391712363616,-1.57549889761999,-0.5436146757872123,1.0,-0.906382497597377,-0.7437955791734977,0.0
2018-10-08,-0.881980556183586,-1.5724056070540358,-0.5352136558896676,1.0,-0.9170811666289849,-0.7455912276735248,0.0
2018-10-09,-0.898910998346542,-1.5869775927932037,-0.5567592223045784,1.0,-0.9188665260277097,-0.740122013797822,0.0
2018-10-10,-0.9012599053645745,-1.5849723504931301,-0.5595462060315831,1.0,-0.9200729718944187,-0.7351348269767972,0.0
2018-10-11,-0.8284174859745598,-1.6010664889185136,-0.4553130033883242,1.0,-0.904960284397045,-0.7649280675442982,0.0
2018-10-12,-0.849096004835962,-1.5990547892509757,-0.45309666428532175,1.0,-0.8713524207286916,-0.7228664065505302,0.0
2018-10-15,-0.8670574572803187,-1.5906099651606482,-0.4672344190676326,1.0,-0.8797212851849804,-0.7254327268705414,0.0
2018-10-16,-0.870860560416436,-1.582899545907631,-0.4746372798759553,1.0,-0.8816590984605162,-0.727710709934655,0.0
2018-10-17,-0.8478379261518354,-1.530279925933994,-0.4537632066223723,1.0,-0.8759939004465744,-0.7381548850887703,0.0
2018-10-18,-0.8467737544241765,-1.5285053090117071,-0.4545603049278519,1.0,-0.8773209910155186,-0.7380343043833378,0.0
2018-10-19,-0.8331801719011839,-1.5180280015135954,-0.4411049245905185,1.0,-0.8794529434023461,-0.73398562084437,0.0
2018-10-22,-0.8316842448624552,-1.5409372621507016,-0.4574317712297489,1.0,-0.8747961291725563,-0.7317059910840491,0.0
2018-10-23,-0.8382425001361138,-1.5422224642021016,-0.4690477486796973,1.0,-0.8669897098056296,-0.7280993085424946,0.0
2018-10-24,-0.8403699673558215,-1.5392274211099022,-0.46011969532100117,1.0,-0.8695321001088139,-0.7314472252448314,0.0
2018-10-25,-0.7924289555543839,-1.4725048768914428,-0.450782938788422,1.0,-0.8775241208414615,-0.6790741814730848,0.0
2018-10-26,-0.7729695829413609,-1.4595484477892757,-0.41894010661649417,1.0,-0.9007003240305215,-0.6741402738580536,0.0
2018-10-29,-0.7707974306752312,-1.4659773356311037,-0.41349417724163146,1.0,-0.9000469998433339,-0.6718366494333907,0.0
2018-10-30,-0.7397303560143249,-1.487992416262903,-0.3826100695175901,1.0,-0.9256899094164737,-0.7305140088476934,0.0
2018-10-31,-0.7399401920151094,-1.476470279628561,-0.3839777556266723,1.0,-0.9210954304601018,-0.7247783432138922,0.0
2018-11-01,-0.7470563498738436,-1.4714571068124476,-0.38982338099243063,1.0,-0.922571488645921,-0.7256623212783853,0.0
2018-11-02,-0.7525228758169934,-1.4442875816993466,-0.3858823529411765,1.0,-0.9272679738562091,-0.7187450980392157,0.0
2018-11-05,-0.749712553569562,-1.4510818438381938,-0.3858576356224522,1.0,-0.9271976586181666,-0.7123445176126267,0.0
2018-11-06,-0.7638932496075354,-1.4633176347462062,-0.37854526425955,1.0,-0.9234955520669806,-0.7035583464154892,0.0
