Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,WYND,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.9117459695202627,-0.0,-0.4321066300779144,-0.0,-0.29695692654481304,-0.0,1.0,-0.8606360562552066,-0.14034399960797764,-0.0,-0.0,-0.0,-0.0,-0.4938501494585191,-0.0,-0.7646395844563141,-0.0,-0.0
2019-01-03,-0.0,-0.9264619883040937,-0.0,-0.40190058479532165,-0.0,-0.24410331384015596,-0.0,1.0,-0.8737329434697856,-0.1649122807017544,-0.0,-0.0,-0.0,-0.0,-0.5107699805068227,-0.0,-0.7514132553606238,-0.0,-0.0
2019-01-04,-0.0,-0.9394600358683535,-0.0,-0.39968978721341675,-0.0,-0.21647036013765691,-0.0,1.0,-0.8518249236585721,-0.1679996122340168,-0.0,-0.0,-0.0,-0.0,-0.5166497019049004,-0.0,-0.7549803693470991,-0.0,-0.0
2019-01-07,-0.0,-0.8753205576537512,-0.0,-0.5041264512519233,-0.0,-0.312071618408169,-0.0,1.0,-0.7513871403925957,-0.09036228843194853,-0.0,-0.0,-0.0,-0.0,-0.4676644752179792,-0.0037301254254674316,-0.6579941250524549,-0.0,-0.0
2019-01-08,-0.0,-0.8712114147160309,-0.0,-0.5045229879697846,-0.0,-0.3117597687214399,-0.0,1.0,-0.7542665298890235,-0.09008672946003916,-0.0,-0.0,-0.0,-0.0,-0.46964468898629114,-0.0,-0.6613820759115918,-0.0,-0.0
2019-01-09,-0.0,-0.85301316093281,-0.0,-0.4877857307781113,-0.0,-0.3440314015238975,-0.0,1.0,-0.7630108519972293,-0.07046871392288155,-0.0,-0.0,-0.0,-0.0,-0.47531747864234586,-0.0,-0.6242438235973217,-0.0,-0.0
2019-01-10,-0.0,-0.8573340718175945,-0.0,-0.4899381519431367,-0.0,-0.34464137358072555,-0.0,1.0,-0.7617003600110773,-0.06835594941382812,-0.0,-0.0,-0.0,-0.0,-0.469860611095726,-0.0,-0.6237422689928922,-0.0,-0.0
2019-01-11,-0.0,-0.8508421680664555,-0.0,-0.49267979255587685,-0.0,-0.3369590160172564,-0.0,1.0,-0.7432190554867135,-0.08251870209738858,-0.0,-0.0,-0.0,-0.0,-0.4902932672449401,-0.0,-0.5929597503327367,-0.0,-0.0
2019-01-14,-0.0,-0.8584030138748507,-0.0,-0.4888357989524947,-0.0,-0.3450335385463567,-0.003583570706606634,1.0,-0.7372507580630341,-0.07323348341449967,-0.0,-0.0,-0.0,-0.0,-0.5033538546356704,-0.0,-0.584581457318754,-0.0,-0.0
2019-01-15,-0.0,-0.8130917698470503,-0.0,-0.5498452294246177,-0.0,-0.3558812818645302,-0.004597596504005827,1.0,-0.7197286962855063,-0.07838674435542607,-0.0,-0.0,-0.0,-0.0,-0.5366442097596504,-0.0,-0.49390021849963583,-0.0,-0.0
2019-01-16,-0.0,-0.8069658951945288,-0.0,-0.5510666243942208,-0.0,-0.34349381765478515,-0.014719869559309751,1.0,-0.740341500973776,-0.06060057067801984,-0.0,-0.0,-0.0,-0.0,-0.5298700122288147,-0.0,-0.4821323429503148,-0.0,-0.0
2019-01-17,-0.0,-0.8095949986409351,-0.0,-0.5525052097490261,-0.0,-0.34239376642203495,-0.015765153574340853,1.0,-0.740599800670472,-0.058530397753012595,-0.0,-0.0,-0.0,-0.0,-0.5267282776116698,-0.0,-0.4840989399293286,-0.0,-0.0
2019-01-18,-0.0,-0.8037894546441168,-0.0,-0.5604142172379488,-0.0,-0.33937776973862716,-0.021705706792077416,1.0,-0.7023604956136384,-0.07687437822194086,-0.0,-0.0,-0.0,-0.0,-0.5344125893099394,-0.0,-0.48313285701365655,-0.0,-0.0
2019-01-22,-0.0,-0.826010702882583,-0.0,-0.5274092728335656,-0.0,-0.3247740252731933,-0.0008094617079642038,1.0,-0.6974861716958222,-0.09245851508746682,-0.0,-0.0,-0.0,-0.0,-0.5229122633448756,-0.0,-0.50514907586455,-0.0,-0.0
2019-01-23,-0.0,-0.829242023066912,-0.0,-0.5173450612574608,-0.0,-0.33743212314320337,-0.0,1.0,-0.6990530897993986,-0.07970201498900507,-0.0,-0.0,-0.0,-0.0,-0.5077862047300633,-0.00628281649688103,-0.5109276129785039,-0.0,-0.0
