Date,HL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0820924612146254,-2.304825758166368,-0.0011694082794106182,-1.7653387385982693,-1.6426288298121152,0.0
2018-09-25,1.0,-1.0839629254614844,-2.300179141677701,-0.005919464132720617,-1.761352130228211,-1.6372770464989486,0.0
2018-09-26,1.0,-1.0842679127725858,-2.300623052959502,-0.006697819314641745,-1.7609813084112151,-1.6355919003115267,0.0
2018-09-27,1.0,-1.0845256609642304,-2.291912908242613,-0.008786936236391913,-1.7580093312597203,-1.6328149300155521,0.0
2018-09-28,1.0,-1.0903852226081467,-2.340385222608147,-0.015314177455004739,-1.7868645405746766,-1.6609567413956428,0.0
2018-10-01,1.0,-1.0927173310087963,-2.3529598224898964,-0.01790950154528885,-1.7926143117521198,-1.668357239083921,0.0
2018-10-02,1.0,-1.0963215474869192,-2.328999524338037,-0.027826224829554463,-1.7991120976692563,-1.6755192643094974,0.0
2018-10-03,1.0,-1.1148925899106927,-2.3249658057768126,-0.02437846970794111,-1.8478558210636415,-1.733606887118835,0.0
2018-10-04,1.0,-1.1194149791063968,-2.3119575699132113,-0.026358084217293475,-1.8527000964320155,-1.7256509161041464,0.0
2018-10-05,1.0,-1.0822016296532992,-2.292778399105288,-0.0,-1.868189806678383,-1.7454066144751554,0.0
2018-10-08,1.0,-1.0724753106084741,-2.2806626314112775,-0.0,-1.8711373048741637,-1.7400446001911436,0.0
2018-10-09,1.0,-1.0717585218222363,-2.2811404906021027,-0.0,-1.8713762344695763,-1.7400446001911436,0.0
2018-10-10,1.0,-1.0734638650111428,-2.27857370264247,-0.0,-1.872015281757402,-1.7351957975167145,0.0
2018-10-11,1.0,-0.8597122302158273,-2.244298178478494,-0.0,-1.7990203581815398,-1.750497474360937,0.0
2018-10-12,1.0,-0.9660287081339712,-2.373125996810207,-0.0,-1.8523125996810204,-1.7830143540669856,0.0
2018-10-15,1.0,-0.894437775110044,-2.462985194077631,-0.0,-1.84921968787515,-1.7965586234493798,0.0
2018-10-16,1.0,-0.8857211499959959,-2.4800192199887885,-0.0,-1.8475214222791703,-1.79490670297109,0.0
2018-10-17,1.0,-0.8105866852669922,-2.3424009920173603,-0.0,-1.8068666201658528,-1.7902038285669999,0.0
2018-10-18,1.0,-0.8105819283660944,-2.3430968844689617,-0.0,-1.8189728847797375,-1.7967523890917567,0.0
2018-10-19,1.0,-0.7636738118849645,-2.295751010755969,-0.0,-1.7975436722862153,-1.7714547257609274,0.0
2018-10-22,1.0,-0.7659428047102003,-2.2774124483866034,-0.0,-1.8151858082275576,-1.7879645205688943,0.0
