Date,IWF,IWM,MTUM,SPY,VLUE,VNE,VXX
2019-02-07,-0.0,-1.3576378051064362,-0.0,-1.8752106873088208,-2.009800861476996,1.0,0.0
2019-02-08,-0.0,-1.369723344731116,-0.0,-1.8754740441405036,-1.9717749456014921,1.0,0.0
2019-02-11,-0.0,-1.36443661971831,-0.0,-1.8860663983903423,-2.03716046277666,1.0,0.0
2019-02-12,-0.0,-1.3610988872823286,-0.0,-1.887910982586283,-2.037467781479852,1.0,0.0
2019-02-13,-0.0,-1.3578360778911778,-0.0,-1.878216767891804,-2.0252958487258157,1.0,0.0
2019-02-14,-0.0,-1.377926844703202,-0.0,-1.9278572332616126,-2.0225920769522845,1.0,0.0
2019-02-15,-0.0,-1.3881712259371832,-0.0,-1.9243287740628165,-2.019820162107396,1.0,0.0
2019-02-19,-0.0,-1.3708559183158957,-0.0,-1.9230429849993698,-2.0088239001638724,1.0,0.0
2019-02-20,-0.0,-1.371343923348462,-0.0,-1.9226550680786687,-2.009581442259203,1.0,0.0
2019-02-21,-0.0,-1.3653736991485337,-0.0,-1.9287921791233051,-2.012992746767581,1.0,0.0
2019-02-22,-0.0,-1.3673096318709026,-0.0,-1.9309127584467976,-2.0053580433686333,1.0,0.0
2019-02-25,-0.0,-1.3657737157264418,-0.0,-1.9312322722975102,-2.00617711944532,1.0,0.0
2019-02-26,-0.0,-1.3644228340490023,-0.0,-1.9343899974741097,-2.0159131093710534,1.0,0.0
2019-02-27,-0.0,-1.356028547969431,-0.0,-1.940440851386345,-2.0194530411166554,1.0,0.0
2019-02-28,-0.0,-1.3617760373902608,-0.0,-1.9432830164845576,-2.0108633865976127,1.0,0.0
2019-03-01,-0.0,-1.3623508616880249,-0.0,-1.9458998800580773,-2.004482040275235,1.0,0.0
2019-03-04,-0.0,-1.3420603301081389,-0.0,-1.9494719534560172,-2.032441661923734,1.0,0.0
2019-03-05,-0.0,-1.3338176764167038,-0.0,-1.9559668962031715,-2.0276707309368884,1.0,0.0
2019-03-06,-0.0,-1.3365810451727191,-0.0,-1.9553966848032394,-2.0347336454510945,1.0,0.0
2019-03-07,-0.0,-1.3313092979127135,-0.0,-1.95831752055661,-2.035483870967742,1.0,0.0
2019-03-08,-0.0,-1.3282732447817838,-0.0,-1.9593927893738141,-2.0373814041745733,1.0,0.0
2019-03-11,-0.0,-1.3265577507598785,-0.0,-1.9665020263424517,-2.039323708206687,1.0,0.0
2019-03-12,-0.0,-1.3006351002955416,-0.0,-1.9574294158334906,-2.0300572219078163,1.0,0.0
2019-03-13,-0.0,-1.3061442676561223,-0.0,-1.953084711653355,-2.0297465568203257,1.0,0.0
2019-03-14,-0.0,-1.3154417316889002,-0.0,-1.9480870878429397,-2.0289453813239366,1.0,0.0
2019-03-15,-0.0,-1.3328882955051178,-0.0,-1.9635704749189395,-2.061224489795918,1.0,0.0
2019-03-18,-0.0,-1.32892551424556,-0.0,-1.9773859716366422,-2.081832119586048,1.0,0.0
2019-03-19,-0.0,-1.3180271016633487,-0.0,-2.0114315072891915,-2.0927364973347893,1.0,0.0
2019-03-20,-0.0,-1.301605726446121,-0.0,-2.0299864577287674,-2.1171084026568643,1.0,0.0
2019-03-21,-0.0,-1.3007625694713714,-0.0,-2.0968075481452764,-2.0648830295980356,1.0,0.0
2019-03-22,-0.0,-1.2959927727947345,-0.0,-2.1252500483964636,-2.031619023036717,1.0,0.0
2019-03-25,-0.0,-1.176108217960117,-0.0,-2.1523561539438587,-2.022354883780008,1.0,0.0
2019-03-26,-0.0,-1.1800749253920884,-0.0,-2.151692170931488,-2.017905898787225,1.0,0.0
2019-03-27,-0.0,-1.1695076357645269,-0.0,-2.156390596286674,-2.010899182561308,1.0,0.0
2019-03-28,-0.0,-1.169664344521849,-0.0,-2.1538315389487015,-2.0096263457884733,1.0,0.0
2019-03-29,-0.0,-1.1632058749050393,-0.0,-2.154406178779438,-2.013167890605217,1.0,0.0
2019-04-01,-0.0,-1.1831824225922878,-0.0,-2.1610840245678467,-1.9877160767428608,1.0,0.0
2019-04-02,-0.0,-1.185914426353654,-0.0,-2.157452984980437,-1.9673734696453367,1.0,0.0
2019-04-03,-0.0,-1.1861551082223765,-0.0,-2.157379945731053,-1.9668707010790687,1.0,0.0
2019-04-04,-0.0,-1.196894488990709,-0.0,-2.157566501209113,-2.0092910780196003,1.0,0.0
2019-04-05,-0.0,-1.1958402238900905,-0.0,-2.1613026332527667,-2.0033710723826488,1.0,0.0
2019-04-08,-0.0,-1.1723521144755333,-0.0,-2.1954771943273284,-2.0203142966653886,1.0,0.0
2019-04-09,-0.0,-1.1691402251791199,-0.0,-2.20131780962129,-2.0267400204708292,1.0,0.0
2019-04-10,-0.0,-1.1478094019827312,-0.0,-2.236520626798849,-2.0115765909817718,1.0,0.0
2019-04-11,-0.0,-1.1598410562071395,-0.0,-2.233416650644107,-2.015702108568865,1.0,0.0
2019-04-12,-0.0,-1.1605357600615227,-0.0,-2.233017175083312,-2.015060240963855,1.0,0.0
2019-04-15,-0.0,-1.1571880446710994,-0.0,-2.272287134465173,-2.025885998321606,1.0,0.0
2019-04-16,-0.0,-1.1559715945771465,-0.0,-2.2752098127824403,-2.0245965138799225,1.0,0.0
2019-04-17,-0.0,-1.1584586587491124,-0.0,-2.286581036597173,-2.009488155941393,1.0,0.0
2019-04-18,-0.0,-1.1257376305038582,-0.0,-2.303093184618377,-2.0558978016989817,1.0,0.0
2019-04-22,-0.0,-1.1197091664502725,-0.0,-2.309724746819008,-2.0623863931446373,1.0,0.0
2019-04-23,-0.0,-1.11951441184108,-0.0,-2.312386393144638,-2.0599844196312644,1.0,0.0
2019-04-24,-0.0,-1.0735246274969095,-0.0,-2.3309909558201576,-2.1020886199492486,1.0,0.0
2019-04-25,-0.0,-1.061664819764031,-0.0,-2.33967798709341,-2.1172022684310017,1.0,0.0
2019-04-26,-0.0,-1.0720472440944881,-0.0,-2.329855643044619,-2.1598425196850393,1.0,0.0
2019-04-29,-0.0,-1.0756352176482176,-0.0,-2.332939399908082,-2.156982469962576,1.0,0.0
2019-04-30,-0.0,-1.1017531305903399,-0.0,-2.6896601073345257,-2.364150268336315,1.0,0.0
2019-05-01,-0.0,-1.104965655409273,-0.0,-2.6889668002289637,-2.3611906124785347,1.0,0.0
2019-05-02,-0.0,-1.091884161601716,-0.0,-2.6823024669288524,-2.37640328923847,1.0,0.0
2019-05-03,-0.0,-1.082826258143031,-0.0,-2.69260505404825,-2.3832056696971864,1.0,0.0
2019-05-06,-0.0,-1.0405222230149107,-0.0,-2.7046443604194907,-2.389098951273454,1.0,0.0
2019-05-07,-0.0,-1.0626697155923968,-0.0,-2.7000142918393597,-2.3832356724310415,1.0,0.0
2019-05-08,-0.0,-1.0754490171121482,-0.0,-2.638664969594117,-2.357021637675011,1.0,0.0
2019-05-09,-0.0,-1.0732725086639792,-0.0,-2.6489850767381005,-2.3503783860244716,1.0,0.0
2019-05-10,-0.0,-1.074008623736481,-0.0,-2.6483353361136635,-2.3462925001767156,1.0,0.0
2019-05-13,-0.0,-1.076841509967482,-0.0,-2.6421603280079173,-2.3501343135868797,1.0,0.0
2019-05-14,-0.0,-1.0253891387063299,-0.0,-2.6058111380145275,-2.2868211691456244,1.0,0.0
2019-05-15,-0.0,-1.0133103448275864,-0.0,-2.616137931034483,-2.2671724137931033,1.0,0.0
2019-05-16,-0.0,-1.0154397573752414,-0.0,-2.608905431486077,-2.2684036393713813,1.0,0.0
2019-05-17,-0.0,-1.0163174998271451,-0.0,-2.586392864550923,-2.311553619581,1.0,0.0
