Date,IWF,IWM,KDP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9174108597874976,-1.7417378267388046,1.0,-0.07809138908806466,-1.4800208591356496,-1.3012189557395215,0.0
2018-09-25,-0.917551286225985,-1.7387821556496257,1.0,-0.08016932595245849,-1.4775643112992511,-1.298534679257571,0.0
2018-09-26,-0.917621776504298,-1.7388642875748892,1.0,-0.08035946861161761,-1.4774029695233133,-1.297798905965095,0.0
2018-09-27,-0.9192594998376097,-1.7245209483598571,1.0,-0.0834686586554076,-1.473985060084443,-1.2943163364728807,0.0
2018-09-28,-0.9173348979724885,-1.7369450420496773,1.0,-0.08553360714518547,-1.4793663211421866,-1.3000847512875675,0.0
2018-10-01,-0.9178671533798318,-1.7356756404406495,1.0,-0.08597874975555701,-1.4792386415487908,-1.2997197053647092,0.0
2018-10-02,-0.9181160836427594,-1.7265976157905023,1.0,-0.08970099667774085,-1.4793173083186761,-1.3004364536512278,0.0
2018-10-03,-0.9164281997918835,-1.7176768990634754,1.0,-0.089815296566077,-1.4782778355879291,-1.3013787721123828,0.0
2018-10-04,-0.921747042766151,-1.7067463928246458,1.0,-0.09138177564019238,-1.4846613804757571,-1.2948134667879891,0.0
2018-10-05,-0.8948011838888174,-1.6844678934500064,1.0,-0.0644704671213486,-1.489254922146442,-1.3011838888173979,0.0
2018-10-08,-0.888213073820347,-1.6724502208848198,1.0,-0.0573660285549651,-1.4892118573532236,-1.2952173634675717,0.0
2018-10-09,-0.8862732520846696,-1.677485567671584,1.0,-0.04727389352148813,-1.497754971135343,-1.3055805003207184,0.0
2018-10-10,-0.8939881565396499,-1.6813208032955715,1.0,-0.05155767250257466,-1.5065653964984551,-1.3032312049433574,0.0
2018-10-11,-0.7443991853360488,-1.7240325865580448,1.0,-0.0,-1.5124108961303462,-1.3837194501018328,0.0
2018-10-12,-0.7298409384020144,-1.6627771295215867,1.0,-0.0,-1.44156482220721,-1.307252963213167,0.0
2018-10-15,-0.6851422292760347,-1.691185447442315,1.0,-0.0,-1.4271761689659384,-1.3007569283359786,0.0
2018-10-16,-0.6777112116395647,-1.708277295512899,1.0,-0.0,-1.426824795207238,-1.3004646044748747,0.0
2018-10-17,-0.6179267433669875,-1.5893989199342569,1.0,-0.0,-1.3815449636064805,-1.2809931908898802,0.0
2018-10-18,-0.6168065254386479,-1.58734816031923,1.0,-0.0,-1.383134792559122,-1.2809694266768383,0.0
2018-10-19,-0.578274945080356,-1.55231818707365,1.0,-0.0,-1.3793502138975604,-1.271129610359579,0.0
2018-10-22,-0.5790844377568146,-1.5382834654783262,1.0,-0.0,-1.38937438509173,-1.2806296660686383,0.0
2018-10-23,-0.5802047781569966,-1.537455891710534,1.0,-0.0,-1.3876323248683984,-1.2794007057326315,0.0
2018-10-24,-0.5753519501500115,-1.5294830371567043,1.0,-0.0,-1.3860489268405263,-1.278790676205862,0.0
2018-10-25,-0.49062448144255766,-1.424857569555838,1.0,-0.0,-1.4055534045024614,-1.2102439294208749,0.0
2018-10-26,-0.44998913987836664,-1.3886837532580367,1.0,-0.0,-1.4072002606429193,-1.1841876629018246,0.0
2018-10-29,-0.40745930796593727,-1.4026086019187238,1.0,-0.0,-1.388056483777083,-1.1915489921310767,0.0
2018-10-30,-0.38984421324995955,-1.403967441108296,1.0,-0.0,-1.3897903078001186,-1.2069430219395179,0.0
2018-10-31,-0.39328168117172574,-1.3536404160475481,1.0,-0.0,-1.3735937168329442,-1.1862131182339206,0.0
2018-11-01,-0.4127885181813313,-1.3571466823756224,1.0,-0.0,-1.387029400739035,-1.1984148235420125,0.0
2018-11-02,-0.41686021959459457,-1.2995143581081081,1.0,-0.0,-1.384448902027027,-1.1778927364864866,0.0
2018-11-05,-0.4111439425918109,-1.3149535669058674,1.0,-0.0,-1.3851308569016465,-1.1652596032081048,0.0
2018-11-06,-0.41769547325102885,-1.3201435053286905,1.0,-0.0,-1.3801308430938062,-1.1579086208715839,0.0
2018-11-07,-0.4167764371147058,-1.3184045524000212,1.0,-0.0,-1.377680594341114,-1.1561199220190739,0.0
2018-11-08,-0.3658145311529704,-1.3064582902090667,1.0,-0.0,-1.3497205547505693,-1.1529703995032086,0.0
2018-11-09,-0.365973199854007,-1.3193075759945774,1.0,-0.0,-1.365399655873612,-1.1633557536889307,0.0
2018-11-12,-0.363518691104898,-1.2853888371129751,1.0,-0.0,-1.3737185461323391,-1.1550170860515687,0.0
2018-11-13,-0.31340311462854226,-1.2717896349246873,1.0,-0.0,-1.3763594587694665,-1.1443962215981618,0.0
2018-11-14,-0.3134121984943924,-1.277718031443642,1.0,-0.0,-1.3807036411123061,-1.1493316945767398,0.0
2018-11-15,-0.3109466700688951,-1.27507017096198,1.0,-0.0,-1.380862464914519,-1.1364123500893084,0.0
2018-11-16,-0.303500357179304,-1.2607919175426066,1.0,-0.0,-1.3845290335748548,-1.1537401775691398,0.0
2018-11-19,-0.30464724787022396,-1.2599602101719123,1.0,-0.0,-1.383512727643728,-1.1531398255369076,0.0
