Date,HP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27248901849322654,-0.948063932671367,-0.0,-0.6819977114170759,-0.7887121184157101,0.0
2018-09-25,1.0,-0.27822908204711616,-0.9470127760135882,-0.0,-0.6814120079757773,-0.7858725352632745,0.0
2018-09-26,1.0,-0.28404798933570313,-0.9540472487595348,-0.0,-0.6839220913870991,-0.7808635118121898,0.0
2018-09-27,1.0,-0.28751664940062155,-0.9469439100192393,-0.0,-0.684438360219032,-0.7809308864880864,0.0
2018-09-28,1.0,-0.28894481661053334,-0.9463340612161811,-0.0,-0.6847773788815278,-0.7810429697620194,0.0
2018-10-01,1.0,-0.29024137420405743,-0.9452095365022951,-0.0,-0.6855471642233081,-0.7810602695098474,0.0
2018-10-02,1.0,-0.2997546650806632,-0.9204148390454242,-0.001598394171437068,-0.700133819046911,-0.7952940301836295,0.0
2018-10-03,1.0,-0.2993647137496749,-0.9131775457889065,-0.0007801760968904409,-0.7023813946576513,-0.7994204406137385,0.0
2018-10-04,1.0,-0.29856972586412395,-0.9200312872467223,-0.0011174016686531585,-0.7010578069129917,-0.8038960071513707,0.0
2018-10-05,1.0,-0.27888860036354196,-0.911154802092221,-0.0,-0.7061987609897244,-0.8133694402196091,0.0
2018-10-08,1.0,-0.27498701491429844,-0.9078800920086073,-0.0,-0.7131780069748461,-0.813979372263857,0.0
2018-10-09,1.0,-0.2736311025374685,-0.9078498293515357,-0.0,-0.7134960676658257,-0.814735123905624,0.0
2018-10-10,1.0,-0.2800669393826702,-0.9085905541093344,-0.0,-0.7192636667906286,-0.8109334325027893,0.0
2018-10-11,1.0,-0.23091464301294168,-0.8948669477970045,-0.0,-0.6985604187872619,-0.8109277301148756,0.0
2018-10-12,1.0,-0.23399748698617842,-0.8875246813857476,-0.0,-0.6782624304433673,-0.7902351462933046,0.0
2018-10-15,1.0,-0.22440055911974482,-0.893444679402172,-0.0,-0.6760689581018602,-0.7901867316583635,0.0
2018-10-16,1.0,-0.22300662963626589,-0.8955384339724064,-0.0,-0.6754703458161619,-0.7895717613330944,0.0
2018-10-17,1.0,-0.196710875331565,-0.852343059239611,-0.0,-0.6774889478337754,-0.8101149425287357,0.0
2018-10-18,1.0,-0.1981506412527457,-0.8568695528944944,-0.0,-0.676468504215971,-0.811344150782966,0.0
2018-10-19,1.0,-0.18364545198535623,-0.8488453956631934,-0.0,-0.6760067586595325,-0.8116375668825683,0.0
2018-10-22,1.0,-0.18398367404384083,-0.8437423032264875,-0.0,-0.6778086626086345,-0.8130255796769993,0.0
2018-10-23,1.0,-0.18282938505403218,-0.8441339012284839,-0.0,-0.6791509732831145,-0.8138970044704144,0.0
2018-10-24,1.0,-0.18385093167701863,-0.8609050576752441,-0.0,-0.6860692102928128,-0.8184205856255545,0.0
2018-10-25,1.0,-0.15216416623555787,-0.8193136747715124,-0.0,-0.6860838075530264,-0.7913088463528195,0.0
2018-10-26,1.0,-0.14810747743728767,-0.8125321711677704,-0.0,-0.6849112933667341,-0.7860746027933152,0.0
2018-10-29,1.0,-0.1237825091418612,-0.8238611120604218,-0.0,-0.6750965448891015,-0.7947438570110387,0.0
2018-10-30,1.0,-0.14033221223145037,-0.8278193424394262,-0.0,-0.6783581577321711,-0.7854348273731897,0.0
2018-10-31,1.0,-0.1438652711962636,-0.8096001090921489,-0.0,-0.6754167660996148,-0.780281594109024,0.0
2018-11-01,1.0,-0.1325321713079594,-0.8176278341390345,-0.0,-0.6743378497991421,-0.7799074011030163,0.0
2018-11-02,1.0,-0.14089137434333165,-0.7831215048296899,-0.0,-0.6890357566514151,-0.7762074224707677,0.0
2018-11-05,1.0,-0.1435310887863155,-0.7780002715177844,-0.0,-0.6898588107521042,-0.7825821341297855,0.0
