Date,IWF,IWM,MTUM,SPY,SSNC,VLUE,VXX
2018-09-24,-0.4565999937396313,-0.7180955958305945,-0.22781481829279746,-0.4185995555138198,1.0,-0.3091057063261026,0.0
2018-09-25,-0.45863061709851044,-0.7162661159093754,-0.23106771811240456,-0.41694830391788706,1.0,-0.30639003629991235,0.0
2018-09-26,-0.45903742646138435,-0.7167668043559895,-0.23206909500563275,-0.4166353736387533,1.0,-0.30476279884841656,0.0
2018-09-27,-0.464055357254681,-0.7076836370467782,-0.23498653641430273,-0.41840440854154926,1.0,-0.3059365019725719,0.0
2018-09-28,-0.46383618260379483,-0.7075897050535412,-0.2351744004007765,-0.41840440854154926,1.0,-0.3060930552946334,0.0
2018-10-01,-0.4631875881523272,-0.7098573891239617,-0.23554301833568406,-0.4186177715091679,1.0,-0.3070992007522332,0.0
2018-10-02,-0.4631353799698038,-0.728516607951686,-0.23040387518872674,-0.41768369401107197,1.0,-0.30570583794665324,0.0
2018-10-03,-0.463679586888756,-0.7323908183507037,-0.23098964073176106,-0.41723605906986994,1.0,-0.3043861582543531,0.0
2018-10-04,-0.4647993705743509,-0.7294099134539733,-0.23134539732494103,-0.41875688434303704,1.0,-0.30278520849724627,0.0
2018-10-05,-0.454824753903066,-0.723807135243589,-0.22117374130039502,-0.4252304219700295,1.0,-0.30995673709950466,0.0
2018-10-08,-0.4561905061103956,-0.7268386164430901,-0.2219220256982187,-0.4254657409443624,1.0,-0.31117464107316767,0.0
2018-10-09,-0.45755680568213963,-0.7272384424400515,-0.22455136867909112,-0.42427480436217363,1.0,-0.3091234796819511,0.0
2018-10-10,-0.45802701853597233,-0.7266729500471253,-0.2250706880301602,-0.4242538485705309,1.0,-0.30766572415959786,0.0
2018-10-11,-0.4304968449427189,-0.7233658028548674,-0.1893953317404889,-0.41061692090914664,1.0,-0.3092875084236967,0.0
2018-10-12,-0.4318736277140766,-0.7242315198828984,-0.18656989509636496,-0.40540375701390585,1.0,-0.30141497926323496,0.0
2018-10-15,-0.4392340399498333,-0.7182710837845279,-0.19292771710868437,-0.4075433605579517,1.0,-0.30096968584625744,0.0
