Date,IETC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-21,1.0,-0.5995272863427876,-0.16708789665824209,-0.24251146681643734,-0.33101656837966864,-0.0,0.0
2018-11-23,1.0,-0.6003328411035324,-0.17497597449780838,-0.23901272765628298,-0.3296064505543445,-0.0,0.0
2018-11-26,1.0,-0.6006138275191528,-0.17854883677342268,-0.23794016353114825,-0.32575029871377364,-0.0,0.0
2018-11-27,1.0,-0.6015921329899321,-0.17838913603371576,-0.2368531959728401,-0.32453757902130653,-0.0,0.0
2018-11-28,1.0,-0.6006886697430371,-0.18394977864186832,-0.23534234381954042,-0.32245672389965097,-0.0,0.0
2018-11-29,1.0,-0.5917725206852349,-0.1825894417900012,-0.23064910849551337,-0.3257196130987065,-0.0,0.0
2018-11-30,1.0,-0.594397928959582,-0.18329174149310817,-0.22622851412179026,-0.3283112158033445,-0.0,0.0
2018-12-03,1.0,-0.5954568776528756,-0.185223191380195,-0.2206259620318112,-0.3309156210644153,-0.0,0.0
2018-12-04,1.0,-0.599037990053004,-0.18460317089686415,-0.21773647465383988,-0.33357461414528217,-0.0,0.0
2018-12-06,1.0,-0.5711338315528862,-0.1470129751043052,-0.26498097290358075,-0.3092934757691074,-0.0,0.0
2018-12-07,1.0,-0.5630159096149413,-0.15699792483283376,-0.2523633848282223,-0.3333871339635693,-0.0,0.0
2018-12-10,1.0,-0.5509110887281384,-0.1585706437139456,-0.2528385678967128,-0.32682446662393555,-0.0,0.0
2018-12-11,1.0,-0.5542050084695325,-0.15478643043537973,-0.2552076180011903,-0.3248409101313922,-0.0,0.0
2018-12-12,1.0,-0.5545050819522022,-0.15438146689863566,-0.2556771357934255,-0.3246039739950554,-0.0,0.0
2018-12-13,1.0,-0.5540141473799877,-0.15443078543140354,-0.2559348030126136,-0.324840326900625,-0.0,0.0
2018-12-14,1.0,-0.55308681524873,-0.1490549631595808,-0.2592101048006956,-0.3268957942428264,-0.0,0.0
2018-12-17,1.0,-0.5534789256292645,-0.14967709545651628,-0.2576390315145706,-0.3212158554117889,-0.0,0.0
2018-12-18,1.0,-0.5566805320656397,-0.15015769986744068,-0.25641084243726286,-0.3222562508570645,-0.0,0.0
2018-12-19,1.0,-0.5704974271012007,-0.1483819325328759,-0.2517324185248713,-0.31640937678673525,-0.0,0.0
2018-12-20,1.0,-0.5664642221105987,-0.14498378921411936,-0.2573176857390748,-0.31444358189871685,-0.0,0.0
2018-12-21,1.0,-0.5696283444434298,-0.14366267920737832,-0.256095333759474,-0.31351018171856454,-0.0,0.0
2018-12-24,1.0,-0.5731014175169487,-0.14273322833207788,-0.2543541281471844,-0.3124243876828962,-0.0,0.0
2018-12-26,1.0,-0.5832879448075527,-0.14528867102396514,-0.25215595497458243,-0.28869371822803197,-0.0,0.0
2018-12-27,1.0,-0.5644559936730312,-0.14915828719918653,-0.2619816969833917,-0.2840357021805446,-0.0,0.0
2018-12-28,1.0,-0.5598608255574885,-0.15485416054766046,-0.2599805698018572,-0.28462980953887174,-0.0,0.0
2018-12-31,1.0,-0.5554827188679672,-0.15913560433102014,-0.26144352268360493,-0.2843870792739438,-0.0,0.0
2019-01-02,1.0,-0.5576319059993221,-0.16126991300418034,-0.25312394079765,-0.2876059202350017,-0.0,0.0
2019-01-03,1.0,-0.5595027849476973,-0.16983652583435221,-0.2407508037857175,-0.29409500520762577,-0.0,0.0
2019-01-04,1.0,-0.5665412170127868,-0.16686315407635802,-0.23791602430398112,-0.2958420241226081,-0.0,0.0
2019-01-07,1.0,-0.5598805781105105,-0.16422771583018567,-0.2445208422862054,-0.29312645601972265,-0.0,0.0
2019-01-08,1.0,-0.5598968932302266,-0.1625966625966626,-0.24494641161307829,-0.29365079365079366,-0.0,0.0
2019-01-09,1.0,-0.559403592002711,-0.15872585564215522,-0.24531797130916075,-0.2956737828984525,-0.0,0.0
2019-01-10,1.0,-0.5591929872125073,-0.15900772671817812,-0.24533459852695313,-0.29571641588721703,-0.0,0.0
2019-01-11,1.0,-0.5579551358800009,-0.15865091377323967,-0.2466848894210134,-0.29575078500914903,-0.0,0.0
2019-01-14,1.0,-0.5590873150344516,-0.15856771715802553,-0.24599570766971648,-0.29547046199028576,-0.0,0.0
2019-01-15,1.0,-0.5592340002709905,-0.15710672508016804,-0.2456076961293528,-0.2963054965900366,-0.0,0.0
2019-01-16,1.0,-0.5602583792573855,-0.156518203993134,-0.24561839371216912,-0.29618755081759873,-0.0,0.0
2019-01-17,1.0,-0.5602809648568073,-0.15660854639082122,-0.24548288011563826,-0.29618755081759873,-0.0,0.0
