Date,IWF,IWM,MTUM,PCQ,SPY,VLUE,VXX
2018-09-24,-0.19554335540125947,-0.5339438536596618,-0.0,1.0,-0.33277202371340914,-0.24449262992779866,0.0
2018-09-25,-0.198735841657247,-0.5331380193314725,-0.0,1.0,-0.33223373088191194,-0.24275069782463266,0.0
2018-09-26,-0.20377323506234643,-0.5399109998609373,-0.0,1.0,-0.33500208594075925,-0.23902563389421963,0.0
2018-09-27,-0.20283523123402275,-0.5449221473390657,-0.0,1.0,-0.33604462003253543,-0.24018126888217523,0.0
2018-09-28,-0.20071692930797702,-0.5486138590814925,-0.0,1.0,-0.3370033286003585,-0.24135844137706294,0.0
2018-10-01,-0.20173742925681815,-0.547849174371754,-0.0,1.0,-0.3378205277499593,-0.24158651046882645,0.0
2018-10-02,-0.20796987909543743,-0.5315123593929048,-0.0,1.0,-0.347653235424803,-0.2514440728701387,0.0
2018-10-03,-0.20746558212374075,-0.5266110370941729,-0.0,1.0,-0.349063880513288,-0.2542364958044083,0.0
2018-10-04,-0.20982779166764026,-0.5227702876369839,-0.0,1.0,-0.35201065495244993,-0.2520036451153118,0.0
2018-10-05,-0.20255754475703328,-0.5188328295745176,-0.0,1.0,-0.3519879097884213,-0.25166240409207163,0.0
2018-10-08,-0.20169999303281544,-0.5178243805011729,-0.0,1.0,-0.35193571611045316,-0.2509347639285631,0.0
2018-10-09,-0.2286488170857403,-0.5449075960593495,-0.0,1.0,-0.3667873151321939,-0.2566696229535703,0.0
2018-10-10,-0.2290533579318111,-0.5444329971008937,-0.0,1.0,-0.3669166447037401,-0.25552866760907583,0.0
2018-10-11,-0.18224808178214608,-0.5338556758385684,-0.0,1.0,-0.34701777973527437,-0.2549665036278078,0.0
2018-10-12,-0.1795120151284535,-0.5334394170010608,-0.0,1.0,-0.3437572067709054,-0.24943498916101656,0.0
2018-10-15,-0.18725984908106105,-0.52935049303273,-0.0,1.0,-0.34755335401138837,-0.25054395629831955,0.0
2018-10-16,-0.1866870342082118,-0.530134703513401,-0.0,1.0,-0.3473128732120539,-0.2503356015368236,0.0
2018-10-17,-0.1716693236164883,-0.5024140286950581,-0.0,1.0,-0.34518332953769076,-0.2581188795263038,0.0
2018-10-18,-0.17107720337053064,-0.5012753359143703,-0.0,1.0,-0.3466864040081986,-0.25834661808244136,0.0
2018-10-19,-0.1590991235203759,-0.49231950844854067,-0.0,1.0,-0.34973344176380233,-0.2577934399566278,0.0
2018-10-22,-0.15909758135543461,-0.48887784828707576,-0.0,1.0,-0.35109866534179446,-0.2592308213454981,0.0
2018-10-23,-0.15496604510663425,-0.4928569806264053,-0.0,1.0,-0.35869540530105154,-0.26471189443321447,0.0
2018-10-24,-0.153819987754269,-0.4902827856770302,-0.0,1.0,-0.35864117740435864,-0.26496133523822485,0.0
2018-10-25,-0.12678169542385595,-0.45896032831737343,-0.0,1.0,-0.37615286174484797,-0.24453907594545693,0.0
2018-10-26,-0.12791853504450973,-0.45934483444147467,-0.0,1.0,-0.37617901084579536,-0.24547723708334254,0.0
2018-10-29,-0.10821890634987105,-0.47235017963016024,-0.0,1.0,-0.36966344140530294,-0.253818518436887,0.0
2018-10-30,-0.11435952922472234,-0.4733808819307969,-0.0,1.0,-0.3704815951597589,-0.24991719477995894,0.0
