Date,IWF,IWM,MTUM,SENEA,SPY,VLUE,VXX
2018-09-24,-0.6366639588410506,-1.5990251827782291,-0.004928242621175196,1.0,-1.1054968860005416,-1.0695369618196588,0.0
2018-09-25,-0.6379823564431456,-1.5964712886291066,-0.007847594306435028,1.0,-1.1033176381447205,-1.0665151269145425,0.0
2018-09-26,-0.6470107807905914,-1.6105303277795928,-0.01726015463356202,1.0,-1.1091146684090167,-1.0609822498094306,0.0
2018-09-27,-0.653578041607668,-1.5977562357041715,-0.021566278183204442,1.0,-1.1110445485241258,-1.0620302799259338,0.0
2018-09-28,-0.6549000381325923,-1.596829547311652,-0.022334804161900094,1.0,-1.1112382197526829,-1.0622650759928092,0.0
2018-10-01,-0.6546554731792412,-1.5988334060183167,-0.023331879633667684,1.0,-1.11137156563454,-1.0631814217182731,0.0
2018-10-02,-0.6620114815632591,-1.6583130933981014,-0.01357915654669905,1.0,-1.1181276219916096,-1.0678957827334954,0.0
2018-10-03,-0.6627611362882724,-1.6428650381341883,-0.01121918868133083,1.0,-1.1276113628827236,-1.082237205703548,0.0
2018-10-04,-0.6627778392126508,-1.643647019794316,-0.012440561760477717,1.0,-1.127004312728077,-1.0832135353311954,0.0
2018-10-05,-0.6394082710074791,-1.6339639243290804,-0.0,1.0,-1.1334689837219534,-1.0924989001319843,0.0
2018-10-08,-0.6357350600888986,-1.6296987323711793,-0.0,1.0,-1.132415079844153,-1.089666904461395,0.0
2018-10-09,-0.6304634307050296,-1.6302987041511092,-0.0,1.0,-1.1354052273226443,-1.0947177685042828,0.0
2018-10-10,-0.6369685970411924,-1.6309189902656327,-0.0,1.0,-1.1410108342957708,-1.0906891052081615,0.0
2018-10-11,-0.5346367239101718,-1.5942932628797886,-0.0,1.0,-1.0847027741083222,-1.0703302509907529,0.0
2018-10-12,-0.549189754312598,-1.5925771040250913,-0.0,1.0,-1.0533193936225824,-1.0322530057501307,0.0
2018-10-15,-0.5308037110392995,-1.6046596476597517,-0.0,1.0,-1.0474304180131346,-1.0291879495465444,0.0
2018-10-16,-0.5271741962378198,-1.609817101766453,-0.0,1.0,-1.0459590433015475,-1.027825543223386,0.0
2018-10-17,-0.49021207177814025,-1.5445554649265907,-0.0,1.0,-1.0308421696574226,-1.0322695758564437,0.0
2018-10-18,-0.49056507547939615,-1.5463586291309668,-0.0,1.0,-1.0304467564259485,-1.032639738882089,0.0
2018-10-19,-0.4628750378826144,-1.5294474189312053,-0.0,1.0,-1.0299020103040712,-1.0287907869481767,0.0
2018-10-22,-0.462979797979798,-1.5168686868686867,-0.0,1.0,-1.036111111111111,-1.0344949494949496,0.0
2018-10-23,-0.4761759935117599,-1.5236212489862124,-0.0,1.0,-1.0336577453365774,-1.0354825628548254,0.0
2018-10-24,-0.47421319796954314,-1.5298984771573603,-0.0,1.0,-1.0355837563451775,-1.0364467005076141,0.0
2018-10-25,-0.41118935837245696,-1.4534428794992176,-0.0,1.0,-1.0434761345852896,-0.982345461658842,0.0
2018-10-26,-0.4042305453134097,-1.4378517368523192,-0.0,1.0,-1.0374539103434892,-0.9719580826702892,0.0
2018-10-29,-0.37984570877531343,-1.4447444551591129,-0.0,1.0,-1.024300867888139,-0.9727097396335583,0.0
2018-10-30,-0.35253991291727144,-1.4514755684567007,-0.0,1.0,-1.0316884373488147,-1.0021770682148041,0.0
2018-10-31,-0.3606707024118382,-1.4175074469107334,-0.0,1.0,-1.0307485346401462,-0.9954838089747285,0.0
2018-11-01,-0.3256160954948017,-1.4519156719291488,-0.0,1.0,-1.0344628417404698,-1.001251443973816,0.0
2018-11-02,-0.33400267737617134,-1.4063396442914515,-0.0,1.0,-1.047475616752725,-0.9932109389940715,0.0
2018-11-05,-0.326788621779523,-1.4324298438846854,-0.0,1.0,-1.051958624652811,-0.9775883536059764,0.0
2018-11-06,-0.32157127039907574,-1.4321956385692967,-0.0,1.0,-1.0658065758436432,-0.9943676888268426,0.0
2018-11-07,-0.321473278767453,-1.4324987963408764,-0.0,1.0,-1.0661049590755898,-0.9945594607607126,0.0
2018-11-08,-0.28268736310827536,-1.4311970288543947,-0.0,1.0,-1.0497095514712884,-0.9978097324064374,0.0
2018-11-09,-0.2815270231627109,-1.432513583071204,-0.0,1.0,-1.0532361071394527,-0.9987131827280525,0.0
2018-11-12,-0.2794927811550152,-1.422349924012158,-0.0,1.0,-1.0529065349544073,-0.9944908814589666,0.0
2018-11-13,-0.24624060150375943,-1.4171992481203008,-0.0,1.0,-1.0501879699248122,-0.9855733082706768,0.0
2018-11-14,-0.2480492620099652,-1.416376797969352,-0.0,1.0,-1.0509072106797028,-0.9852401993043151,0.0
2018-11-15,-0.24718147082409547,-1.421293457238549,-0.0,1.0,-1.0540591537336668,-0.9946223878484834,0.0
2018-11-16,-0.24530786960816597,-1.4126252410743685,-0.0,1.0,-1.0505197798579424,-0.995437226586387,0.0
2018-11-19,-0.24852989603424755,-1.4118172837183045,-0.0,1.0,-1.04901914663405,-0.9949663640212635,0.0
2018-11-20,-0.17624736472241742,-1.4048723354415555,-0.0,1.0,-1.064371047083626,-1.0394471773249006,0.0
2018-11-21,-0.19184932467168297,-1.4087956255549843,-0.0,1.0,-1.075851754918914,-0.9971023975323644,0.0
2018-11-23,-0.1935318275154004,-1.3928504760126936,-0.0,1.0,-1.0819021840582417,-0.9984599589322382,0.0
2018-11-26,-0.19383609619425635,-1.3922017277609153,-0.0,1.0,-1.0835862713051598,-1.0000466962409524,0.0
2018-11-27,-0.17999535855186818,-1.3950336504989556,-0.0,1.0,-1.0751450452541194,-0.9912740775121839,0.0
2018-11-28,-0.17998235922194886,-1.3981709298546958,-0.0,1.0,-1.0736270368135186,-0.9905296875725361,0.0
2018-11-29,-0.13183737151248165,-1.3813784875183555,-0.0,1.0,-1.0729625550660793,-1.0026156387665197,0.0
