Date,BJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-25,1.0,-0.0,-0.9053735507769279,-0.0,-1.6947130418049743,-1.2105642949920623,0.0
2019-02-26,1.0,-0.0,-0.9099012286196096,-0.0,-1.7015177065767284,-1.2066971814020717,0.0
2019-02-27,1.0,-0.0,-0.90697114226526,-0.0,-1.703232644409115,-1.2074480898010311,0.0
2019-02-28,1.0,-0.0,-0.9084296724470134,-0.0,-1.7033718689788053,-1.2051541425818884,0.0
2019-03-01,1.0,-0.0,-0.9096730704415233,-0.0,-1.708122682844624,-1.1970725600654821,0.0
2019-03-04,1.0,-0.0,-0.9013711811402453,-0.0,-1.7066153476064467,-1.2031753668510947,0.0
2019-03-05,1.0,-0.0,-0.8866451395247963,-0.0,-1.734011277651935,-1.1988047616752613,0.0
2019-03-06,1.0,-0.0,-0.8825521211241717,-0.0,-1.7582837517534948,-1.196391428433222,0.0
2019-03-07,1.0,-0.0,-0.8757733952049497,-0.0,-1.7648395204949727,-1.1930587780355761,0.0
2019-03-08,1.0,-0.0,-0.8729247104247104,-0.0,-1.7648166023166023,-1.188561776061776,0.0
2019-03-11,1.0,-0.0,-0.8714258114374034,-0.0,-1.7692716383307574,-1.1892870942812983,0.0
2019-03-12,1.0,-0.0,-0.8543377022420663,-0.0,-1.7658552979019637,-1.1808056075663738,0.0
2019-03-13,1.0,-0.0,-0.8577600691277424,-0.0,-1.7621813643128033,-1.180548221400797,0.0
2019-03-14,1.0,-0.0,-0.8601572990600421,-0.0,-1.7573853826971033,-1.1781603683099942,0.0
2019-03-15,1.0,-0.0,-0.8571154399769696,-0.0,-1.7636503214662702,-1.1771902888398427,0.0
2019-03-18,1.0,-0.0,-0.8699061823430358,-0.0,-1.7710849170074572,-1.1701707962472936,0.0
2019-03-19,1.0,-0.0,-0.8674264281592613,-0.0,-1.7724081554145026,-1.1687824581650317,0.0
2019-03-20,1.0,-0.0,-0.8656407790334215,-0.0,-1.7729261841788893,-1.1702813176244289,0.0
