Date,ANSS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.37221624740970016,-0.47441177242084825,-0.2845264013849907,-0.30278309681819376,-0.18915090627705058,0.0
2018-09-25,1.0,-0.37393789992657084,-0.47296234134060633,-0.28718661491660546,-0.3014528480016784,-0.1869558376166999,0.0
2018-09-26,1.0,-0.37501311785077135,-0.4744201909959072,-0.28937978801553155,-0.30108091090355754,-0.18370238220170007,0.0
2018-09-27,1.0,-0.3763863761503973,-0.4705419649178007,-0.2904376097957471,-0.3010828810404048,-0.18356537927056293,0.0
2018-09-28,1.0,-0.377373832756269,-0.46996642534886157,-0.29028958136606864,-0.3014374147518623,-0.18395236596369738,0.0
2018-10-01,1.0,-0.3774985572635224,-0.46978122868684746,-0.2902785792980431,-0.30153192382351396,-0.18406694297256176,0.0
2018-10-02,1.0,-0.3772862053583143,-0.4721981684116613,-0.28953790443202393,-0.3012149361043323,-0.18384108740717417,0.0
2018-10-03,1.0,-0.3791595310235806,-0.4845211434593598,-0.29071268607561584,-0.30022394941377945,-0.18005532867869845,0.0
2018-10-04,1.0,-0.3809787189211968,-0.48101032448377573,-0.290929203539823,-0.3027812895069532,-0.17809734513274336,0.0
2018-10-05,1.0,-0.39213342894324493,-0.4941438929168991,-0.2958064430457069,-0.3012774546516878,-0.17244309882346695,0.0
2018-10-08,1.0,-0.3916423454497214,-0.49307508622976914,-0.2949588750331653,-0.3018041920933935,-0.17176970018572565,0.0
2018-10-09,1.0,-0.4016167456302364,-0.49995984903236174,-0.309537193179689,-0.30016863406408095,-0.16542198666987876,0.0
2018-10-10,1.0,-0.40090174713507426,-0.5041195888462467,-0.3069160784734709,-0.30119964574219693,-0.17060733743055742,0.0
2018-10-11,1.0,-0.404656408603883,-0.5075324256827519,-0.3086280512366068,-0.30024973817771694,-0.16429012594323156,0.0
2018-10-12,1.0,-0.41102416693282234,-0.5036729479399553,-0.31076333439795595,-0.2878739486851911,-0.14822208027254338,0.0
2018-10-15,1.0,-0.42133960549526916,-0.492997273747795,-0.3214839364943604,-0.28999839632223234,-0.1469503394451275,0.0
