Date,IWF,IWM,MTUM,RXN,SPY,VLUE,VXX
2018-09-24,-0.26625106096525886,-0.6076038282553342,-0.11300377557292124,1.0,-0.4836538180115317,-0.4562882313343285,0.0
2018-09-25,-0.2648451516131879,-0.6149525013970177,-0.1072615511308491,1.0,-0.48995617775947764,-0.4640745860415871,0.0
2018-09-26,-0.2664763194301357,-0.6172254437347305,-0.11017572778382834,1.0,-0.48971241868542664,-0.4599240573396521,0.0
2018-09-27,-0.26594585039625257,-0.6199805556373921,-0.1095954983354447,1.0,-0.4901452434964499,-0.4604189376307339,0.0
2018-09-28,-0.26427603276563144,-0.6215746361011255,-0.1100830926984501,1.0,-0.49007012788025217,-0.46054570098414754,0.0
2018-10-01,-0.2657802411627701,-0.6205961260650373,-0.1098204546124591,1.0,-0.4911996226303842,-0.46077419735251635,0.0
2018-10-02,-0.26641120117907147,-0.6151510685335299,-0.11186440677966102,1.0,-0.4922328666175387,-0.4620191599115696,0.0
2018-10-03,-0.26613426062356343,-0.6080921789355809,-0.11083279306889846,1.0,-0.4950197442093476,-0.4668474096776095,0.0
2018-10-04,-0.26473544191545967,-0.6154596511971623,-0.1106414425066509,1.0,-0.49326041974578777,-0.47182973691989366,0.0
2018-10-05,-0.252314405330503,-0.6096762780824342,-0.09882658175599977,1.0,-0.5034789787133676,-0.4839613184739666,0.0
2018-10-08,-0.25083897556667645,-0.6072416838386812,-0.0959081542537533,1.0,-0.5061524874889609,-0.4836326170150132,0.0
2018-10-09,-0.25123645784267545,-0.6073657560056523,-0.09688530381535564,1.0,-0.5056818181818182,-0.48280734809232223,0.0
2018-10-10,-0.2513885176274912,-0.6196501232587841,-0.09097389289851199,1.0,-0.5113011969467463,-0.4968071519795658,0.0
2018-10-11,-0.2420959409594096,-0.6212546125461255,-0.07858302583025831,1.0,-0.5114981549815498,-0.49859778597785975,0.0
2018-10-12,-0.24091042584434655,-0.6202643171806167,-0.07459618208516886,1.0,-0.5077239353891336,-0.4933920704845815,0.0
2018-10-15,-0.2148667102060203,-0.6901977082467494,-0.026984503948227753,1.0,-0.5217597815116072,-0.5147835896218014,0.0
2018-10-16,-0.21218887697987376,-0.7091520781231392,-0.014320590687150173,1.0,-0.5248600690722877,-0.5167619387876623,0.0
2018-10-17,-0.20461783439490444,-0.6923213021939136,-0.00840410474168436,1.0,-0.523177636234961,-0.5203172918141071,0.0
2018-10-18,-0.21195716835217135,-0.7077929803688281,-0.0022903033908387863,1.0,-0.5252230814991077,-0.5271861986912553,0.0
2018-10-19,-0.21107565681567408,-0.7147884173798944,-0.0,1.0,-0.5273312855992603,-0.528971460948916,0.0
2018-10-22,-0.21072625029911463,-0.7246649916247907,-0.006012203876525485,1.0,-0.5236300550370901,-0.5261127063890882,0.0
2018-10-23,-0.21403771325950316,-0.7247530679437294,-0.012481293026040109,1.0,-0.5184375935348698,-0.5234061658186172,0.0
2018-10-24,-0.21390568319226122,-0.7419891172914148,-0.01704957678355502,1.0,-0.5240326481257558,-0.5259975816203144,0.0
2018-10-25,-0.19920899250624477,-0.7235042226715831,-0.014481979302961818,1.0,-0.5243249672891638,-0.5121624836445818,0.0
2018-10-26,-0.19600296076980014,-0.7186676535899335,-0.011339748334566987,1.0,-0.5255366395262768,-0.5092227979274612,0.0
2018-10-29,-0.18176720576083108,-0.7309349545508205,-0.0,1.0,-0.5207472553417543,-0.5177960099161847,0.0
2018-10-30,-0.18615434596414543,-0.7312088366460912,-0.0012995067781092177,1.0,-0.520718272837355,-0.5140435334770667,0.0
2018-10-31,-0.18989720998531567,-0.7143612334801762,-0.0027606461086637293,1.0,-0.5195007342143906,-0.5103377386196769,0.0
2018-11-01,-0.26779553726855515,-0.718594714353537,-0.034435828453869284,1.0,-0.5814844120905206,-0.56274727013768,0.0
