Date,BUD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.36192268794246546,-0.4779750533767839,-0.0,-0.5352005843353186,-0.4342060905719744,0.0
2018-09-25,1.0,-0.35964171032617875,-0.48140949805644756,-0.0,-0.537744352430849,-0.4379189904794096,0.0
2018-09-26,1.0,-0.3602895611514844,-0.4820010140273787,-0.0,-0.537744352430849,-0.43670779111036,0.0
2018-09-27,1.0,-0.3604382604776926,-0.48172036953582686,-0.0,-0.5376858945470933,-0.4367113564668769,0.0
2018-09-28,1.0,-0.357029702970297,-0.490975954738331,-0.0,-0.5408203677510608,-0.44002828854314,0.0
2018-10-01,1.0,-0.3579998868074028,-0.49015224404323954,-0.0,-0.5415133850246193,-0.4401211160790084,0.0
2018-10-02,1.0,-0.3567946028686434,-0.5003118090594705,-0.0,-0.5394296728839504,-0.438063382277907,0.0
2018-10-03,1.0,-0.35686141111772546,-0.5002692972758455,-0.0,-0.5394166170592738,-0.438160841341384,0.0
2018-10-04,1.0,-0.35524890232080747,-0.511889148657125,-0.0,-0.5380338712436562,-0.4459713748075498,0.0
2018-10-05,1.0,-0.3438573578262968,-0.5041026660231113,-0.0,-0.5413247778314073,-0.44993043922659776,0.0
2018-10-08,1.0,-0.34162793334089103,-0.5011053168574992,-0.0,-0.5426255526584287,-0.4487869856025394,0.0
2018-10-09,1.0,-0.3378516333938294,-0.5011626588021778,-0.0,-0.5445780399274047,-0.4521324863883847,0.0
2018-10-10,1.0,-0.33797346337037876,-0.5008221819006577,-0.0,-0.5447380358357905,-0.4515763211612611,0.0
2018-10-11,1.0,-0.29013998950768977,-0.487450644724853,-0.0,-0.5283706546649364,-0.45517298506226356,0.0
2018-10-12,1.0,-0.29649941338571933,-0.47987776595454423,-0.0,-0.514474366320155,-0.43761425336280046,0.0
2018-10-15,1.0,-0.27766736544063597,-0.4964743677003076,-0.0,-0.5107402466581361,-0.43758677955950015,0.0
2018-10-16,1.0,-0.27316807409425226,-0.5045219286298012,-0.0,-0.5097521111413784,-0.4365840370471261,0.0
2018-10-17,1.0,-0.25862763528937827,-0.4772660131596616,-0.0,-0.5068886800053712,-0.4428628978111991,0.0
2018-10-18,1.0,-0.2610642142452601,-0.4845330240837131,-0.0,-0.5061355484236361,-0.4452385447288222,0.0
2018-10-19,1.0,-0.24862085587274385,-0.47383643082855764,-0.0,-0.5097477371324514,-0.4457447378287183,0.0
2018-10-22,1.0,-0.2483926275182169,-0.46573617659665667,-0.0,-0.5145735105015002,-0.4502250321474496,0.0
2018-10-23,1.0,-0.24890174649094612,-0.46568627450980393,-0.0,-0.5141165755919854,-0.44996249866066645,0.0
2018-10-24,1.0,-0.24821098335611483,-0.467288467208062,-0.0,-0.5148347672268232,-0.4498137278550562,0.0
