Date,GRVY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.3622254758418744,-3.9916544655929718,-1.2187408491947291,-3.095168374816984,-2.973499267935578,0.0
2018-09-25,1.0,-2.3653789874158617,-3.9856599356160376,-1.2251975417032486,-3.0902838747439274,-2.9660520924787823,0.0
2018-09-26,1.0,-2.365139762915264,-3.9863895799795115,-1.2237670130250256,-3.091321527879409,-2.9680960046831553,0.0
2018-09-27,1.0,-2.38049853372434,-3.972140762463343,-1.2337243401759532,-3.100733137829912,-2.975659824046921,0.0
2018-09-28,1.0,-2.3814918346329264,-3.9938208032955713,-1.2377519493894364,-3.1121082830660582,-2.9873473591290276,0.0
2018-10-01,1.0,-2.381638958363984,-3.99323230837134,-1.2386346917757833,-3.1118140356039428,-2.9872002353979696,0.0
2018-10-02,1.0,-2.3857815719752726,-3.9724757138651756,-1.2483073299970562,-3.118339711510156,-2.9941124521636735,0.0
2018-10-03,1.0,-2.3802878965922445,-3.9522620446533487,-1.2433901292596945,-3.1166274970622796,-2.9960340775558167,0.0
2018-10-04,1.0,-2.384829812206573,-3.934712441314554,-1.2448650234741783,-3.121478873239437,-2.985475352112676,0.0
2018-10-05,1.0,-2.331056532480744,-3.8946374073535828,-1.1911059439035026,-3.12236593518384,-2.9936055805842177,0.0
2018-10-08,1.0,-2.3238067604816477,-3.8836500797910922,-1.1762657768750906,-3.132017989264471,-2.9917307413317853,0.0
2018-10-09,1.0,-2.324383164005805,-3.8876632801161097,-1.1743105950653119,-3.134252539912917,-2.993178519593614,0.0
2018-10-10,1.0,-2.3571323852807504,-3.923031813517079,-1.1923471631725553,-3.1746078287641106,-3.013487758393197,0.0
2018-10-11,1.0,-2.1389868773811203,-3.9113870467052347,-0.8869761535205305,-3.1134471567659094,-3.059545646959221,0.0
2018-10-12,1.0,-2.109604055350048,-3.8250445266474857,-0.8408001096040554,-2.9953418276476227,-2.929716399506782,0.0
2018-10-15,1.0,-2.0757102079652037,-3.829278238412397,-0.801005844773685,-2.9744461057496263,-2.9120565447872777,0.0
2018-10-16,1.0,-2.073170731707317,-3.8682381795884995,-0.7811690966071672,-2.98296770677204,-2.9202888676931464,0.0
2018-10-17,1.0,-1.9430420711974112,-3.631197411003236,-0.698252427184466,-2.8528155339805825,-2.819676375404531,0.0
2018-10-18,1.0,-1.9479761286974573,-3.645044110015568,-0.6938245978204464,-2.859107420861443,-2.8275817332641413,0.0
2018-10-19,1.0,-1.958041032428855,-3.7146260754467235,-0.6514890800794175,-2.976968894771674,-2.9352746525479816,0.0
