Date,IWF,IWM,MTUM,SPY,VLUE,VRNA,VXX
2018-09-24,-1.683553521273276,-2.5838968064079895,-0.767294288983668,-2.226152085717258,-2.1415791116196816,1.0,0.0
2018-09-25,-1.7134742821079203,-2.6109182707478698,-0.7893131376880193,-2.2483433259703376,-2.1565162511833385,1.0,0.0
2018-09-26,-1.7137898390659514,-2.611233827705901,-0.7901546229094352,-2.2481329546649835,-2.155254023351215,1.0,0.0
2018-09-27,-1.715549936788875,-2.618204804045512,-0.7910872313527181,-2.2514749262536875,-2.158765276021913,1.0,0.0
2018-09-28,-1.7128712871287128,-2.619443859279545,-0.7916578891931747,-2.2506846429323786,-2.158310511902254,1.0,0.0
2018-10-01,-1.71332280147446,-2.6181147972617165,-0.7919957872564507,-2.250552922590837,-2.1578725645076355,1.0,0.0
2018-10-02,-1.7187302256907826,-2.5997679814385153,-0.8010968150179287,-2.2595443999156295,-2.1670533642691416,1.0,0.0
2018-10-03,-1.71609098567818,-2.587826453243471,-0.7998104465037911,-2.258635214827296,-2.1683866891322663,1.0,0.0
2018-10-04,-1.7164791250394364,-2.5790303922599644,-0.7993479861184142,-2.2589126091071616,-2.1624776527500265,1.0,0.0
2018-10-05,-1.6871525957000526,-2.565285789197693,-0.7626638699528054,-2.281699003670687,-2.190980597797588,1.0,0.0
2018-10-08,-1.7166969340882385,-2.6152120499946587,-0.7591069330199764,-2.349855784638393,-2.2417476765302853,1.0,0.0
2018-10-09,-1.724108385991218,-2.6225768448109674,-0.7670557995073365,-2.3534325800578344,-2.2429045732033845,1.0,0.0
2018-10-10,-1.7239237524095097,-2.622510173484686,-0.7663311201542086,-2.353501820518312,-2.242664382094667,1.0,0.0
2018-10-11,-1.5706167992561213,-2.6171092054964356,-0.5364190515549127,-2.3210042359747907,-2.2864965388986467,1.0,0.0
2018-10-12,-1.567047869648821,-2.5755490334986337,-0.50713490537395,-2.2572614107883817,-2.213439935229228,1.0,0.0
2018-10-15,-1.5250957468252369,-2.6346502721225558,-0.44275347712154806,-2.2548881273936705,-2.2212255593630315,1.0,0.0
2018-10-16,-1.5205562273276907,-2.649234179766223,-0.43168077388149945,-2.2544336960902864,-2.220677146311971,1.0,0.0
2018-10-17,-1.481248753241572,-2.573209654897267,-0.3670456812288051,-2.2763814083383203,-2.2762816676640734,1.0,0.0
2018-10-18,-1.4798564020741924,-2.570602313522138,-0.3678699641005186,-2.2776226565616273,-2.2760271240526526,1.0,0.0
2018-10-19,-1.4415469395788232,-2.5308994292462113,-0.3266089352489667,-2.274355441842157,-2.267270222397166,1.0,0.0
2018-10-22,-1.4450673748401692,-2.517261729123635,-0.31494049375430316,-2.28336775843415,-2.2752040916691256,1.0,0.0
2018-10-23,-1.4473399547644803,-2.515881600944046,-0.3206804995574786,-2.2781984462582354,-2.2716097944733997,1.0,0.0
2018-10-24,-1.4502900973547055,-2.5114563870587077,-0.30347133444783164,-2.2863605074245257,-2.2822303077982102,1.0,0.0
2018-10-25,-1.3558305568776772,-2.39428843407901,-0.2455973346025702,-2.312898619704902,-2.210661589719181,1.0,0.0
2018-10-26,-1.3208596474691299,-2.373173720426053,-0.18899047978131772,-2.3417852766518994,-2.201149967009143,1.0,0.0
2018-10-29,-1.2911163895486937,-2.449976247030879,-0.13748218527315914,-2.361330166270784,-2.2612826603325415,1.0,0.0
2018-10-30,-1.276575550493546,-2.4498861047835994,-0.12737281700835232,-2.3622817008352315,-2.2750569476082005,1.0,0.0
2018-10-31,-1.2839098878310868,-2.3958902818361767,-0.12423414082382883,-2.359317560561787,-2.2627014798755773,1.0,0.0
2018-11-01,-1.2551789077212805,-2.435875706214689,-0.0879472693032015,-2.3659133709981166,-2.271280602636535,1.0,0.0
2018-11-02,-1.2608938547486035,-2.3592178770949723,-0.07057728119180634,-2.3712290502793296,-2.2490689013035383,1.0,0.0
2018-11-05,-1.253699395067473,-2.3790600279199627,-0.06961377384830153,-2.3709632387156816,-2.2333178222429035,1.0,0.0
2018-11-06,-1.2768683939762415,-2.406697221962398,-0.06276307174258722,-2.37611074735759,-2.2312225236179963,1.0,0.0
